Date ,Report Type ,Street ,Sub-Division
5/29/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
5/29/2005,POSSESSION OF MARIJUANA ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
5/29/2005,RECKLESS - GENERAL ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
6/17/2005,"DAMAGE PROPERTY, PRIVATE ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
6/29/2005,PETIT LARCENY ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
7/20/2005,CITIZEN REQUESTED ASSISTANCE ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
8/8/2005,CITIZEN REQUESTED ASSISTANCE ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
9/8/2005,"ASSAULT, SIMPLE, DOMESTIC ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
9/19/2005,"ASSAULT, SIMPLE, DOMESTIC ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
9/19/2005,"DAMAGE PROPERTY, PRIVATE ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
9/20/2005,ATTEMPTED SUICIDE ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
9/28/2005,CITIZEN REQUESTED ASSISTANCE ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
10/2/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
10/18/2005,"ASSAULT, SIMPLE, DOMESTIC ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
10/19/2005,"DAMAGE PROPERTY, BUSINESS ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
10/19/2005,GRAND LARCENY ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
10/28/2005,CITIZEN REQUESTED ASSISTANCE ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
11/5/2005,CITIZEN REQUESTED ASSISTANCE ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
11/14/2005,"DAMAGE PROPERTY, PRIVATE ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
11/18/2005,"ASSAULT, SIMPLE ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
11/28/2005,PETIT LARCENY ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
12/7/2005,"ASSAULT, SIMPLE ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
12/7/2005,"DAMAGE PROPERTY, PRIVATE ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
12/13/2005,"BURGLARY, RESIDENTIAL ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
12/20/2005,"BURGLARY, RESIDENTIAL ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
5/21/2005,"DAMAGE PROPERTY, PRIVATE ",OLD YORK-HAMPTON HIGHWAY & BATTLE ROAD ,YORKTOWN
8/4/2005,POSSESSION OF MARIJUANA ,OLD YORK-HAMPTON HWY & HORNSBYVILLE RD ,YORKTOWN
5/15/2005,DEAD ON ARRIVAL ,PULASKI STREET ,YORKTOWN
4/27/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",RIVERMEADE APTS ,RIVERMEADE
5/30/2005,"ASSAULT, SIMPLE ",RIVERMEADE BASKETBALL COURT ,RIVERMEADE
2/28/2005,"DAMAGE PROPERTY, PRIVATE ",RIVERMEADE COURT ,RIVERMEADE
2/28/2005,TRESPASSING ,RIVERMEADE COURT ,RIVERMEADE
4/7/2005,CITIZEN REQUESTED ASSISTANCE ,RIVERMEADE COURT ,RIVERMEADE
5/30/2005,CITIZEN REQUESTED ASSISTANCE ,RIVERMEADE COURT ,RIVERMEADE
5/31/2005,"ASSAULT, SIMPLE ",RIVERMEADE COURT ,RIVERMEADE
6/1/2005,"ASSAULT, SIMPLE, DOMESTIC ",RIVERMEADE COURT ,RIVERMEADE
6/14/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",RIVERMEADE COURT ,RIVERMEADE
6/27/2005,"DAMAGE PROPERTY, PRIVATE ",RIVERMEADE COURT ,RIVERMEADE
7/5/2005,"ASSAULT, SIMPLE ",RIVERMEADE COURT ,RIVERMEADE
8/2/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",RIVERMEADE COURT ,RIVERMEADE
10/15/2005,"DAMAGE PROPERTY, PRIVATE ",RIVERMEADE COURT ,RIVERMEADE
12/12/2005,"DAMAGE PROPERTY, PRIVATE ",RIVERMEADE COURT ,RIVERMEADE
12/12/2005,GRAND LARCENY ,RIVERMEADE COURT ,RIVERMEADE
12/26/2005,CITIZEN REQUESTED ASSISTANCE ,RIVERMEADE COURT ,RIVERMEADE
1/28/2005,"ASSAULT, SIMPLE ",RIVERMEADE COURT & TOWNLEY COURT ,RIVERMEADE
2/8/2005,MISSING PERSON ,,SMITH STREET 
10/18/2005,"DAMAGE PROPERTY, PRIVATE ",SONSHINE WAY ,
10/18/2005,TRESPASSING ,SONSHINE WAY ,
2/21/2005,ATTEMPTED SUICIDE ,TALIAFERRO DRIVE ,
9/10/2005,"DAMAGE PROPERTY, PRIVATE ",TALLIAFERRO ROAD ,
9/10/2005,TRESPASSING ,TALLIAFERRO ROAD ,
2/4/2005,CITIZEN REQUESTED ASSISTANCE ,TOWNLEY COURT ,
2/4/2005,DRUNK IN PUBLIC ,TOWNLEY COURT ,
4/17/2005,"ASSAULT, SIMPLE, DOMESTIC ",TOWNLEY COURT ,
4/19/2005,"DAMAGE PROPERTY, PRIVATE ",TOWNLEY COURT ,
6/4/2005,"ASSAULT, SIMPLE ",TOWNLEY COURT ,
6/15/2005,"LARCENY,FROM MOTOR VEHICLE ",TOWNLEY COURT ,
6/15/2005,MOTOR VEHICLE THEFT ,TOWNLEY COURT ,
7/31/2005,MOTOR VEHICLE THEFT ,TOWNLEY COURT ,
8/9/2005,"BURGLARY, RESIDENTIAL ",TOWNLEY COURT ,
8/9/2005,"DAMAGE PROPERTY, PRIVATE ",TOWNLEY COURT ,
8/9/2005,GRAND LARCENY ,TOWNLEY COURT ,
9/21/2005,"ASSAULT, SIMPLE ",TOWNLEY COURT ,
10/14/2005,"BURGLARY, RESIDENTIAL ",TOWNLEY COURT ,
11/1/2005,"BURGLARY, RESIDENTIAL ",TOWNLEY COURT ,
11/1/2005,"BURGLARY, RESIDENTIAL ",TOWNLEY COURT ,
3/24/2005,"LARCENY,FROM MOTOR VEHICLE ",VIVIAN COURT ,
1/31/2005,"DAMAGE PROPERTY, PRIVATE ",WALNUT DRIVE ,
5/17/2005,"DAMAGE PROPERTY, PRIVATE ",WALNUT DRIVE ,
5/29/2005,MAIMING ,WALNUT DRIVE ,
6/7/2005,"DAMAGE PROPERTY, PRIVATE ",WALNUT DRIVE ,
7/10/2005,"ASSAULT, SIMPLE ",WALNUT DRIVE ,
7/30/2005,CITIZEN REQUESTED ASSISTANCE ,WALNUT DRIVE ,
9/13/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",WALNUT DRIVE ,
10/3/2005,TRESPASSING ,WALNUT DRIVE ,
11/9/2005,"BURGLARY, RESIDENTIAL ",WALNUT DRIVE ,
10/6/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",WALNUT DRIVE & LEIGH ROAD ,KINGS COURT
1/25/2005,"ASSAULT, SIMPLE ",WATER STREET ,
3/6/2005,FRAUD-INNKEEPER ,WATER STREET ,
3/14/2005,GRAND LARCENY ,WATER STREET ,
3/16/2005,CONTRIBUTING TO THE DELINQUENCY OF A MINOR ,WATER STREET ,
4/25/2005,GRAND LARCENY ,WATER STREET ,
4/27/2005,GRAND LARCENY ,WATER STREET ,
5/12/2005,"ASSAULT, SIMPLE ",WATER STREET ,
5/13/2005,"ASSAULT, SIMPLE ",WATER STREET ,
5/14/2005,FRAUD-INNKEEPER ,WATER STREET ,
5/26/2005,"ASSAULT, SIMPLE ",WATER STREET ,
5/27/2005,CITIZEN REQUESTED ASSISTANCE ,WATER STREET ,
5/28/2005,DRUNK IN PUBLIC ,WATER STREET ,
5/29/2005,DRUNK IN PUBLIC ,WATER STREET ,
6/7/2005,"DAMAGE PROPERTY, PRIVATE ",WATER STREET ,
6/14/2005,TRESPASSING ,WATER STREET ,
6/16/2005,CITIZEN REQUESTED ASSISTANCE ,WATER STREET ,
6/25/2005,CITIZEN REQUESTED ASSISTANCE ,WATER STREET ,
7/2/2005,CITIZEN REQUESTED ASSISTANCE ,WATER STREET ,
7/6/2005,CITIZEN REQUESTED ASSISTANCE ,WATER STREET ,
7/7/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,WATER STREET ,
7/7/2005,REFUSE BLOOD/BREATH TEST ,WATER STREET ,
7/13/2005,LOST PROPERTY ,WATER STREET ,
7/14/2005,CITIZEN REQUESTED ASSISTANCE ,WATER STREET ,
7/15/2005,BURGLARY (HOTEL/STORAGE FACILITY) ,WATER STREET ,
8/1/2005,CITIZEN REQUESTED ASSISTANCE ,WATER STREET ,
8/4/2005,THREATEN BODILY HARM ,WATER STREET ,
8/4/2005,TRESPASSING ,WATER STREET ,
8/8/2005,CITIZEN REQUESTED ASSISTANCE ,WATER STREET ,
8/10/2005,DRUNK IN PUBLIC ,WATER STREET ,
8/13/2005,GRAND LARCENY ,WATER STREET ,
9/7/2005,EMBEZZLEMENT >=$200 ,WATER STREET ,
9/10/2005,TAMPERING WITH VEHICLE ,WATER STREET ,YORKTOWN
9/15/2005,CITIZEN REQUESTED ASSISTANCE ,WATER STREET ,
9/22/2005,"ASSAULT, SIMPLE ",WATER STREET ,
9/30/2005,PETIT LARCENY ,WATER STREET ,
10/8/2005,CITIZEN REQUESTED ASSISTANCE ,WATER STREET ,
10/19/2005,TRESPASSING ,WATER STREET ,
10/22/2005,DRUNK IN PUBLIC ,WATER STREET ,
12/5/2005,PETIT LARCENY ,WATER STREET ,
12/7/2005,GRAND LARCENY ,WATER STREET ,
12/13/2005,"DAMAGE PROPERTY, PRIVATE ",WATER STREET ,
6/13/2005,CITIZEN REQUESTED ASSISTANCE ,WATER STREET & MATHEWS STREET ,
9/11/2005,ARSON ,WATER STREET & READ STREET ,
6/26/2005,"DAMAGE PROPERTY, PRIVATE ",WHITT COURT ,
11/11/2005,CITIZEN REQUESTED ASSISTANCE ,WHITT COURT ,
12/17/2005,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION ,WHITT COURT ,
3/31/2005,GRAND LARCENY ,YORK DRIVE ,
10/3/2005,"DAMAGE PROPERTY, PRIVATE ",YORK DRIVE ,
12/23/2005,GRAND LARCENY ,YORK DRIVE ,
12/28/2005,CITIZEN REQUESTED ASSISTANCE ,YORK DRIVE ,
9/10/2005,CITIZEN REQUESTED ASSISTANCE ,YORKTOWN BEACH ,
11/3/2005,STALKING ,YORKTOWN BEACH ,
11/3/2005,VIOLATE PROTECTIVE ORDERS ,YORKTOWN BEACH ,
7/14/2005,CITIZEN REQUESTED ASSISTANCE ,"YORKTOWN BEACH, NPS PICNIC AREA",
