Arrests by Offense,Accomack,,Albemarle ,,Alleghany ,,Amelia ,,Amherst ,,Appomattox,,Arlington,,Augusta,,Bath,,Bedford,,Bland,,Botetourt,,Brunswick ,,Buchanan ,,Buckingham ,,Campbell ,,Caroline ,,Carroll,,Charles City,,Charlotte,,Chesterfield,,Clarke,,Craig,,Culpeper,,Cumberland,,Dickenson,,Dinwiddie,,Essex,,Fairfax,,Fauquier,,Floyd,,Fluvanna,,Franklin,,Frederick,,Giles,,Gloucester,,Goochland,,Grayson,,Greene,,Greensville,,Halifax,,Hanover,,Henrico,,Henry,,Highland,,Isle of Wight,,James City,,King & Queen,,King George,,King William,,Lancaster,,Lee,,Loudoun,,Louisa,,Lunenburg,,Madison,,Mathews,,Mecklenburg,,Middlesex,,Montgomery,,Nelson,,New Kent,,Northampton,,Northumberland,,Nottoway,,Orange,,Page,,Patrick,,Pittsylvania,,Powhatan,,Prince Edward,,Prince George,,Prince William,,Pulaski,,Rappahannock,,Richmond,,Roanoke,,Rockbridge,,Rockingham,,Russell,,Scott,,Shenandoah,,Smyth,,Southampton,,Spotsylvania,,Stafford,,Surry,,Sussex,,Tazewell,,Warren,,Washington,,Westmoreland,,Wise,,Wythe,,York,,Total County,
Drunkenness,152,0,164,0,82,0,3,0,93,1,6,0,623,1,153,0,4,1,69,0,12,0,61,0,28,0,84,0,17,0,87,0,72,0,82,0,3,0,37,0,12,4,39,1,13,0,190,2,10,1,78,4,28,0,18,0,3060,55,199,0,18,0,11,0,220,2,165,0,87,0,57,1,15,0,32,0,29,0,5,0,155,1,172,0,106,1,283,1,0,0,37,0,49,1,6,0,34,0,21,0,14,0,98,0,616,6,85,3,5,0,12,0,2,0,76,1,9,0,586,4,13,1,19,1,32,0,16,0,47,1,92,0,122,1,49,0,122,0,6,0,71,0,45,1,823,19,229,1,11,0,14,0,94,0,52,0,185,0,107,0,85,0,105,1,155,2,13,0,185,0,337,0,0,0,6,0,126,4,267,0,121,4,25,0,289,1,159,0,58,0,12564,128
"Family Offenses, Nonforcible",7,0,1,0,0,0,1,0,3,0,0,0,5,0,10,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0,8,0,5,0,3,0,0,0,0,0,35,0,0,0,0,0,23,0,0,0,8,0,2,2,2,0,61,10,10,0,0,0,0,0,4,0,10,0,10,0,4,0,1,0,1,0,0,1,0,0,0,0,8,0,4,0,1,0,0,0,8,0,3,0,2,0,0,0,0,0,0,0,4,0,12,1,1,0,1,0,0,0,0,0,2,0,0,0,3,0,2,0,1,0,2,0,1,0,0,0,1,0,2,0,0,0,69,1,0,0,2,0,0,0,8,1,3,0,0,0,2,0,20,0,0,0,16,1,7,0,1,0,2,0,8,0,3,0,18,0,5,0,7,0,2,0,14,0,6,0,5,0,3,0,15,0,1,0,7,0,507,17
Liquor Laws Violations,13,3,23,23,25,1,3,3,2,1,1,0,228,27,29,1,1,0,26,15,1,1,21,9,2,0,5,6,0,0,6,0,2,0,8,5,0,0,0,0,189,77,8,3,1,0,32,12,2,0,18,1,4,1,3,3,850,256,21,3,2,3,4,3,21,9,47,13,11,3,5,1,2,0,3,0,2,8,1,0,7,1,126,35,83,25,2,0,0,0,12,6,38,27,0,0,8,6,4,5,0,0,0,0,158,19,10,1,0,0,7,3,0,0,5,2,0,0,59,9,1,0,9,6,4,1,0,0,6,1,3,0,8,1,2,0,13,0,7,8,32,2,4,0,221,80,10,2,5,2,3,0,80,41,21,3,48,5,16,4,2,0,22,9,15,6,0,0,25,5,72,8,0,0,4,2,7,3,32,6,18,6,6,5,28,4,21,2,36,29,2922,871
Peeping Tom,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,19,1
Runaway,0,1,0,0,0,0,0,2,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7,0,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,0,2473
Trespass of Real Property,15,9,44,2,14,1,5,0,3,0,3,0,139,10,40,2,0,0,24,0,5,0,9,2,6,0,26,2,11,0,28,0,9,1,21,0,0,0,9,0,145,76,3,1,6,0,37,0,13,0,7,0,20,0,10,0,522,156,28,0,1,0,5,0,38,1,21,0,14,0,11,3,1,0,10,0,5,0,0,2,28,2,37,6,67,19,19,0,0,0,10,0,15,3,4,0,4,0,8,0,0,0,21,0,81,5,13,0,7,0,2,0,0,0,16,0,4,0,33,0,2,0,10,0,8,2,4,0,17,0,17,2,10,0,12,0,44,0,5,4,12,2,18,3,118,16,45,0,1,0,1,0,24,4,16,2,19,1,30,0,13,0,25,2,31,3,8,0,32,1,78,2,8,1,2,1,33,0,27,3,24,1,9,0,82,0,3,3,14,6,2479,362
Conspiracy,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,2,0,0,0,4,2,3,0,1,0,2,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,79,6
All Other (except Traffic),174,23,787,34,54,2,89,1,34,4,3,0,623,9,680,10,6,1,249,31,71,1,64,10,114,2,683,15,101,0,442,4,466,8,363,3,24,1,103,0,3046,444,80,24,64,0,699,13,125,1,407,7,75,2,172,0,4747,401,692,17,26,1,34,6,1214,120,1016,196,219,1,115,2,94,0,73,4,136,5,101,1,447,8,1534,16,804,55,616,14,1,0,82,0,92,4,27,0,224,11,67,1,110,6,386,1,1889,224,35,1,36,1,69,0,8,1,302,6,21,0,775,13,15,0,281,7,122,0,138,0,221,2,159,14,179,7,225,1,541,6,22,4,172,2,97,4,2439,57,1166,57,46,0,87,0,1090,57,204,6,541,61,1407,4,333,1,497,14,424,37,218,0,473,4,1897,61,34,4,123,5,211,26,542,15,419,43,192,3,1010,21,212,4,76,24,41603,2317
TOTAL GROUP B,450,53,1272,79,228,4,132,6,226,7,58,1,2364,74,1110,17,22,2,542,78,114,2,248,41,219,2,925,23,173,0,744,4,634,10,642,10,38,1,238,1,5044,1289,184,29,112,0,1157,37,194,2,588,12,191,8,235,3,12557,2076,1283,21,67,4,142,11,1780,157,1547,217,414,4,363,10,190,0,154,7,210,15,156,4,792,14,2293,61,1417,196,1011,17,5,0,264,6,394,105,76,1,351,17,135,8,142,6,580,1,3510,388,249,5,91,3,148,4,20,1,585,10,61,2,1875,28,82,1,368,17,202,4,214,0,366,7,378,19,460,10,343,2,905,7,100,16,439,9,235,19,5383,993,1632,63,106,2,128,0,1629,123,372,16,1076,73,1689,8,598,3,768,31,811,50,324,0,1043,25,2959,162,56,5,187,9,646,37,1062,49,737,55,323,8,1683,30,551,9,357,106,79158,7162
GRAND TOTAL,753,85,2242,215,385,8,208,11,435,25,102,1,4642,278,1553,21,54,8,1107,142,167,3,628,86,350,9,1412,33,438,11,1400,14,1034,20,922,13,83,1,386,5,11243,3350,272,43,149,0,2106,111,322,13,780,12,604,56,475,8,23169,3813,2211,52,85,11,233,16,2517,223,2846,351,686,9,886,95,310,1,290,11,416,54,279,4,1455,50,4107,279,3797,689,2043,59,8,0,554,26,1000,283,137,4,613,36,271,29,199,11,814,1,5687,504,510,10,225,14,235,13,171,3,1123,61,92,7,2968,85,176,5,593,53,340,24,328,0,627,23,635,50,663,19,588,5,1503,20,314,62,741,22,559,67,10859,2019,2676,89,168,5,185,4,3058,226,719,37,1523,93,2261,16,1055,10,1348,91,1400,69,538,6,2486,107,4877,207,122,18,343,15,1938,68,1861,97,1631,83,593,19,2532,67,1065,26,1366,328,145860,15436
