FIPPS,LOCALITY,COURT,Fines/Cost/ Interest Assessed,Amount sent to Collections,Collection Agent Remittance,Court Receipts,Court %
133,NORTHUMBERLAND,CIRCUIT,"111,870.44","62,543.78",0.00,"59,312.94",53.02%
133,NORTHUMBERLAND,GENERAL DISTRICT,"144,996.06","28,248.78",0.00,"112,939.97",77.89%
133,NORTHUMBERLAND,JUVENILE,"14,661.15","5,332.41",0.00,"8,971.61",61.19%
133,NORTHUMBERLAND,COMBINED,0.00,0.00,0.00,0.00,0.00%
135,NOTTOWAY,CIRCUIT,"358,609.77","148,704.19",0.00,"91,537.17",25.53%
135,NOTTOWAY,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
135,NOTTOWAY,JUVENILE,0.00,0.00,0.00,0.00,0.00%
135,NOTTOWAY,COMBINED,"569,571.07","153,100.66",0.00,"397,444.29",69.78%
137,ORANGE,CIRCUIT,"393,574.01","53,515.93",0.00,"248,649.94",63.18%
137,ORANGE,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
137,ORANGE,JUVENILE,0.00,0.00,0.00,0.00,0.00%
137,ORANGE,COMBINED,"727,841.57","103,684.53",0.00,"574,209.05",78.89%
139,PAGE,CIRCUIT,"494,372.04","126,587.86",0.00,"280,360.49",56.71%
139,PAGE,GENERAL DISTRICT,"622,501.54","96,483.01",0.00,"522,218.71",83.89%
139,PAGE,JUVENILE,"54,240.26","17,845.97",0.00,"32,383.15",59.70%
139,PAGE,COMBINED,0.00,0.00,0.00,0.00,0.00%
141,PATRICK,CIRCUIT,"275,038.88","148,681.33",0.00,"101,493.40",36.90%
141,PATRICK,GENERAL DISTRICT,"222,860.35","58,492.16",0.00,"164,660.32",73.88%
141,PATRICK,JUVENILE,"26,130.78","11,893.41",0.00,"13,967.26",53.45%
141,PATRICK,COMBINED,0.00,0.00,0.00,0.00,0.00%
143,PITTSLYVANNA,CIRCUIT,"702,902.13","339,219.08",0.00,"236,037.70",33.58%
143,PITTSLYVANNA,GENERAL DISTRICT,"1,052,861.34","161,712.25",0.00,"861,043.79",81.78%
143,PITTSLYVANNA,JUVENILE,"61,655.52","17,820.87",0.00,"39,236.52",63.64%
143,PITTSLYVANNA,COMBINED,0.00,0.00,0.00,0.00,0.00%
145,POWHATAN,CIRCUIT,"228,889.37","131,668.43",0.00,"92,992.19",40.63%
145,POWHATAN,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
145,POWHATAN,JUVENILE,0.00,0.00,0.00,0.00,0.00%
145,POWHATAN,COMBINED,"385,046.12","68,538.73",0.00,"321,042.41",83.38%
147,PRINCE EDWARD,CIRCUIT,"448,583.40","197,244.81",0.00,"252,021.26",56.18%
147,PRINCE EDWARD,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
147,PRINCE EDWARD,JUVENILE,0.00,0.00,0.00,0.00,0.00%
147,PRINCE EDWARD,COMBINED,"877,096.01","197,531.65",0.00,"633,121.45",72.18%
149,PRINCE GEORGE,CIRCUIT,"516,758.39","144,252.94",0.00,"382,697.22",74.06%
149,PRINCE GEORGE,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
149,PRINCE GEORGE,JUVENILE,0.00,0.00,0.00,0.00,0.00%
149,PRINCE GEORGE,COMBINED,"1,752,625.27","387,027.96",0.00,"1,354,390.30",77.28%
153,PRINCE WILLIAM\MS\,CIRCUIT,"5,279,753.86","840,121.47",0.00,"4,113,926.94",77.92%
153,PRINCE WILLIAM\MS\,GENERAL DISTRICT,"9,235,554.99","2,277,562.38",0.00,"7,491,200.64",81.11%
153,PRINCE WILLIAM\MS\,JUVENILE,"517,592.63","188,486.00",0.00,"346,519.13",66.95%
153,PRINCE WILLIAM\MS\,COMBINED,0.00,0.00,0.00,0.00,0.00%
155,PULASKI,CIRCUIT,"466,146.25","737,147.58",0.00,"206,978.59",44.40%
155,PULASKI,GENERAL DISTRICT,"1,353,787.83","344,101.32",0.00,"946,584.26",69.92%
155,PULASKI,JUVENILE,"95,657.63","50,002.77",0.00,"32,745.86",34.23%
155,PULASKI,COMBINED,0.00,0.00,0.00,0.00,0.00%
157,RAPPAHANNOCK,CIRCUIT,"80,713.86","18,096.84",0.00,"64,517.46",79.93%
157,RAPPAHANNOCK,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
157,RAPPAHANNOCK,JUVENILE,0.00,0.00,0.00,0.00,0.00%
157,RAPPAHANNOCK,COMBINED,"215,596.07","29,973.11",0.00,"180,754.76",83.84%
159,RICHMOND CO,CIRCUIT,"115,739.43","52,741.57",0.00,"70,881.30",61.24%
159,RICHMOND CO,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
159,RICHMOND CO,JUVENILE,0.00,0.00,0.00,0.00,0.00%
159,RICHMOND CO,COMBINED,"182,926.11","23,474.33",0.00,"158,787.59",86.80%
161,ROANOKE CO,CIRCUIT,"1,687,056.18","268,893.01",0.00,"1,340,378.89",79.45%
161,ROANOKE CO,GENERAL DISTRICT,"2,342,239.82","476,466.63",0.00,"1,808,878.72",77.23%
161,ROANOKE CO,JUVENILE,"129,404.61","43,154.32",0.00,"78,028.38",60.30%
161,ROANOKE CO,COMBINED,0.00,0.00,0.00,0.00,0.00%
163,ROCKBRIDGE,CIRCUIT,"402,930.80","145,415.70",0.00,"232,330.06",57.66%
