Date ,Report Type ,Street ,Sub-Division
5/3/2005,"ASSAULT, SIMPLE, DOMESTIC ",QUAKER MEETING HOUSE ROAD ,OLD QUAKER ESTATES
1/28/2005,UNAUTHORIZED USE OF VEHICLE ,QUEENS CREEK ROAD ,WILLIAMSBURG EAST
4/5/2005,CITIZEN REQUESTED ASSISTANCE ,RED DIRT ROAD ,BRUTON
1/10/2005,DISORDERLY CONDUCT ,RICHMOND ROAD ,WILLIAMSBURG NORTH
2/19/2005,"ASSAULT, SIMPLE, DOMESTIC ",RICHMOND ROAD ,WILLIAMSBURG NORTH
4/11/2005,"DAMAGE PROPERTY, PRIVATE ",RICHMOND ROAD ,WILLIAMSBURG NORTH
4/11/2005,GRAND LARCENY ,RICHMOND ROAD ,WILLIAMSBURG NORTH
4/11/2005,"LARCENY,FROM MOTOR VEHICLE ",RICHMOND ROAD ,WILLIAMSBURG NORTH
4/28/2005,"BURGLARY, BUSINESS ",RICHMOND ROAD ,WILLIAMSBURG NORTH
4/28/2005,"DAMAGE PROPERTY, BUSINESS ",RICHMOND ROAD ,WILLIAMSBURG NORTH
1/5/2005,GAS THEFT ,"RICHMOND ROAD, MILLER MART ",WILLIAMSBURG NORTH
1/17/2005,CITIZEN REQUESTED ASSISTANCE ,ROCHAMBEAU DRIVE ,TWILIGHT MOTEL
2/9/2005,LOST PROPERTY ,ROCHAMBEAU DRIVE ,
3/19/2005,GRAND LARCENY ,ROCHAMBEAU DRIVE ,WAL* MART
3/19/2005,POSSESSION OF CONTROLLED SUBSTANCES ,ROCHAMBEAU DRIVE ,WAL* MART
4/16/2005,ABDUCTION & KIDNAPPING ,ROCHAMBEAU DRIVE ,PIERCES BBQ
4/16/2005,ROBBERY ,ROCHAMBEAU DRIVE ,PIERCES BBQ
4/16/2005,USE OR DISPLAY FIREARM IN COMMISSION OF FELONY ,ROCHAMBEAU DRIVE ,PIERCES BBQ
4/16/2005,WEARING MASK IN PUBLIC PLACE ,ROCHAMBEAU DRIVE ,PIERCES BBQ
4/19/2005,"DAMAGE PROPERTY, PRIVATE ",ROCHAMBEAU DRIVE ,
4/23/2005,CITIZEN REQUESTED ASSISTANCE ,ROCHAMBEAU DRIVE ,LOWES
5/23/2005,GRAND LARCENY ,ROCHAMBEAU DRIVE ,WAL* MART
6/14/2005,LOST PROPERTY ,ROCHAMBEAU DRIVE ,WAL* MART
7/9/2005,MOTOR VEHICLE THEFT ,ROCHAMBEAU DRIVE ,
7/27/2005,GRAND LARCENY ,ROCHAMBEAU DRIVE ,WAL* MART
2/6/2005,POSSESSION OF MARIJUANA ,RT 199 & MERRIMAC TRAIL ,
5/25/2005,ABUSE AND NEGLECT OF CHILDREN ,SHADY BLUFF POINT ,
10/19/2005,CITIZEN REQUESTED ASSISTANCE ,SHEPPARD DRIVE ,
1/15/2005,CITIZEN REQUESTED ASSISTANCE ,SKIMINO ROAD ,
1/24/2005,CITIZEN REQUESTED ASSISTANCE ,SKIMINO ROAD ,
3/10/2005,"ASSAULT, SIMPLE ",SKIMINO ROAD ,
3/18/2005,RUNAWAY JUVENILE ,SKIMINO ROAD ,
3/31/2005,"DAMAGE PROPERTY, PRIVATE ",SKIMINO ROAD ,
3/31/2005,TRESPASSING ,SKIMINO ROAD ,
4/24/2005,CITIZEN REQUESTED ASSISTANCE ,SKIMINO ROAD ,
5/7/2005,RUNAWAY JUVENILE ,SKIMINO ROAD ,
5/9/2005,"BURGLARY, RESIDENTIAL ",SKIMINO ROAD ,
5/9/2005,"DAMAGE PROPERTY, PRIVATE ",SKIMINO ROAD ,
5/9/2005,TRESPASSING ,SKIMINO ROAD ,
5/16/2005,RUNAWAY JUVENILE ,SKIMINO ROAD ,
7/19/2005,GRAND LARCENY ,SKIMINO ROAD ,
7/25/2005,LOST PROPERTY ,SKIMINO ROAD ,
9/13/2005,"ASSAULT, SIMPLE, DOMESTIC ",SKIMINO ROAD ,
9/15/2005,ABDUCTION & KIDNAPPING ,SKIMINO ROAD ,
9/15/2005,"BURGLARY, RESIDENTIAL ",SKIMINO ROAD ,
9/15/2005,FALSELY SUMMONS OR FALSE REPORT TO POLICE ,SKIMINO ROAD ,
9/15/2005,OBSTRUCTING JUSTICE ,SKIMINO ROAD ,
11/8/2005,OVERDOSE ,SKIMINO ROAD ,
11/20/2005,RUNAWAY JUVENILE ,SKIMINO ROAD ,
12/12/2005,RUNAWAY JUVENILE ,SKIMINO ROAD ,
6/22/2005,TRESPASSING ,WICHITA LANE ,
8/28/2005,CREDIT CARD THEFT ,WICHITA LANE ,
8/28/2005,UNAUTHORIZED USE OF VEHICLE ,WICHITA LANE ,
8/29/2005,CITIZEN REQUESTED ASSISTANCE ,WICHITA LANE ,
12/27/2005,GRAND LARCENY ,WILKINSON DRIVE ,
10/4/2005,CITIZEN REQUESTED ASSISTANCE ,WILSON DRIVE ,
