Address,DateTime,Number,Type,Category
,2018-02-22,2018-00003449,Traffic Stop,Traffic
PEPPERS FERRY RD / DOMINION DR,2018-02-22,2018-00004142,Traffic Stop,Traffic
100 BLOCK JENNELLE RD,2018-02-22,2018-00002833,Traffic Stop,Traffic
PEPPERS FERRY RD / DOMINION DR,2018-02-22,2018-00004147,Traffic Stop,Traffic
ROANOKE RD / CROZIER RD,2018-02-22,2018-00003453,Traffic Stop,Traffic
RYAN RD  / OLDTOWN RD,2018-02-22,2018-00003458,Traffic Hazard,Traffic
2500 BLOCK BRADSHAW RD,2018-02-22,2018-00003466,Traffic Hazard,Traffic
,2018-02-22,2018-00003467,Traffic Stop,Traffic
3500 BLOCK RINER RD,2018-02-22,2018-00003471,Reckless Driving,Traffic
3000 BLOCK PEPPERS FERRY RD,2018-02-22,2018-00003474,Traffic Stop,Traffic
,2018-02-23,2018-00003481,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-02-23,2018-00003484,Traffic Stop,Traffic
3600 BLOCK RADFORD RD,2018-02-23,2018-00003490,Traffic Stop,Traffic
4000 BLOCK MOUNT ZION RD,2018-02-23,2018-00003491,Traffic Hazard,Traffic
COAL HOLLOW RD  / PRICES FORK RD,2018-02-23,2018-00003492,Traffic Stop,Traffic
ROANOKE RD / RIFFE ST,2018-02-23,2018-00003496,Traffic Stop,Traffic
RINER RD  / TURNBERRY LN,2018-02-23,2018-00003498,Radar,Traffic
ROANOKE RD / RIFFE ST,2018-02-23,2018-00003499,Traffic Stop,Traffic
3200 BLOCK RINER RD,2018-02-23,2018-00003502,Traffic Stop,Traffic
CHRISMAN MILL RD  / SILVER LAKE RD,2018-02-23,2018-00003508,Radar,Traffic
1700 BLOCK TYLER RD,2018-02-23,2018-00003509,Traffic Stop,Traffic
PEPPERS FERRY RD / VICKER SWITCH RD,2018-02-23,2018-00003522,Traffic Stop,Traffic
4500 BLOCK EASTERN MONTGOMERY LN,2018-02-23,2018-00003533,Radar,Traffic
2200 BLOCK PEPPERS FERRY RD,2018-02-23,2018-00003539,Hit and Run,Traffic
1700 BLOCK TYLER RD,2018-02-23,2018-00003541,Traffic Stop,Traffic
1700 BLOCK TYLER RD,2018-02-23,2018-00003543,Traffic Stop,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-02-23,2018-00003551,Motor Vehicle Crash,Traffic
HIGHTOP RD  / MARTIN DR,2018-02-23,2018-00003552,Traffic Hazard,Traffic
,2018-02-23,2018-00004272,Traffic Stop,Traffic
,2018-02-23,2018-00004273,Traffic Stop,Traffic
PEPPERS FERRY RD / DOMINION DR,2018-02-23,2018-00004274,Traffic Stop,Traffic
,2018-02-23,2018-00004275,Traffic Stop,Traffic
1500 BLOCK PEPPERS FERRY RD,2018-02-23,2018-00004278,Traffic Stop,Traffic
371589838041300 BLOCK 158983 80 41328,2018-02-23,2018-00002974,Traffic Stop,Traffic
DOMINION DR / PEPPERS FERRY RD,2018-02-23,2018-00004279,Traffic Stop,Traffic
DOMINION DR / PEPPERS FERRY RD,2018-02-23,2018-00004282,Traffic Stop,Traffic
DALET DR / ADAMS MARKE DR,2018-02-24,2018-00003557,Traffic Stop,Traffic
460400 BLOCK 460 BYPASS WBL 460 BYPASS,2018-02-24,2018-00004294,Traffic Stop,Traffic
1800 BLOCK RADFORD RD,2018-02-24,2018-00003567,Traffic Stop,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-02-24,2018-00003568,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-02-24,2018-00003572,Traffic Stop,Traffic
,2018-02-24,2018-00004305,Traffic Stop,Traffic
2400 BLOCK PEPPERS FERRY RD,2018-02-24,2018-00003574,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-02-24,2018-00003575,Traffic Stop,Traffic
800 BLOCK MERRIMAC RD,2018-02-24,2018-00003584,Check Point,Traffic
PEPPERS FERRY RD / CONSTITUTION RD,2018-02-24,2018-00003590,Traffic Stop,Traffic
2100 BLOCK GARDNER ST,2018-02-24,2018-00003591,Traffic Stop,Traffic
WISTERIA DR / OAKWOOD CT,2018-02-24,2018-00003593,Traffic Stop,Traffic
,2018-02-24,2018-00004342,Traffic Stop,Traffic
SILVER LAKE RD NW / SILVER LAKE RD,2018-02-24,2018-00003604,Traffic Stop,Traffic
7600 BLOCK ROANOKE RD,2018-02-24,2018-00003607,Traffic Stop,Traffic
ROANOKE RD / NORTH FORK RD,2018-02-24,2018-00003608,Traffic Stop,Traffic
2200 BLOCK RINER RD,2018-02-24,2018-00004371,Traffic Stop,Traffic
5200 BLOCK NORTH FORK RD,2018-02-24,2018-00003656,Traffic Stop,Traffic
5200 BLOCK NORTH FORK RD,2018-02-24,2018-00003609,Traffic Stop,Traffic
RADFORD RD  / BARRINGER MOUNTAIN RD,2018-02-24,2018-00003612,Traffic Stop,Traffic
,2018-02-24,2018-00004380,Traffic Stop,Traffic
DOMINION DR / PEPPERS FERRY RD,2018-02-25,2018-00004387,Traffic Stop,Traffic
,2018-02-25,2018-00004392,Traffic Stop,Traffic
,2018-02-25,2018-00003625,Traffic Stop,Traffic
,2018-02-25,2018-00003626,Traffic Stop,Traffic
,2018-02-25,2018-00003627,Traffic Stop,Traffic
,2018-02-25,2018-00003628,Traffic Stop,Traffic
,2018-02-25,2018-00003630,Traffic Stop,Traffic
,2018-02-25,2018-00003632,Traffic Stop,Traffic
ROANOKE RD / BONERS RUN RD,2018-02-25,2018-00000122,Motor Vehicle Crash- W/Injuries,Traffic
ROANOKE RD / BONERS RUN RD,2018-02-25,2018-00000531,Motor Vehicle Crash- W/Injuries,Traffic
ROANOKE RD / BONERS RUN RD,2018-02-25,2018-00000037,Motor Vehicle Crash- W/Injuries,Traffic
ROANOKE RD / BONERS RUN RD,2018-02-25,2018-00003636,Motor Vehicle Crash- W/Injuries,Traffic
ROANOKE RD  / SPARROW RD,2018-02-25,2018-00003638,Traffic Stop,Traffic
3300 BLOCK TYLER RD,2018-02-25,2018-00003645,Hit and Run,Traffic
OLD ROANOKE RD  / ROANOKE RD,2018-02-25,2018-00003652,Motor Vehicle Crash,Traffic
1700 BLOCK TYLER RD,2018-02-26,2018-00003673,Motor Vehicle Crash,Traffic
1200 BLOCK CHRISMAN MILL RD,2018-02-26,2018-00003687,Motor Vehicle Crash,Traffic
RINER RD  / LARKSPUR CIR,2018-02-26,2018-00003688,Motor Vehicle Crash- W/Injuries,Traffic
RINER RD  / LARKSPUR CIR,2018-02-26,2018-00000093,Motor Vehicle Crash- W/Injuries,Traffic
RINER RD  / LARKSPUR CIR,2018-02-26,2018-00000030,Motor Vehicle Crash- W/Injuries,Traffic
PRICES FORK RD  / MERRIMAC RD,2018-02-26,2018-00003146,Motor Vehicle Crash,Traffic
PRICES FORK RD  / MERRIMAC RD,2018-02-26,2018-00003704,Motor Vehicle Crash,Traffic
PEPPERS FERRY RD / DOMINION DR,2018-02-26,2018-00004491,Traffic Stop,Traffic
PEPPERS FERRY RD  / NOLEN RD,2018-02-26,2018-00004493,Traffic Stop,Traffic
NOLEN RD  / PEPPERS FERRY RD,2018-02-26,2018-00004505,Traffic Stop,Traffic
DOMINION DR / PEPPERS FERRY RD,2018-02-26,2018-00004511,Traffic Stop,Traffic
NORTH FORK RD  / ENTERPRISE DR,2018-02-26,2018-00003732,Motor Vehicle Crash,Traffic
FRIENDSHIP RD / ROANOKE RD,2018-02-26,2018-00003733,Traffic Stop,Traffic
5000 BLOCK PILOT RD,2018-02-26,2018-00003735,Traffic Stop,Traffic
6400 BLOCK ROANOKE RD,2018-02-26,2018-00003737,Traffic Stop,Traffic
DEN HILL RD / LEATHER RD,2018-02-26,2018-00003738,Traffic Stop,Traffic
6600 BLOCK ROANOKE RD,2018-02-26,2018-00003739,Traffic Stop,Traffic
ROANOKE RD  / EASTERN MONTGOMERY LN,2018-02-26,2018-00003740,Traffic Stop,Traffic
OLDTOWN RD / ROANOKE RD,2018-02-27,2018-00003745,Traffic Stop,Traffic
7600 BLOCK ROANOKE RD,2018-02-27,2018-00003746,Traffic Stop,Traffic
5400 BLOCK ROANOKE RD,2018-02-27,2018-00003748,Traffic Stop,Traffic
200 BLOCK ALLEGHANY SPRING RD,2018-02-27,2018-00003766,Traffic Stop,Traffic
3900 BLOCK SOUTH MAIN ST,2018-02-27,2018-00004559,Traffic Stop,Traffic
WATERWORKS RD  / PEPPERS FERRY RD,2018-02-27,2018-00003787,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-02-27,2018-00003791,Traffic Stop,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-02-27,2018-00003800,Traffic Stop,Traffic
3100 BLOCK PEPPERS FERRY RD,2018-02-27,2018-00004578,Reckless Driving,Traffic
3100 BLOCK PEPPERS FERRY RD,2018-02-27,2018-00003801,Reckless Driving,Traffic
6600 BLOCK ROANOKE RD,2018-02-27,2018-00003802,Traffic Stop,Traffic
3600 BLOCK RADFORD RD,2018-02-27,2018-00003804,Traffic Stop,Traffic
ALLEGHANY SPRING RD  / GEORGES RUN RD,2018-02-27,2018-00003808,Traffic Stop,Traffic
GIMMEL CIR  / MERRIMAC RD,2018-02-27,2018-00003809,Traffic Stop,Traffic
BLAIR ST / RADFORD RD,2018-02-27,2018-00003810,Traffic Stop,Traffic
3600 BLOCK RADFORD RD,2018-02-27,2018-00003811,Traffic Stop,Traffic
,2018-02-28,2018-00003260,Motor Vehicle Crash,Traffic
OLDTOWN RD / RAKES DR,2018-02-28,2018-00003851,Traffic Stop,Traffic
VICKER SWITCH RD / PEPPERS FERRY RD,2018-02-28,2018-00004639,Traffic Stop,Traffic
3700 BLOCK FIVE POINTS RD,2018-02-28,2018-00003864,Reckless Driving,Traffic
SOUTH MAIN ST / JENNELLE RD,2018-02-28,2018-00004645,Traffic Stop,Traffic
1700 BLOCK CAMP CARYSBROOK RD,2018-02-28,2018-00003869,Traffic Hazard,Traffic
RADFORD RD  / FIRE TOWER RD,2018-02-28,2018-00003876,Traffic Stop,Traffic
1200 BLOCK ROCK RD,2018-02-28,2018-00003877,Traffic Stop,Traffic
RADFORD RD  / WALTON RD,2018-02-28,2018-00003880,Traffic Stop,Traffic
2400 BLOCK PEPPERS FERRY RD,2018-02-28,2018-00003881,Traffic Stop,Traffic
PEPPERS FERRY RD  / NOLEN RD,2018-02-28,2018-00003886,Traffic Stop,Traffic
4400 BLOCK PEPPERS FERRY RD,2018-02-28,2018-00003888,Traffic Stop,Traffic
2400 BLOCK PEPPERS FERRY RD,2018-02-28,2018-00003892,Traffic Stop,Traffic
HIGH ROCK HILL RD  / GOLD RUSH RD,2018-02-28,2018-00003894,Traffic Stop,Traffic
4200 BLOCK PINEY WOODS RD,2018-02-28,2018-00003895,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-01,2018-00003901,Traffic Stop,Traffic
RADFORD RD  / FIRE TOWER RD,2018-03-01,2018-00003902,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-01,2018-00003903,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-01,2018-00003907,Traffic Stop,Traffic
3800 BLOCK RINER RD,2018-03-01,2018-00003913,Traffic Stop,Traffic
400 BLOCK BRANCH RD RT 460 BYPASS WBL,2018-03-01,2018-00004677,Traffic Stop,Traffic
DOMINION DR / PEPPERS FERRY RD,2018-03-01,2018-00004687,Traffic Stop,Traffic
PANDAPAS POND RD / CRAIG CREEK RD,2018-03-01,2018-00003961,Traffic Hazard,Traffic
4200 BLOCK PANDAPAS POND RD,2018-03-01,2018-00003964,Traffic Hazard,Traffic
3100 BLOCK BRADSHAW RD,2018-03-01,2018-00003967,Traffic Hazard,Traffic
JENNELLE RD  / CEDAR RUN RD,2018-03-01,2018-00003968,Traffic Hazard,Traffic
MERRIMAC RD  / PRICES FORK RD,2018-03-01,2018-00003969,Traffic Hazard,Traffic
MERRIMAC RD  / REMINGTON RD,2018-03-01,2018-00003970,Traffic Hazard,Traffic
1800 BLOCK MERRIMAC RD,2018-03-01,2018-00003375,Traffic Hazard,Traffic
1800 BLOCK MERRIMAC RD,2018-03-01,2018-00003971,Traffic Hazard,Traffic
5000 BLOCK PILOT RD,2018-03-01,2018-00003972,DUI,Traffic
3400 BLOCK MUD PIKE,2018-03-02,2018-00003974,Traffic Hazard,Traffic
3400 BLOCK MUD PIKE,2018-03-02,2018-00003975,Traffic Hazard,Traffic
1200 BLOCK HUFF LN,2018-03-02,2018-00003976,Traffic Hazard,Traffic
5200 BLOCK PRICES FORK RD,2018-03-02,2018-00003977,Traffic Hazard,Traffic
3300 BLOCK FISHERS VIEW RD,2018-03-02,2018-00003979,Traffic Hazard,Traffic
5300 BLOCK OLD PIKE RD,2018-03-02,2018-00003982,Traffic Hazard,Traffic
HUFFVILLE RD  / OLD SOURWOOD RD,2018-03-02,2018-00004198,Traffic Hazard,Traffic
HUFFVILLE RD  / OLD SOURWOOD RD,2018-03-02,2018-00003984,Traffic Hazard,Traffic
700 BLOCK DAVIS ST,2018-03-02,2018-00003988,Traffic Hazard,Traffic
SWITCHBACK RD  / SPAULDING RD,2018-03-02,2018-00003989,Traffic Hazard,Traffic
3100 BLOCK SENECA HOLLOW RD,2018-03-02,2018-00003991,Traffic Hazard,Traffic
MEADOW CREEK RD  / ORCHID RD,2018-03-02,2018-00003993,Traffic Hazard,Traffic
,2018-03-02,2018-00000725,Motor Vehicle Crash- W/Injuries,Traffic
,2018-03-02,2018-00000179,Motor Vehicle Crash- W/Injuries,Traffic
,2018-03-02,2018-00003994,Motor Vehicle Crash- W/Injuries,Traffic
2000 BLOCK BURKETTE RD,2018-03-02,2018-00003995,Traffic Hazard,Traffic
VICKER SWITCH RD  / SWITCHBACK RD,2018-03-02,2018-00004002,Traffic Stop,Traffic
BRUSH CREEK RD / POFF SCHOOL RD,2018-03-02,2018-00004004,Traffic Hazard,Traffic
WHISPERING PINE CIR / DOMINION DR,2018-03-02,2018-00004005,Traffic Hazard,Traffic
JENNELLE RD / SUMMER RD,2018-03-02,2018-00004006,Traffic Hazard,Traffic
ROANOKE RD  / WALNUT GROVE RD,2018-03-02,2018-00004009,Traffic Stop,Traffic
2300 BLOCK ELLETT RD,2018-03-02,2018-00004014,Traffic Hazard,Traffic
2200 BLOCK PEPPERS FERRY RD,2018-03-02,2018-00004015,Traffic Stop,Traffic
WISE LN / PRICES FORK RD,2018-03-02,2018-00004022,Traffic Hazard,Traffic
NATURES WAYE RD  / CATAWBA RD,2018-03-02,2018-00004040,Motor Vehicle Crash,Traffic
RINER RD  / LIFE DR,2018-03-02,2018-00004044,Motor Vehicle Crash- W/Injuries,Traffic
RINER RD  / LIFE DR,2018-03-02,2018-00000732,Motor Vehicle Crash- W/Injuries,Traffic
RINER RD  / LIFE DR,2018-03-02,2018-00000189,Motor Vehicle Crash- W/Injuries,Traffic
,2018-03-02,2018-00004048,Reckless Driving,Traffic
,2018-03-02,2018-00004818,Reckless Driving,Traffic
3000 BLOCK RINER RD,2018-03-02,2018-00004049,Reckless Driving,Traffic
4700 BLOCK RINER RD,2018-03-02,2018-00004051,Motor Vehicle Crash,Traffic
1400 BLOCK OILWELL RD,2018-03-03,2018-00003447,Hit and Run,Traffic
1400 BLOCK OILWELL RD,2018-03-03,2018-00004822,Hit and Run,Traffic
1400 BLOCK OILWELL RD,2018-03-03,2018-00004061,Hit and Run,Traffic
NOLEN RD  / PEPPERS FERRY RD,2018-03-03,2018-00004834,Traffic Stop,Traffic
FIRE TOWER RD  / ZIMMERMAN LN,2018-03-03,2018-00004084,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-03,2018-00004085,Traffic Stop,Traffic
1700 BLOCK TYLER RD,2018-03-03,2018-00004086,Traffic Stop,Traffic
1700 BLOCK TYLER RD,2018-03-03,2018-00004087,Traffic Stop,Traffic
1700 BLOCK TYLER RD,2018-03-03,2018-00004088,Traffic Stop,Traffic
1600 BLOCK PEPPERS FERRY RD,2018-03-03,2018-00004091,Traffic Stop,Traffic
PANDAPAS POND RD / BRUSH MTN RD,2018-03-03,2018-00004095,Traffic Stop,Traffic
SOUTH MAIN ST / JENNELLE RD,2018-03-03,2018-00004886,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-03,2018-00003483,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-03,2018-00004097,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-04,2018-00004103,Traffic Stop,Traffic
1600 BLOCK PEPPERS FERRY RD,2018-03-04,2018-00004104,Traffic Stop,Traffic
4900 BLOCK MOUNT TABOR RD,2018-03-04,2018-00004108,Traffic Hazard,Traffic
SWITCHBACK RD  / VICKER SWITCH RD,2018-03-04,2018-00004113,Motor Vehicle Crash,Traffic
,2018-03-04,2018-00004115,Traffic Stop,Traffic
1100 BLOCK JENNELLE RD,2018-03-04,2018-00004119,Reckless Driving,Traffic
PEPPERS FERRY RD / VICKER SWITCH RD,2018-03-04,2018-00004120,Motor Vehicle Crash,Traffic
8500 BLOCK ROANOKE RD,2018-03-04,2018-00004121,Reckless Driving,Traffic
,2018-03-04,2018-00003511,Reckless Driving,Traffic
,2018-03-04,2018-00004122,Reckless Driving,Traffic
BIG SPRING DR  / ROANOKE RD,2018-03-04,2018-00004124,Motor Vehicle Crash- W/Injuries,Traffic
BIG SPRING DR  / ROANOKE RD,2018-03-04,2018-00000133,Motor Vehicle Crash- W/Injuries,Traffic
BIG SPRING DR  / ROANOKE RD,2018-03-04,2018-00000041,Motor Vehicle Crash- W/Injuries,Traffic
PEPPERS FERRY RD  / MASS CIR,2018-03-04,2018-00004128,Reckless Driving,Traffic
400 BLOCK CINNABAR RD,2018-03-04,2018-00004129,Motor Vehicle Crash,Traffic
IZAAK WALTON LN  / DEN HILL RD,2018-03-04,2018-00004133,Traffic Stop,Traffic
6400 BLOCK ROANOKE RD,2018-03-04,2018-00004135,Traffic Stop,Traffic
900 BLOCK LUSTERS GATE RD,2018-03-04,2018-00004139,Traffic Stop,Traffic
2200 BLOCK PEPPERS FERRY RD,2018-03-05,2018-00004169,Motor Vehicle Crash,Traffic
CHILDRESS RD  / PINEY WOODS RD,2018-03-05,2018-00004170,Traffic Hazard,Traffic
,2018-03-05,2018-00004172,Traffic Hazard,Traffic
4600 BLOCK PRICES FORK RD,2018-03-05,2018-00004181,Traffic Stop,Traffic
MCCOY RD  / KEISTERS BRANCH RD,2018-03-05,2018-00004186,Traffic Stop,Traffic
2300 BLOCK TYLER RD,2018-03-05,2018-00004187,Traffic Stop,Traffic
200 BLOCK ALLEGHANY SPRING RD,2018-03-05,2018-00004190,Traffic Stop,Traffic
4900 BLOCK PRICES FORK RD,2018-03-05,2018-00004191,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-05,2018-00004192,Traffic Stop,Traffic
,2018-03-05,2018-00004196,Traffic Stop,Traffic
,2018-03-05,2018-00003569,Traffic Stop,Traffic
2900 BLOCK RADFORD RD,2018-03-05,2018-00004197,Traffic Stop,Traffic
HIGHTOP RD  / MARTIN DR,2018-03-06,2018-00003570,Traffic Stop,Traffic
ROANOKE RD  / SENECA HOLLOW RD,2018-03-06,2018-00004204,Traffic Stop,Traffic
1500 BLOCK CRAIGS MOUNTAIN RD,2018-03-06,2018-00004213,Motor Vehicle Crash,Traffic
4600 BLOCK PRICES FORK RD,2018-03-06,2018-00003575,Reckless Driving,Traffic
4600 BLOCK PRICES FORK RD,2018-03-06,2018-00004214,Reckless Driving,Traffic
400 BLOCK BRANCH RD SE RT 460 BYPASS EBL,2018-03-06,2018-00005066,Traffic Stop,Traffic
5100 BLOCK NORTH FORK RD,2018-03-06,2018-00004241,Motor Vehicle Crash,Traffic
CLAY ST / CHERRY LN,2018-03-06,2018-00004242,Traffic Hazard,Traffic
300 BLOCK FERGUSON DR,2018-03-06,2018-00004244,Motor Vehicle Crash,Traffic
3000 BLOCK RINER RD,2018-03-06,2018-00004252,Traffic Stop,Traffic
NOLEN RD  / PEPPERS FERRY RD,2018-03-06,2018-00005092,Traffic Stop,Traffic
DOMINION DR / PEPPERS FERRY RD,2018-03-06,2018-00005093,Traffic Stop,Traffic
RINER RD  / VALLEY VIEW CHURCH RD,2018-03-06,2018-00004257,Traffic Stop,Traffic
NOLEN RD  / PEPPERS FERRY RD,2018-03-06,2018-00005096,Traffic Stop,Traffic
DOMINION DR / PEPPERS FERRY RD,2018-03-06,2018-00005100,Traffic Stop,Traffic
,2018-03-07,2018-00004266,Motor Vehicle Crash,Traffic
,2018-03-07,2018-00005127,Motor Vehicle Crash,Traffic
TURNBERRY LN  / RINER RD,2018-03-07,2018-00004272,Traffic Stop,Traffic
5100 BLOCK RINER RD,2018-03-07,2018-00004281,Radar,Traffic
900 BLOCK LUSTERS GATE RD,2018-03-07,2018-00003629,Traffic Stop,Traffic
6000 BLOCK ROANOKE RD,2018-03-07,2018-00004300,Traffic Stop,Traffic
3100 BLOCK PEPPERS FERRY RD,2018-03-07,2018-00004305,Radar,Traffic
MOUNT PLEASANT RD  / SPLIT RAIL RD,2018-03-07,2018-00004315,Reckless Driving,Traffic
4300 BLOCK RINER RD,2018-03-07,2018-00004317,Traffic Stop,Traffic
3800 BLOCK RINER RD,2018-03-07,2018-00004319,Traffic Stop,Traffic
2100 BLOCK MOUNT PLEASANT RD,2018-03-07,2018-00004322,Reckless Driving,Traffic
3500 BLOCK CAMP CARYSBROOK RD,2018-03-07,2018-00004323,Traffic Stop,Traffic
PRICES FORK RD  / MERRIMAC RD,2018-03-07,2018-00004329,Traffic Stop,Traffic
RADFORD RD / ROCK RD,2018-03-08,2018-00004335,Traffic Stop,Traffic
PEPPERS FERRY RD  / ARSENAL CIR,2018-03-08,2018-00004340,Traffic Stop,Traffic
5600 BLOCK LAFAYETTE RD,2018-03-08,2018-00004344,Traffic Hazard,Traffic
PEPPERS FERRY RD / VICKER SWITCH RD,2018-03-08,2018-00005218,Reckless Driving,Traffic
PEPPERS FERRY RD / VICKER SWITCH RD,2018-03-08,2018-00004369,Reckless Driving,Traffic
,2018-03-08,2018-00004372,Traffic Hazard,Traffic
NELLIES CAVE RD / DEERCROFT DR,2018-03-09,2018-00003699,Reckless Driving,Traffic
NELLIES CAVE RD / DEERCROFT DR,2018-03-09,2018-00004389,Reckless Driving,Traffic
PEPPERS FERRY RD  / ARSENAL CIR,2018-03-09,2018-00004394,Traffic Stop,Traffic
,2018-03-09,2018-00000809,Motor Vehicle Crash- W/Injuries,Traffic
,2018-03-09,2018-00000204,Motor Vehicle Crash- W/Injuries,Traffic
ARSENAL CIR  / PEPPERS FERRY RD,2018-03-09,2018-00004419,Traffic Stop,Traffic
3900 BLOCK SOUTH MAIN ST,2018-03-09,2018-00003750,DUI,Traffic
3900 BLOCK SOUTH MAIN ST,2018-03-09,2018-00004422,DUI,Traffic
4300 BLOCK PRICES FORK RD,2018-03-09,2018-00004421,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-09,2018-00004423,Traffic Stop,Traffic
3900 BLOCK SOUTH MAIN ST,2018-03-09,2018-00003752,Traffic Stop,Traffic
1600 BLOCK PEPPERS FERRY RD,2018-03-09,2018-00004425,Traffic Stop,Traffic
1100 BLOCK HIGHTOP RD,2018-03-09,2018-00003756,Traffic Stop,Traffic
3700 BLOCK BRADSHAW RD,2018-03-09,2018-00004426,Traffic Stop,Traffic
PRICES FORK RD  / THOMAS LN,2018-03-09,2018-00004430,Traffic Stop,Traffic
ROANOKE RD / RIFFE ST,2018-03-09,2018-00004434,Traffic Stop,Traffic
4800 BLOCK NORTH FORK RD,2018-03-10,2018-00004436,Motor Vehicle Crash,Traffic
HIGHTOP RD  / MERRIMAC RD,2018-03-10,2018-00003768,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-10,2018-00004437,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-10,2018-00004444,Traffic Stop,Traffic
2900 BLOCK LITTLE RIVER RD,2018-03-10,2018-00004462,Motor Vehicle Crash,Traffic
,2018-03-10,2018-00004556,Reckless Driving,Traffic
,2018-03-10,2018-00004470,Reckless Driving,Traffic
,2018-03-10,2018-00003793,Reckless Driving,Traffic
BRUNSWICK DR  / PRICES FORK RD,2018-03-10,2018-00004476,Traffic Stop,Traffic
4600 BLOCK PRICES FORK RD,2018-03-10,2018-00004477,Traffic Stop,Traffic
6600 BLOCK ROANOKE RD,2018-03-10,2018-00004479,Traffic Hazard,Traffic
1900 BLOCK DEN HILL RD,2018-03-10,2018-00004482,Motor Vehicle Crash,Traffic
,2018-03-10,2018-00003804,Traffic Stop,Traffic
6600 BLOCK ROANOKE RD,2018-03-10,2018-00004486,Traffic Stop,Traffic
BARRINGER MOUNTAIN RD  / RADFORD RD,2018-03-10,2018-00004489,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-10,2018-00004490,Traffic Stop,Traffic
9600 BLOCK ROANOKE RD,2018-03-10,2018-00004491,DUI,Traffic
TRUMAN AVE  / RADFORD RD,2018-03-10,2018-00004492,Traffic Stop,Traffic
BLAIR ST / RADFORD RD,2018-03-10,2018-00004493,Traffic Stop,Traffic
RADFORD RD  / BARRINGER MOUNTAIN RD,2018-03-10,2018-00004495,Traffic Stop,Traffic
1600 BLOCK PEPPERS FERRY RD,2018-03-10,2018-00005373,Traffic Stop,Traffic
3800 BLOCK RADFORD RD,2018-03-11,2018-00004497,Traffic Stop,Traffic
RADFORD RD  / TRUMAN AVE,2018-03-11,2018-00004499,Traffic Stop,Traffic
3800 BLOCK RADFORD RD,2018-03-11,2018-00004500,Traffic Stop,Traffic
1200 BLOCK ROCK RD,2018-03-11,2018-00004501,Traffic Stop,Traffic
3800 BLOCK RADFORD RD,2018-03-11,2018-00004502,Traffic Stop,Traffic
3900 BLOCK PRICES FORK RD,2018-03-11,2018-00004503,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-11,2018-00004504,Traffic Stop,Traffic
3600 BLOCK RADFORD RD,2018-03-11,2018-00004507,Traffic Stop,Traffic
9300 BLOCK ROANOKE RD,2018-03-11,2018-00004509,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-03-11,2018-00004513,Traffic Stop,Traffic
6400 BLOCK ROANOKE RD,2018-03-11,2018-00004517,Traffic Stop,Traffic
1600 BLOCK LUSTERS GATE RD,2018-03-11,2018-00000627,Motor Vehicle Crash- W/Injuries,Traffic
1600 BLOCK LUSTERS GATE RD,2018-03-11,2018-00000239,Motor Vehicle Crash- W/Injuries,Traffic
1600 BLOCK LUSTERS GATE RD,2018-03-11,2018-00004519,Motor Vehicle Crash- W/Injuries,Traffic
2000 BLOCK LUSTERS GATE RD,2018-03-11,2018-00004527,Motor Vehicle Crash,Traffic
1200 BLOCK CHRISMAN MILL RD,2018-03-11,2018-00005405,Traffic Stop,Traffic
2600 BLOCK KINGS CT,2018-03-11,2018-00004543,Traffic Stop,Traffic
CHILDRESS RD  / MEADOW CREEK RD,2018-03-11,2018-00004548,Traffic Stop,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-03-11,2018-00004549,Hit and Run,Traffic
8500 BLOCK ROANOKE RD,2018-03-11,2018-00004552,Traffic Stop,Traffic
200 BLOCK WALTON RD,2018-03-11,2018-00004555,Traffic Stop,Traffic
000 BLOCK RD INTERSTATE 81 N RAMP,2018-03-11,2018-00004558,Traffic Stop,Traffic
MUD PIKE  / FIRE TOWER RD,2018-03-12,2018-00004571,Traffic Stop,Traffic
,2018-03-12,2018-00000834,Motor Vehicle Crash- W/Injuries,Traffic
,2018-03-12,2018-00000210,Motor Vehicle Crash- W/Injuries,Traffic
