PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,GAMBLING-BETTING/WAGERING,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,TRUANCY - STREET WATCH,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,24,175,19,,1,,,,1,,,1,,,,,2,,,,,,,,,,1,,,,,,,,,,,2,2,,,,,,,,,,,,,3,,,,,3,,,,,,1,,,1,1
CENTRAL,24,176,9,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
CENTRAL,24,177,17,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,1,,,,,,,,,3,1,,,,,,,1
CENTRAL,24,179,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
CENTRAL,24,180,34,1,,2,,,1,,1,,,,,1,3,,1,,,,,2,1,,,2,,,,,,1,1,1,,3,2,,,,1,,,,,1,,,,1,,,,2,2,,2,1,,,,,1,,
CENTRAL,24,181,10,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,1
CENTRAL,24,182,8,,,,,,1,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
NORTH,31,58,9,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,2,,2,,,,
NORTH,31,61,13,,,,,,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,5,,,,1,,,,
NORTH,31,62,20,,,,,,,,,2,,,,,2,,,,,,,1,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,4,,,,,,,,,4,,4,,,,
NORTH,31,63,7,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
NORTH,31,65,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,
NORTH,31,66,8,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,,
NORTH,31,67,16,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,1,
NORTH,31,68,10,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,2,,,,
NORTH,31,69,20,1,,1,,,,,,2,1,,,,1,,,,,,,,,,,1,,,,,,,1,,,3,1,,,,,,,,,,,,,2,,,,,1,,,,,1,2,,1,,1
NORTH,31,70,36,1,,1,,,,,,2,,,,,5,,,,,,,1,,,1,,,,,,,,,,1,1,3,,,,,,,,,,,,,11,,,,1,4,,1,,,,,,,,3
NORTH,31,71,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NORTH,31,72,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
NORTH,31,73,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
NORTH,31,74,20,1,,1,,,,,,3,,,,,3,,,,,,,,,,1,,,,,,,,,4,,1,1,,,1,,,,,,1,,,,1,,,,,,,,1,,,,,,,1
NORTH,31,75,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,76,14,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,1,
NORTH,31,77,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,
NORTH,31,78,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
NORTH,31,79,9,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,1,,,1,
NORTH,31,80,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,1,
NORTH,31,81,8,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,
NORTH,31,82,9,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,,,1,,,,1
NORTH,31,83,70,1,2,3,,,1,2,1,10,,,,,6,,1,1,,,1,,,,1,,,,,,,,,1,1,3,1,,,3,,,,,,3,,,,9,,1,,,1,,4,1,,4,2,,1,1,4
NORTH,31,85,6,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,
NORTH,31,86,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,31,87,11,,,,,,1,,,2,,,,,1,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,,,,,,,,1,,,,,1,,1,,,,,,,,
NORTH,31,88,13,,,,,,2,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,
NORTH,31,92,19,,,,,,,2,,1,,,,,3,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,,1,,,2,,,,,1,,1,,,,2,,,,1
NORTH,31,93,11,,,,,,,,,1,,,,,1,,,,,,,,,,2,1,,,,,,,,,,3,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
NORTH,31,94,32,,1,,,,,,,2,,,,,7,,,,,,,,1,,1,,,1,,,,,1,1,,3,1,,,1,,,,,,,,,3,2,,1,,,2,,1,,1,,,,,1,1
NORTH,31,95,23,1,,1,,,1,,,4,1,,,,2,,,,,,,,1,,,,,,,,,,1,,,1,1,,2,,,,,,,,,,,2,,,,,2,,,,,,,,1,1,1
NORTH,31,96,54,3,,,,,4,,,18,3,,,,2,,,,,,,,,,,,,,,,,,1,1,1,3,2,,,,,,,,,1,,,,6,,,,1,1,,2,1,1,1,,,,1,1
NORTH,32,100,17,,,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,2,,,,,,,1,1,,,2,,,1,
NORTH,32,101,20,,,,,,1,,1,,1,,,,,,,,,,,2,,,,1,,,,,,,,1,,2,,,,,,,,,,,,,1,5,,1,,,1,,,,,1,2,,,,
NORTH,32,102,37,,,,1,,,,1,2,,,,,2,,,,,,,5,1,,1,3,,,,,,,,,,4,2,,,,,,,,,,,,8,,,1,,,3,,1,,,1,,,,,1
NORTH,32,103,10,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,
NORTH,32,104,31,,1,2,,,2,,,8,,,,,2,,,,,,,,,,,,,,,,,,2,,,1,1,,,1,,,,,,1,,,,2,,,1,,2,,1,1,,1,,,,,2
NORTH,32,105,97,,,2,1,,18,,,11,,,,,5,,1,,,,,,1,,1,1,,,1,,,,6,5,,7,1,,,,1,,,,,5,,,,9,,,,,2,,2,4,,,,,,4,9
NORTH,32,106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
NORTH,32,107,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,
NORTH,32,108,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,
NORTH,32,109,43,1,1,1,,,2,,1,2,1,,,,3,,,,,,,,2,,,3,,,,,,,2,1,,1,,,,,,1,,,,,1,,2,8,,,,2,,,4,2,1,,,,,1,
NORTH,32,110,39,2,,,,,1,,,4,,,,1,6,,,,,,,1,,,,,,,,,,,2,1,1,3,4,,,,,,,,,1,,,,5,,,,,,,1,1,,,,,,2,3
NORTH,32,111,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,112,10,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,2
NORTH,32,113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,114,9,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,3
NORTH,32,115,14,,,1,,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,1,,,1,,,,,,1,,2,,,,,,,,1
NORTH,32,89,3,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,90,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,91,5,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
NORTH,32,98,17,1,,,,,,1,,1,2,,,,1,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,1,,,,2,,,2,,,,,,,,2
NORTH,32,99,3,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,33,116,52,,,2,,,2,,3,8,,,,,3,1,,,,,,,,,1,1,,,,,,,1,2,1,4,5,,1,,,,,,,,,,,7,,,,,4,,1,4,,,1,,,,
NORTH,33,118,54,,,1,,,6,,,15,1,,,,3,1,,,,,,1,2,,,,,,,,,,,1,,3,1,,,,,,,,,1,,,,9,,,,,2,,1,1,,,1,,,1,3
NORTH,33,119,48,1,,,,,4,,2,7,,,,,1,,,,,,,1,1,,,3,,,,,,,3,,,2,4,,,,,,,,,,1,,,12,,,1,,1,,1,1,,,1,,,,1
NORTH,33,120,11,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,4,,,,,,,1,1,,1,,,,,
NORTH,33,121,21,,,,,,3,,,2,1,,,,2,,,,,,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,3,,,1,,2,,2,,,,,,,1,
NORTH,33,122,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
NORTH,33,124,10,,,,1,,,,2,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,1,
NORTH,33,125,11,1,,,,,1,,,2,,,,,2,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
NORTH,33,126,7,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,1
NORTH,33,127,7,1,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,
NORTH,33,128,4,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
NORTH,33,130,8,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,2,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,
NORTH,33,131,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,132,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
NORTH,33,135,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,138,51,1,,2,,,3,,,4,,,,,3,,,,,1,,1,1,1,,4,,,,,,,3,,,2,2,,1,,,,,,,,,,,8,,,,,2,,3,1,,,1,,1,3,3
NORTH,34,139,74,1,1,1,1,,2,,,10,1,,,1,6,,,,,,,1,1,1,,2,,,,,,,3,,,7,3,,,,,,,,,1,,,,6,,,1,1,3,,9,2,1,,3,,,1,4
NORTH,34,140,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,141,22,1,,,,,1,,,3,1,,,,,,,,,,,1,1,,,,,,,,,,,1,,1,1,,,,,,,,,1,,,,2,,,2,,1,,1,,,,1,,,,3
NORTH,34,142,16,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,,,,1,,,1,,,,,,1,2,
NORTH,34,143,48,,1,1,,,1,,,3,,,,,1,,,,,,,1,1,,1,,,,,,,,1,,,6,2,,2,,,,,,,1,,,2,12,,,,3,3,,3,1,,,,,,1,1
NORTH,34,144,8,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,
NORTH,34,145,17,,,1,,,3,,,3,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,2,1,,1,,,,,,,,1
NORTH,34,146,13,,,,,,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,1,,1,,1,1,,,1,,1,,
NORTH,34,147,22,,,2,,,3,,,1,2,,,,1,,,,,,,7,2,,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,148,7,,,,,,1,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
NORTH,34,149,42,2,,,,,3,,,1,1,,,,2,1,,,,,,,3,1,,2,,,,,,,,3,,1,3,,2,1,,,,,,,,,4,4,,,,,2,,2,,,,,,,3,1
NORTH,34,150,7,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,34,151,9,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,1,,,2,,,,,,,1,
NORTH,34,152,75,,,4,,,1,,1,8,,,,,4,,1,,,,,,,,3,,,,,,,,,,,9,4,1,1,,,,,,,,1,,17,6,,1,,,2,,4,1,,,,,1,2,3
NORTH,34,153,26,,,1,,,1,,,2,,,1,,2,,1,,,,,2,1,,1,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,3,,2,1,,,,,,,
NORTH,34,154,38,1,,,1,,1,,,10,1,,,,1,,,,,1,,,,,1,,,,,,,,1,,,3,2,,,,,,,,,,,,,5,1,,,,6,,,,,,,,,3,
