PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,ASSIST/PROMOTE PROSTITUTION,BAD CHECKS,BRIBERY,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,TEST OFFENSE,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,24,176,9,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,
CENTRAL,24,177,14,,,1,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,1,,,,1,,,,,,,2,,,,,,,1
CENTRAL,24,178,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
CENTRAL,24,179,7,,,,,,,,,,,1,,,,,1,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,24,180,27,1,,2,,,,,1,,,4,1,,,,,,,,,,,1,,,,1,,,,,4,1,,,1,2,,,,,,,,,,,,,5,,,,,,1,,1,,,,,1,
CENTRAL,24,181,9,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,1,1,
CENTRAL,24,182,8,,,,,,,,2,,,1,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
CENTRAL,34,139,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,57,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,58,10,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,1,,1,1,,,,1,,,
NORTH,31,61,5,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,
NORTH,31,62,10,,,,,,,,,,,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,1,2,,,
NORTH,31,63,8,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,1,,,,,,
NORTH,31,66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,67,7,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,1
NORTH,31,68,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,69,14,1,,1,1,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,2,,,,1,,,
NORTH,31,70,58,1,,,,,,,5,1,,5,1,,,,9,,,,,,,3,2,,,,,,,,,1,4,,3,2,,,1,,1,,,,3,,,,6,,,,1,,3,1,,,1,,,1,3
NORTH,31,71,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,
NORTH,31,72,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,73,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,31,74,17,,,1,,,,,1,,,2,,,,,2,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,1,1,,,,,,,1,2,,,,,1,2
NORTH,31,75,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,76,7,,,,,,,,1,,,1,,,,,,,,,,,,,2,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,77,10,,1,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,1
NORTH,31,78,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,79,8,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,
NORTH,31,80,5,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,31,81,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,82,15,,,,,,,,1,,,2,,,,,5,,,,,,,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,1
NORTH,31,83,81,1,,,,,,,11,,,7,1,,,,8,,,,,,,,7,,,2,,,,,,,8,1,4,2,,2,1,,,,,,,,,,13,,,,1,,2,2,1,,,1,3,1,2
NORTH,31,84,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,2,,,,,,,
NORTH,31,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,86,15,,,,,,,,,,,2,,,,,,,,,,,,,2,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,,
NORTH,31,87,12,,,,,,,,,,,1,,,,,,,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
NORTH,31,88,14,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,1,,,,2,,,,,,,1,,,,,1,,2
NORTH,31,92,17,,,1,,,1,,2,,,2,,,,,,,,,,,,1,,,1,,,,,,,,,,3,1,,,,,,,,,,,,,1,,,,,,,1,,,,,3,,
NORTH,31,93,16,,,,,,,,,,,2,,,,,2,,,,,,,,1,,,3,,,,,,,,,1,1,,,,,,,,,,,,,3,,,,2,,,,,,,,,,1
NORTH,31,94,33,1,,,,,,,1,,1,1,,,,,5,,,,,,,,,,2,3,,,,,1,,,,5,4,,,,,,,,,,1,,4,1,,,,,,1,,1,,,,,,1
NORTH,31,95,16,1,,,,,,,1,,,1,,,,,1,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,1,1,2,,,,,2,1
NORTH,31,96,31,1,,,1,,,,3,,,2,,,,,3,,,,,,,,,,,,,,,,,2,1,,5,1,,1,1,,,,,,,,,,7,,,,,,,1,,,,,,2,
NORTH,32,100,14,,,,,,,,1,,,3,,,,,1,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,1,,,1,,,,1,,,,2,,,1
NORTH,32,101,14,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,1,,,2,,,,,,,,,,,,,1,4,,,,,,,,,,,2,1,,
NORTH,32,102,58,,,,1,,,,1,,,,,,,,3,,1,,,,,7,1,,4,7,,1,,,,2,1,,4,3,,,,,,,,,,,,13,4,,,,,,1,1,1,,,,1,1,
NORTH,32,103,6,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,32,104,51,2,,,,,,,3,1,,7,,1,,,7,,,,,,1,,,,,1,,,,,,2,1,,5,,1,,,,2,,,,2,,,,9,,,2,,,,,,,1,,,1,2
NORTH,32,105,77,1,,,,,,,6,1,,12,1,,,,11,,,,,1,1,,1,,,,,1,,,,4,3,,8,2,,,2,,,,,,1,,,,9,,,1,2,,1,2,1,,,,,2,3
NORTH,32,107,5,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
NORTH,32,109,54,,,,,,,,1,1,,7,2,,,,3,,,,,,,,1,,1,5,1,,,,,3,1,,5,2,,,,,,,,,,,1,4,6,,1,,1,,,4,1,,,,,2,1
NORTH,32,110,35,1,,1,,,,,1,,1,7,,,,,2,,,,,1,,,1,,1,1,,,,,,3,1,,2,,,,,,1,,,,,,,,6,,,,,,1,1,,,1,,1,,1
NORTH,32,111,5,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,
NORTH,32,112,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,
NORTH,32,113,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,114,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,115,27,,,,,,,,1,,,,,,,,1,,,,,,,2,1,,,6,,,,,,,,,2,2,,,,,,,,,,,,9,,,,,,,1,1,,,,,,1,
NORTH,32,89,4,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
NORTH,32,90,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
NORTH,32,91,8,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,2,,,,,,,,
NORTH,32,97,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,32,98,9,,,,,,,,,,,1,,,,,,,,,,1,,,3,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,32,99,6,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,
NORTH,33,116,36,1,,,,,,,1,1,,5,,1,,,1,,,,,,,,1,,1,1,,1,,,,1,1,,1,2,,,,,,,,,,,,,10,,,1,,,,3,1,,,,,1,1
NORTH,33,118,40,,,2,,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,1,3,,2,2,,,,,,,,,1,1,,,4,,,,1,,,2,3,,,,,6,2
NORTH,33,119,40,1,,1,,1,,,3,,1,4,,,,,1,,,1,,,,,1,,,,,,,,,2,1,,2,1,1,,1,,,,,,,,,,10,,,2,,,3,1,,,,1,,1,
NORTH,33,120,6,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
NORTH,33,121,50,,,,,,,,4,,,4,,,,,3,,,,,,,1,1,,2,,,,,,,3,1,,4,2,,,,,,,,,,,,,6,,,,5,,1,9,1,,,1,,2,
NORTH,33,122,6,,,,,,,,,,,2,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,33,123,12,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,1
NORTH,33,124,25,,,2,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,,,,4,,,,1,,,10,,,,,,2,1
NORTH,33,125,7,2,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
NORTH,33,126,5,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,33,127,17,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,2,,,,5,,,2,,,,,1,,
NORTH,33,128,10,,,1,,,,,1,,2,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,
NORTH,33,130,8,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,2,,,1,,,,,,,,
NORTH,33,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,33,132,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,
NORTH,34,138,43,,,,1,,,,2,,,5,,,,,,,,,,,,,,,,,,,1,,,1,6,,2,,,,,,1,,,,,,,,12,,,,1,,3,1,2,,1,,,4,
NORTH,34,139,71,2,,1,1,,,,5,,,4,1,1,,,6,,,,,,,,4,,1,2,,,,,,2,1,1,2,2,,1,,,,,,,1,1,,1,12,1,,1,1,,1,11,3,,,,,,1
NORTH,34,141,18,1,,,1,,,,1,,,2,,,,,1,,,,,,,,,,1,1,,,,,,,2,,3,,,,,,,,,,,,,,2,,,,1,,,1,,,,,,,1
NORTH,34,142,21,1,,,,,,,1,,,2,1,,,,,,,,,,,,1,,,,,,,,,,6,,2,1,,,,1,1,,,,,,,,1,,,,,,1,1,,,,,1,,
NORTH,34,143,53,2,,1,,,,,3,1,,6,1,,,,1,,,,1,,,1,1,,,2,,,,,,,2,,7,1,,,1,,,,,,2,1,,1,6,,,1,1,,3,,2,,,,,1,4
NORTH,34,144,16,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,6,,,,,,,,,,,,1,,3
NORTH,34,145,13,,,,,,,,2,,,2,,,,,1,,,1,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,1,,,,1,,,,,,,
NORTH,34,146,14,,,1,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,2,,,1,3,,,,,,,,,,,,,2,,,,,,,1,,,,,,,
NORTH,34,147,18,,,,,,,,1,,,1,,,,,1,,,,,,,,1,,1,1,,,,,,,,,1,1,,,1,,,,,,,,,1,5,,,,,,,,,,,,1,1,1
NORTH,34,148,6,,,,,,,,,,,1,,,,,1,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,34,149,37,,,,,,,,,,,5,,,,,1,,,,,,,,2,,,3,,,,,,1,1,,3,1,,,,,,,,,3,,,8,5,,,,,,1,1,,,,,,,2
NORTH,34,150,9,,,1,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1
NORTH,34,151,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,34,152,64,2,,1,,,,,1,,,7,,,,,1,,,,,,,,4,,1,2,,,,,1,3,,,6,2,,1,1,,,,,,,,,11,9,,,,1,,1,4,1,,,,,3,1
NORTH,34,153,50,,,,,,,,1,1,1,1,,,,,1,,,,,,,1,3,,,28,,1,,,,1,,,3,1,,,,,,,,,,,,1,2,,,1,,,2,,,,,,,,1
NORTH,34,154,26,3,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,1,2,,1,2,,,,,,,,,1,,,,3,,,,1,,3,1,,,,,,1,3
