PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,ASSIST/PROMOTE PROSTITUTION,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,TRUANCY - STREET WATCH,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,24,176,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,177,14,,,,,,,3,,,2,,,,,,,,,,,,,1,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
CENTRAL,24,178,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,
CENTRAL,24,179,5,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,180,29,2,,,,,,,1,,1,1,,,,1,,,,,,,2,6,1,,2,,,,,2,,,1,2,,,,1,,,,,,1,,,2,3,,,,,,,,,,,,,,
CENTRAL,24,181,9,,,,,,,,,,1,,,,,1,,,,,,,,2,,1,,,,,,,,,1,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,
CENTRAL,24,182,8,,,,,,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
CENTRAL,31,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,32,101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,21,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,57,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,
NORTH,31,58,13,,,1,,,,1,,,3,,,,,1,,,,,,,,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,
NORTH,31,61,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,62,13,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,2,1,,4,,,,,,,,,,,,,,,1,,,,1,,2,,,,,,,,
NORTH,31,63,6,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1,
NORTH,31,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
NORTH,31,66,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,31,67,6,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
NORTH,31,68,7,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
NORTH,31,69,16,,,,,,,,,,,1,,,,,,,,,,,,1,,1,2,,,,,2,,,2,,,,,,,,,,,,,,,2,,,2,,,2,,,,,,,1,
NORTH,31,70,59,1,,2,,,,2,1,,8,1,,,,2,,,,,,,,3,,1,2,,,,,2,,,7,5,,1,2,,,,,,,2,,,,7,,,,,,2,,,,,,1,2,5
NORTH,31,71,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,73,4,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,74,22,,,1,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,1,1,,4,,,,,,1,,,,,,,,,1,,,2,,,6,,,,,,2,,
NORTH,31,75,4,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,31,76,14,,,,,,,2,,,1,,,,,1,,,,,,,,,,,,,,,,2,1,,1,2,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,2
NORTH,31,77,9,1,,1,,,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,31,78,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,31,79,9,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,
NORTH,31,80,4,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,81,7,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
NORTH,31,82,32,2,,2,,,,,,,2,,,,,2,,,,,,,,2,,,1,,,,,,,,2,2,,,,,,,,,,,,,,9,,,,,1,3,,,,,,,2,2
NORTH,31,83,60,1,,,,,,2,,,9,1,,,,1,,,,,,,,1,1,,2,,,,,,2,,2,2,,1,,,,,,,,1,,,,13,,1,2,,,5,,,,1,,1,1,10
NORTH,31,84,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,85,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,86,7,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1
NORTH,31,87,8,,,,,,,,,,2,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
NORTH,31,88,12,2,,,,1,,3,,,1,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
NORTH,31,92,20,1,,,,,,3,,,3,1,,,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,3,,,,,,3,1,,,1,,,,
NORTH,31,93,14,,,,,,,3,,,1,,,,,,,,,,,,1,,,1,2,,,,,,,,2,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
NORTH,31,94,31,,,,,,,1,,,1,,,,,1,,,,,,,,4,,,2,,,,,2,1,,2,4,,,,,,1,,,,1,,,7,,,,,1,,1,,,,,,,,2
NORTH,31,95,17,,,2,,,,2,,,3,,,,,,,,,,,,,1,,,,,,,,2,,,,2,,,,,,,,,,,1,,,2,,,,,,1,1,,,,,,,
NORTH,31,96,40,1,1,1,,,,3,,,5,2,,,1,2,,,,,,,,1,,,,,,1,,,3,,2,3,1,1,,,1,,,,,1,,,,5,,1,1,1,,1,,,,,,,,1
NORTH,32,100,16,,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,1,3,,,1,,,,,1,,,,,,1,,,1,,,,2,,1,,,,1,,,,
NORTH,32,101,22,1,,1,,,,2,,,2,,,,,,,1,,,1,,,1,,,,,,,,,2,,2,1,,,,,,,,,,,,,,5,,,,1,,,,1,,1,,,,
NORTH,32,102,29,1,,,,,,,,,5,1,,,,2,,,,,,,,3,,1,2,,,,,,,,2,4,,,,,,,,,,1,,,,1,2,,,2,,,,,,,,,,2
NORTH,32,103,14,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,1,,4,,,,,,,,
NORTH,32,104,41,,,1,,,,4,,,7,,,,,2,,,,,1,,,2,,1,1,,1,,,1,1,,5,1,,,,,,,,,,,,,,3,,1,,1,,1,,,,1,,1,,5
NORTH,32,105,71,2,,3,,,,3,,,9,1,,,,1,,,,,,,,,1,1,1,,1,1,,4,6,1,5,2,,,,,,,,,,1,,,,14,,2,2,,,1,1,,1,,,,2,5
NORTH,32,106,8,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,32,107,8,,,,,,,1,,,2,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
NORTH,32,108,5,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
NORTH,32,109,46,,,,,,,5,,,7,1,,,,,,1,,,1,,,4,1,,2,,,,,1,,,3,,,,,,,,,,,,,,6,4,,,,4,,1,3,,,,,,2,
NORTH,32,110,42,1,,,,,,2,,,3,1,,,,3,,,,,,,,,,,,,,,,2,,1,3,4,,,,,1,,,,,,,,,13,,,,1,,2,1,1,,,,1,,2
NORTH,32,111,3,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NORTH,32,112,14,,,,,,,,,2,2,,,,,,,,,,,,,2,,,,,,,,,,,1,2,,,,,,,,,,1,,,,2,,,,,,,,,,,,,2,
NORTH,32,113,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
NORTH,32,114,5,1,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,32,115,15,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,1,2,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,1
NORTH,32,89,6,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,
NORTH,32,90,4,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,32,91,3,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,97,4,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
NORTH,32,98,14,1,1,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,1,,,,,,,
NORTH,32,99,8,,,,,,,,,,1,,,,,,,,,,,,1,2,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,116,41,,,1,,,,2,,,4,,,,,2,,,,,,,1,,,,2,1,1,,,3,,,6,1,,,,,,,,,,,,,,8,,,,,,3,3,,,,,,2,1
NORTH,33,118,69,1,,1,,,,6,,,8,,,,,,,,,,1,,1,5,,,1,,,,,4,1,,8,2,,1,,,1,,,,,,,,,10,,,,4,,6,4,,,,,,3,1
NORTH,33,119,59,4,,2,,,,2,,,7,,,,,3,,,,,,,3,,,,1,,3,,,6,,1,7,3,,,,,,,,,,1,,,,7,,1,,,,4,1,,,,,,,3
NORTH,33,120,7,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,
NORTH,33,121,45,1,,1,1,,,2,,1,6,,,,,,,,,,2,,1,6,,,,,,,,4,2,,2,,,1,,,,,,,,,1,,,3,,,3,2,,3,,,,,,,3,
NORTH,33,122,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,
NORTH,33,123,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
NORTH,33,124,15,,,2,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,3,,,3,1,,,,,1,,,,,,,,,2,,,,,,1,,,,,,,,
NORTH,33,125,13,1,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,1,,,,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,2
NORTH,33,126,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,33,127,14,,,,,,,1,,,1,,,,,,,,,,1,1,,,,2,,,,,,1,5,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,33,128,8,,,,,,,,1,,2,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
NORTH,33,130,18,,,1,,,,,,,1,,,,,,,,,,,,,,,,13,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,33,131,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,132,5,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,33,136,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,138,36,,,1,,,,3,,,7,1,,,,2,,,,,,,,1,,,,,1,,,,1,,5,1,,,1,,,,,,,,,,,7,,,,,,1,,,,,,,2,2
NORTH,34,139,71,1,,1,1,,,4,1,,12,,,,,1,,,,,,,,5,,,,,1,,,3,,,8,6,,,1,,1,,,,,1,,,,7,,,1,2,,4,1,,,,,1,1,7
NORTH,34,141,31,,,2,1,,,2,,,3,,,,1,3,,,,,1,,,2,,,1,,,,,3,,2,1,,,,,,,,,,,,,,1,6,,,,1,,,,,,,,,,1
NORTH,34,142,10,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,1,,,,,,,,,1,,,,,,2,,,,,,,,
NORTH,34,143,74,2,,,1,,,5,,,13,,,1,1,1,,,,,1,,1,3,,2,5,,,,,3,,,5,3,,,1,,2,,,,,1,,,,8,,2,1,1,,7,1,,,,,,,3
NORTH,34,144,9,1,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,1
NORTH,34,145,7,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,34,146,32,1,,,1,,,1,,1,3,,,,,,,,,,,,1,1,,,,,,,,1,9,,2,1,,1,,,,,,,,,,,,4,,1,,2,,2,,,,,,,,
NORTH,34,147,17,,,,,,,,,,4,2,,,,1,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,
NORTH,34,148,15,2,,,,1,,,,,1,,,,1,1,,,,,1,,,2,,,,,,,,,,,2,2,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,34,149,42,,,2,,,,2,,1,3,,,,,1,,,,,,1,,2,,1,,,1,,,4,,,3,3,,,1,,,,,,,,,,,4,,1,,1,,7,1,,,1,,,2,
NORTH,34,150,12,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,1,1,,,3,,,,,,,,
NORTH,34,151,8,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,
NORTH,34,152,69,1,,1,,,,4,,,7,,,,1,4,,,,,,,,6,,1,3,,2,,,3,4,1,9,4,,,,1,1,,,,,,,,4,4,,1,,,,6,1,,,,,,,
NORTH,34,153,24,1,,,,,,1,,,2,1,,,,2,,,,,,,2,2,,1,,,,,1,,,,1,4,,1,1,,1,,,,,,,,,1,,,,,,2,,,,,,,,
NORTH,34,154,58,,,1,,,,4,1,,8,1,,,,3,,,,1,1,,,1,,,,,,,,3,2,,10,4,,,1,,1,,,,,,1,,,10,,,2,,,1,1,,,,,,,1
