PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,GAMBLING-BETTING/WAGERING,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
NORTH,31,57,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,58,15,,,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,1,1,5,,,,1,,,
NORTH,31,61,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
NORTH,31,62,21,1,,,,1,,,5,,,,3,1,,,,,,,,,,1,,,,1,,,,1,,,,1,,,,,1,,,,,,,2,,,,,,,,,,3,,,
NORTH,31,63,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,1,,,
NORTH,31,66,2,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,67,8,,,,,2,,,2,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,31,68,8,1,,1,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,
NORTH,31,69,13,,,,1,,,,2,,,,,2,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,3,,,,,,1,,,,1,,,
NORTH,31,70,37,2,,,,3,,,6,,,,,7,,,,,,,,1,,,,,,,,,,2,,2,1,,,,,,,,,,1,,,9,,,,,1,1,1,,,,,,
NORTH,31,71,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,72,7,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,
NORTH,31,73,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,31,74,21,1,,,,1,,,3,,,,,3,,,,,,,,2,,,1,,,,,,1,,,7,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
NORTH,31,75,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,76,8,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,2,1,,,,,,1
NORTH,31,77,12,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,2,,1,,,,,,,
NORTH,31,78,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,31,79,18,1,,1,,1,,,4,,,,,,,,,,,,,1,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,2,,,,,2,,
NORTH,31,80,13,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,5,,,,1,,,
NORTH,31,81,7,,,1,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,31,82,19,,,,,,,,1,,,,,5,,,,,1,,,1,,,,,1,,,,1,,,3,1,,,,,,,,,1,,,,1,,,,,1,,1,,,,,,1
NORTH,31,83,87,,,2,,9,,,10,,,,,9,,,,,,,,,,4,,,,,1,1,1,2,,4,2,,,,,,,,,6,1,,,12,,,,,6,4,3,,1,,1,3,5
NORTH,31,84,7,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,
NORTH,31,85,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,86,8,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,1
NORTH,31,87,13,,,,,1,,,,,,,,1,,,,,,,1,,,3,1,,,,,1,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,1,1
NORTH,31,88,10,,,,,4,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1
NORTH,31,92,25,,,1,,2,,,3,,,,,1,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,3,,,,1,2,3,3,,,1,,,1
NORTH,31,93,15,,,,,1,,1,2,,,,,1,,,,,,,1,,,1,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,2
NORTH,31,94,42,1,1,,,,,1,4,,,,,7,1,1,,,1,,2,,,2,,,,,,1,1,3,,1,2,,,,,,,,,,,,2,6,,,,,1,1,1,,,,,,2
NORTH,31,95,18,,,2,,1,,,2,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,4,,,,,2,,,,,,,,2
NORTH,31,96,57,2,,1,,6,,,7,1,,,,6,,,,,1,,,,,1,1,,,1,,1,4,1,,2,,,1,,,,,,,2,1,,,11,,,,,2,1,1,,,1,,,2
NORTH,32,100,24,,,,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,3,,,,1,1,6,,1,1,4,,,
NORTH,32,101,16,2,,,,,,,1,,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,1,,,,,,,,1,,,3,,,,,1,1,,,,,,,1
NORTH,32,102,46,,,1,1,,,,2,1,,,,4,,1,,,,,,,,3,1,,,,,,,2,,6,3,,,,,,,,,,1,,9,1,,,1,,4,1,2,,,1,,,1
NORTH,32,103,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,
NORTH,32,104,50,1,1,,,2,,,7,,,,,2,,,,,,,,1,,1,1,,,,,,3,,1,2,2,1,,,,1,,,,2,,,,12,,,2,,,,,,1,2,,,5
NORTH,32,105,113,2,,2,,14,1,,16,1,,,,2,,,,,1,,1,,2,,,,,,,,4,4,,2,5,,3,1,,,,,,4,1,,,16,,,1,1,4,8,6,,,,1,5,5
NORTH,32,106,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
NORTH,32,107,9,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,1,,,,,1,,1
NORTH,32,108,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,,
NORTH,32,109,55,,,1,,1,,,9,1,,,,1,,,,,,,,4,1,,17,,,1,,,,,,,1,,1,1,,,,,,,1,,2,2,,,,1,1,4,1,,,1,2,,1
NORTH,32,110,37,1,,,,1,,,6,,,,,5,,,,,,,,1,,1,1,,,,,,2,,,2,1,,,,,,,,,,1,,,5,,,,,1,1,2,,,1,1,1,3
NORTH,32,111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,112,4,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
NORTH,32,113,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,114,8,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,
NORTH,32,115,10,,,,,,,,2,,,,,1,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,
NORTH,32,89,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
NORTH,32,90,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,
NORTH,32,91,13,1,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,2,,,,,1,,,,,1,,,1
NORTH,32,97,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,98,9,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,2,1,,,1,,,,
NORTH,32,99,4,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
NORTH,33,116,45,2,,1,,3,,,8,,1,,,1,,,,,,,,,,1,,,,,,,5,,,1,2,,1,1,,,,,,1,,,,11,,,,,,3,2,,,,,1,
NORTH,33,118,52,1,,3,,5,,,4,,,,,2,,,,,,,,2,,2,1,,,,,,1,1,,3,2,,2,2,,,,,,,,,,11,,,1,,,5,3,,,,,1,
NORTH,33,119,60,,,1,,2,,1,10,1,,,,3,,,,,,,4,,1,,,,1,1,,,1,2,,4,3,1,,,,,,,,1,,,,4,,,,1,,8,1,,2,1,,2,4
NORTH,33,120,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,
NORTH,33,121,36,,,,,3,,1,3,,,,,1,,1,,,,,,2,,,,,,,,,2,3,1,,1,,,1,,1,,,,,,,,8,,1,,,3,3,,,,,,,1
NORTH,33,122,6,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,
NORTH,33,124,20,,,3,,,,1,7,,,,,,,,,,,,,,,1,,,,,,,1,,,4,,,,,,,,,,,,,,2,,,,,1,,,,,,,,
NORTH,33,125,11,,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,1,,,,,,
NORTH,33,126,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
NORTH,33,127,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,1,,,,,,,,,,,1,,4,,,,2,1,2,,,,,,,
NORTH,33,128,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,
NORTH,33,130,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,2,,,,,,,
NORTH,33,132,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,135,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,34,137,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
NORTH,34,138,57,,,1,,1,1,,8,,,,,3,,,,,1,,1,,,1,1,,,,,,,3,,1,3,,,1,,,,,,,1,,1,3,,,,2,3,16,3,,,,,1,1
NORTH,34,139,72,,1,,,5,,,9,,1,,,1,,,,,,1,,3,,2,,,,,,,1,1,,5,,,,,,,,,,4,1,,,14,,,1,3,3,9,1,,,,1,2,3
NORTH,34,141,9,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1
NORTH,34,142,16,,,,,1,,,2,2,1,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,1,,,,2,,,,,2,,,,,,1,,
NORTH,34,143,32,1,,2,,1,,,5,1,,,,,,,,,1,,,1,,,,,,,,,1,,1,,,,,,,,,,,1,,,2,7,,,1,,2,2,,,,,,3,
NORTH,34,144,8,,,,,,1,,1,,,,,1,,,,,,,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,34,145,11,,,,1,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
NORTH,34,146,17,,,1,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,1,,,,1,,5,1,,,,,,
NORTH,34,147,21,,,,,,,,1,,,,,4,,,,,,,2,,,1,1,,,,,,1,,,1,2,,,,,,,,,,,,,2,,,1,,,2,1,,,,1,1,
NORTH,34,148,10,,,,,1,,,1,,,,,1,,1,,,1,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,
NORTH,34,149,40,,,1,,1,,,4,,,,,1,,,,,,,,1,1,,1,,,,,,,1,,2,3,,,,1,1,,,,,,,5,3,,,,2,3,6,1,,,,1,1,
NORTH,34,150,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,,,,
NORTH,34,151,6,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
NORTH,34,152,63,,1,,2,2,,,5,,,,,,,,,,,,1,1,,1,2,,,,,,1,2,,9,4,,,,,,1,,,,,,20,3,,,1,,,5,1,,,,1,,
NORTH,34,153,41,1,,2,,1,,,6,,,,,1,,,,,,,1,1,,,1,,,1,,,2,,,4,11,,,,,,,,,,,,,,,,1,,3,3,,,,1,,,1
NORTH,34,154,30,1,,1,,1,,,7,1,,,,,,,,,,,,1,,,,,,2,,,,,,1,2,,,2,,,,,,,,,,5,,,,,2,2,1,,,,,,1
NORTH,40,117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
