PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
NORTH,31,70,78,5,,3,,,10,,,10,,,,,5,,,,,,,,4,,,2,,,,,1,1,,7,2,,,1,,,,,,,1,,3,12,,,,1,,1,,,,,,9
NORTH,31,71,4,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
NORTH,31,72,4,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
NORTH,31,73,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
NORTH,31,74,22,1,,,,,1,,,4,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,2,,,3,,5,,,,,,,1
NORTH,31,76,7,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
NORTH,31,77,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,78,4,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
NORTH,31,79,6,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,
NORTH,31,80,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,1,,,,,,,,,,,,
NORTH,31,81,8,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,
NORTH,31,82,22,2,,1,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,,,3,,1,,1,,,,,,,,4
NORTH,31,83,55,3,,1,1,,5,,,4,1,,,,9,,1,,,,,,,,,4,,,1,,2,2,,4,1,,,1,,,,,,,,1,,7,,,,3,,2,,,,,,2
NORTH,31,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,
NORTH,31,86,6,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
NORTH,31,87,10,1,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,2,,,,1,,,,,,,,1
NORTH,31,88,15,,,,,,,,,2,,,,,1,,,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,1,,1,,,3,,,,,2,,,,,,,1
NORTH,31,92,10,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,1,,,1,1,,1,,,,,,,,,,,,,,1,,,,1,,1,,,,,,
NORTH,31,93,17,,,,,,1,,,1,,,,,,,,,,,,2,1,,,5,,,,,,,,3,2,,,,,,,,,1,,,,,,,,,,1,,,,,,
NORTH,31,94,23,,,,,,,,,1,,,,,1,,,,,,,,1,,4,2,,,,,,,,4,4,,,,,,,,,,1,,2,1,,1,,1,,,,,,,,
NORTH,31,95,14,,,,,,1,,,3,,,,,,,,,,,,,,,,,1,,,,1,,,,3,,,,,,,,,,,,,3,,,,,2,,,,,,,
NORTH,31,96,30,,,1,,,3,,,6,,,,,4,,,,,,,,1,1,1,,1,,,,2,,,1,1,,,,,2,,,,,1,,,5,,,,,,,,,,,,
NORTH,32,100,11,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,1,,,,,,,,,1,,,2
NORTH,32,101,21,,,,,,,,,1,,,,,,,,,,1,,1,,,1,2,,1,,,1,,,3,1,,,,,,,,,,,,1,6,,,,,1,,,,1,,,
NORTH,32,102,30,,,,,,2,,,2,,,,,,,,,,,,,1,,2,8,,,,,1,,,3,3,,,,,,,,,,,,2,2,,,,1,1,1,,,,,1,
NORTH,32,103,5,,,,,,,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,104,23,,,2,,,1,,1,3,,,,,1,,,,,1,,,,,,1,,,,,,2,,1,1,,,,,,,,,,1,,,4,,,,2,2,,,,,,,
NORTH,32,105,61,,1,1,,,7,,,13,2,,,,4,,,,,,,,1,,1,,,,,,,,1,7,3,,,,,1,,,,,,,,8,,2,,2,4,1,,1,,1,,
NORTH,32,106,4,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,108,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,109,46,,,1,1,,5,,,6,,,,,3,,,,,,,,2,,,2,,,,,2,2,,6,,,,,,,,,,,2,,1,5,,1,,1,1,2,,,,2,,1
NORTH,32,110,38,,,,,,,,,7,,,,,2,,,,,,,,1,,,,,1,,,1,4,,4,1,,,,,2,,,,,2,,,6,,,,2,3,1,,,,,,1
NORTH,32,111,3,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,112,17,,,,,,2,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,2,,,1,,,,,,,,1,,,3,,,1,,,1,,,,,,2
NORTH,32,113,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,114,7,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,2,
NORTH,32,115,9,,,,,,,,,2,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
NORTH,32,89,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,90,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,91,9,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,
NORTH,32,98,13,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,3,,,,,1,,,,,,,
NORTH,32,99,4,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
NORTH,33,116,30,,,2,,,4,,,3,,,,,1,,,,,1,,,1,,,1,,,,,4,,,2,3,,,,,,,,,,,,,6,,,,,,,,,,,2,
NORTH,33,118,72,,1,,,,12,1,,11,,,,,1,,,,,,,,2,,2,1,,,1,,1,2,,4,1,,,1,,,,,,,2,2,2,10,,,1,3,4,,,,,,4,3
NORTH,33,119,47,4,,,,,1,,,5,,,,,1,,,,,,,1,1,,4,2,,,,,2,3,,3,,,1,,,,,,,,,,,9,,1,,,4,,,,,,2,3
NORTH,33,120,4,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
NORTH,33,121,33,,,1,,,3,,,6,1,,,,,,,,,,,,,,1,,,,,,2,,,3,1,,,,,,,,,,,,,7,,,2,3,1,1,,,,,1,
NORTH,33,122,4,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,123,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
NORTH,33,124,32,1,,,,,,,,6,,,,,1,,2,,,,,,,,3,,,,,,1,,,3,1,,1,,,,,,,,,,,5,,1,,3,1,1,,,,1,,1
NORTH,33,125,8,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,2,,1,1,,,,,,1,,1,,,,
NORTH,33,126,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
NORTH,33,127,12,1,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,1,1,2,1,,,,,,
NORTH,33,128,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,
NORTH,33,130,9,,,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,1,
NORTH,33,131,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,132,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,137,4,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
NORTH,34,138,34,,,,,,1,,,4,1,,,,2,,,,,,,,1,,,,,,,,1,,,,3,,1,1,,,,,,,2,,,6,,,1,2,3,1,,,,,1,3
NORTH,34,139,42,1,,2,,,2,1,,4,,1,,,3,,,,,1,,,,,2,,,,,,2,1,,,2,,,,,,,,,,,,,11,,,,5,3,,,,,,1,
NORTH,34,141,14,,,,1,,,,,2,,,,,2,,,,,,,,,,,,1,1,,,1,1,,,1,,,,,,,,,,,,,2,,,,1,,,,,,,1,
NORTH,34,142,11,,,,,,1,1,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,1,
NORTH,34,143,41,1,,,,,1,,,5,3,,,,,,,,,,,1,2,,7,1,,,,,,,,3,,,,,,,,,,,2,,1,5,,,,2,1,,,,,,2,4
NORTH,34,144,8,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,1,,,,,,1,,
NORTH,34,145,13,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,3,,,1,,,1,,,,,,1,,1,,,,,1,1,,,,,,1
NORTH,34,146,15,,,,,,,,,4,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2,,,1,1,1,,,1,,,,1
NORTH,34,147,15,,,,,,1,,,1,,,,,1,,,,,,,1,2,,1,1,,,,,,,,1,,,,,,,,1,,,,,,2,,,1,1,,,,1,,,,
NORTH,34,148,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
NORTH,34,149,44,3,,3,,,4,,,3,1,,,,1,,,,,,,1,2,,5,1,,,,,4,,,3,1,,,,,,,,,,1,1,1,4,,,,2,1,1,,,,,1,
NORTH,34,150,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,1,,,,,,,
NORTH,34,151,7,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,
NORTH,34,152,66,,,,,,,,,4,,,,,,,,,,,,,5,,11,1,,,,,3,3,1,4,5,,,,,,,,,,,1,13,4,,1,,4,4,,,,,,1,1
NORTH,34,153,30,,,,1,,,,,3,,,,,1,,,,,,,3,1,,,1,,,,,1,,1,4,2,,,,,,,,,,1,,2,3,,,,2,2,,,1,,,,1
NORTH,34,154,31,,,,,,2,,,2,1,,,,2,,,,,1,,,1,,2,,,,,,1,2,,3,1,,,,,1,,,,,,,,6,,,,3,2,1,,,,,,
