PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
NORTH,31,57,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
NORTH,31,58,8,,,1,,,2,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,
NORTH,31,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
NORTH,31,62,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
NORTH,31,63,9,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,1,,,,1,,,
NORTH,31,66,5,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
NORTH,31,67,8,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,1,
NORTH,31,68,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,31,69,10,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,3,2,,,,,,
NORTH,31,70,60,,,1,,,1,,,9,,,,,10,,,,,,,1,1,,,1,,1,,,2,,1,2,2,,,1,,,,,,,1,,1,6,,,,1,,,7,,,,2,,2,7
NORTH,31,71,4,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,72,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,73,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,74,27,1,,,,,,,,3,,,,,2,,,,,,,,1,,,,,,,,,,2,3,,,,,,,,,,,,,1,4,,,,3,,,5,1,,,,,,1
NORTH,31,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
NORTH,31,76,12,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3,,,,1,1,,1,,,,,,,
NORTH,31,77,9,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,3,,,,,,1,
NORTH,31,78,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,31,79,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,80,8,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2
NORTH,31,81,9,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,2,,,,,,,1
NORTH,31,82,35,1,,1,,,1,,,4,,,,,1,,,,,,,,2,,1,,,,,,3,,,5,2,,,,,2,,,,2,,,,4,,,,,,,3,,,,,,,3
NORTH,31,83,46,,,,,,6,,,5,,,,,5,,,,,,,,1,,1,,,1,1,,,2,,2,1,,,,,,,,,1,,,,6,,,1,,1,,5,,,,,1,2,4
NORTH,31,84,3,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,85,6,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,86,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,87,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,1,,,,,,1,
NORTH,31,88,12,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,3,,,,,1,2,
NORTH,31,92,11,,,,,,,,,3,,,,,,,,,,,1,,2,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,1,,,,,,1,
NORTH,31,93,11,,,,,,,,,1,,,,,,,1,,,,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,1
NORTH,31,94,17,,,,,,,,,1,,,,,2,,,,,,,2,2,,,2,,1,,,,,,,1,,,,,,,,,,,,,3,,,,,1,,,1,,,,,,1
NORTH,31,95,31,2,,,,,2,,,3,2,,,,,,,,,,,,,,,,,,,,1,1,,3,2,,,,,,,,,,,,,6,,,,3,,,3,,,,,1,1,1
NORTH,31,96,54,,,1,,,6,,1,5,1,1,,,8,,,,,,,,2,,1,1,,1,,,4,1,,1,1,,,,,,,,,1,,,,8,,,2,1,1,,1,2,1,,,,1,1
NORTH,32,100,15,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,3,,,5,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,
NORTH,32,101,7,,,,,,,1,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,
NORTH,32,102,30,,,,,,1,1,,1,,,,,1,,,,,,,1,5,,,,,1,,,,,,4,2,,,1,,,,,,3,,,1,4,,,,,1,,1,,,,,,,2
NORTH,32,103,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,,1,,,,,,
NORTH,32,104,33,,,2,,,1,1,,5,,,,,7,,,,,2,,,1,,,1,,,,,2,,,,2,,,,,,,,,2,,,,2,,,,1,,,,,,,2,,1,1
NORTH,32,105,62,2,,2,2,,4,,,8,,,,,8,,,,,,,,4,,,1,,,,,,3,,3,,,1,1,,2,,,,,,,,8,,,,,1,,4,1,,,,,,7
NORTH,32,106,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,3,,,,,,,
NORTH,32,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
NORTH,32,108,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,109,32,,,,,,1,,,2,,,,,1,,,,,,,,1,,1,3,,,,,1,1,,3,1,,,,,,,,,,,,6,9,,,,,1,,,,,,,,,1
NORTH,32,110,39,2,,,,,4,,,8,,,,,5,,,,,,,,,,,1,1,,,,,,,3,2,,,,,,,,,,,,,3,,,1,,,,3,,,,,1,1,4
NORTH,32,111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
NORTH,32,112,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,32,113,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1
NORTH,32,114,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,115,15,1,,,,,,,,2,,,,,,,,,,,,,3,,1,1,,,,,1,,,,2,,1,,,,,,,,,,,2,,,,,,,1,,,,,,,
NORTH,32,89,6,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,32,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,32,91,4,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,97,4,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,32,98,12,1,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,2,,,1,,,,,,,2
NORTH,32,99,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
NORTH,33,116,48,,,1,,,2,,,5,1,,,,2,,,,,,,,2,,1,1,,,,,4,,,4,6,,,,1,,,,,,,,,10,,,1,,1,1,,1,,,,,2,2
NORTH,33,118,77,,,2,,,9,,,11,1,,,,4,,,,,1,,1,2,,1,2,,,,,1,,,4,2,,3,1,,2,,,,1,,,,12,,,,4,,,7,2,,,,1,2,1
NORTH,33,119,66,,,,,,2,,,12,,,,,3,,,,,1,,2,3,,1,,,1,,,2,1,,5,6,,,,,1,,,,1,,,1,14,,,,1,,,5,,,,1,,,3
NORTH,33,120,9,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,
NORTH,33,121,47,1,,,,,4,1,,6,,,,,,,,,,,,,,,,,,,,,4,2,,4,1,,,3,,,,,,1,,,,7,,,,2,,,6,1,,,,,4,
NORTH,33,122,4,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,33,124,28,,,1,,,1,,,2,,,,,,,1,,,,,1,1,,1,1,,,,,2,,,3,1,,,,,1,,,,,,,,2,,,1,2,2,,2,,,1,,,2,
NORTH,33,125,12,,,,,,,1,,2,,,,,,,,,,,,,1,,,1,,,,,,,,1,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,33,126,7,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1
NORTH,33,127,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,1,,,,,,,,,,,3,,,,,,,,,,,,,1,
NORTH,33,128,6,,,,,,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
NORTH,33,130,15,1,,,,,,,,2,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,2,,,7,,,,,,,
NORTH,33,131,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,33,132,3,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,133,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,136,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,137,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
NORTH,34,138,27,1,,1,,,3,1,,4,,,,,1,,,,,,,,,,,1,,,,,1,,,1,3,,,,,1,,,,,1,,,3,,,,2,,,3,,,,,,,
NORTH,34,139,62,,,2,,,3,,,3,2,1,,,1,,,,,1,1,,2,,,4,,2,,,,,,5,5,,,,,,,,,,,,,17,,,,5,1,,4,2,,,,,1,
NORTH,34,141,25,1,,,,,1,,,4,,,,,3,,,,,,,,,,2,,,,,,,3,,2,,,,,,,,,,1,,,,3,,,,,1,,,,,,,1,1,2
NORTH,34,142,9,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,2,,2,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,
NORTH,34,143,42,,,,,,3,,,5,,,,,1,,,,,,,,,,,2,,,,,1,3,,6,,,,,,1,,,,1,,,2,6,1,,,1,,,4,,,1,,2,1,1
NORTH,34,144,13,,,,,,,,,,,,,1,1,,,,,,,3,1,,1,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,2,1,,,,,,
NORTH,34,145,16,1,,,,,2,,,3,,,,,1,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,2,,,2,,,,,,,1
NORTH,34,146,26,,,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,1,4,,2,1,,,,,,,,,,,,,2,,,1,,1,,3,,,,,1,,
NORTH,34,147,11,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,2,,,,,,2,
NORTH,34,148,23,,,1,,,,,1,4,,,,,2,,,,,,,,,,,3,,1,,,1,2,,2,,,,1,,1,,,,,,,,1,,,,,,,,,,1,,,1,1
NORTH,34,149,47,,,1,,,,,,3,,,,,,,,,,1,,1,2,,1,2,,,,,1,2,,2,1,,,,,,,,,,,,4,6,,1,,2,,,10,1,,,,1,4,1
NORTH,34,150,15,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,3,,,6,1,,,,,2,
NORTH,34,151,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5,,,,,,,
NORTH,34,152,44,,,,,,1,1,,2,1,,,,2,,,,,,,2,,,1,1,,,1,,,1,,6,3,,,,,,1,,,,,,5,4,,,,,,,3,3,,,,,3,3
NORTH,34,153,29,1,,,,,,,,3,1,,,,2,,,,,,,,,,,2,,,,,2,,,2,8,,,,,,,,,2,,,1,,,,,,1,,2,,,,,,,2
NORTH,34,154,35,1,,1,,,1,,,5,1,1,,,2,,,,,,,,1,,1,,,,,,1,,,6,3,,,,1,,,,,,,,,5,,,,2,,,,,,1,,,1,1
NORTH,34,255,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
