PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
NORTH,21,190,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,23,155,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,58,14,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,4,,,3,,,,,1,,
NORTH,31,61,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,
NORTH,31,62,7,,,,,,,1,1,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
NORTH,31,63,8,,,,,,,,2,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,1,
NORTH,31,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,66,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,67,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
NORTH,31,68,8,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,
NORTH,31,69,24,,,1,1,,,,4,,,,,,,,,,,,,,,1,,,,,,,,3,1,,,,,,,,,,,,,,1,,,,3,,,6,1,,,,,,2
NORTH,31,70,63,4,,,,,1,,14,,,,2,1,,,,1,,,3,,,,,,,,2,2,,2,3,,,,,1,,,,,,,,3,7,,,,2,1,,1,1,,,,2,,10
NORTH,31,71,8,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
NORTH,31,72,4,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,31,74,37,,,,,,,,3,1,,,,,,,,,,1,4,,,2,,,,,1,,,2,3,,,,,,,,,,,1,,1,,,,,10,,,6,1,,,,,,1
NORTH,31,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,76,8,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,
NORTH,31,77,10,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,1
NORTH,31,79,5,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
NORTH,31,80,4,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
NORTH,31,81,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,82,38,,,,,,,,3,,,,,2,,,,,,,16,,,1,,,,,2,,,3,2,,1,1,,,,,,,1,,,,4,,,,,,,,,,,,,,2
NORTH,31,83,58,1,,,,3,,,11,,,,,1,,,,,1,,2,,2,1,,,,,2,1,,2,4,,,,,,,,,,1,,,,8,,,,2,,,3,,,1,,1,4,7
NORTH,31,84,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,85,8,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,1
NORTH,31,86,11,,,,,1,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,1,
NORTH,31,87,11,,,1,,1,,,2,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,2,
NORTH,31,88,23,1,,,,1,,1,,1,,,,1,,,,,,,,,1,,,,,,1,2,,1,1,,,,,,,,5,,1,,,,,,,1,1,,,1,,,,,,1,2
NORTH,31,92,42,1,,,,2,,,8,1,1,,,1,,,,,,,1,,1,,,1,,,3,,,2,,,1,1,,,,,,,2,,,,6,,1,,,,,4,,,,,,,5
NORTH,31,93,8,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,2,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
NORTH,31,94,25,,,,,,,,1,,,,,,,,,,1,,2,,,3,,,,,2,,,1,2,,,,,,,,,,1,,,3,3,,,,1,,,,2,,,,,,3
NORTH,31,95,30,1,,,,,,,4,1,,,,1,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,,1,,,4,,,,1,1,,4,1,,,,,1,4
NORTH,31,96,66,1,,,,1,,2,9,,,,,5,,,,,,,1,,,1,,1,,1,6,3,,5,2,,,,,1,,,,,1,,,,5,,3,,3,1,,5,,,,,1,2,6
NORTH,32,100,11,1,,,,2,,,,,,,,1,1,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1
NORTH,32,101,18,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,1,,3,3,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,1,1,
NORTH,32,102,36,,,,,1,,,5,,,,1,2,,,,,,4,,,1,1,,1,,,,,,2,4,,,1,,,,,,,,,,1,2,,,,,1,,3,1,,,,,2,3
NORTH,32,103,12,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,1,
NORTH,32,104,24,,,,,2,1,,1,,,,,1,,,,,,,,,1,,,,,,2,,,3,1,,,,,,,,,,2,1,,,1,,,,1,1,,1,,,,,,2,3
NORTH,32,105,69,3,,3,,5,,,8,,,,,2,,1,,,,,1,,,,,,,,2,6,,2,4,,,,,,,,,,,,,,9,,,2,2,3,,3,2,,,,3,3,5
NORTH,32,106,4,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,
NORTH,32,107,5,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
NORTH,32,109,58,1,,2,,2,,2,4,,,,,3,,,,1,,,3,,,2,,,,,1,,,7,3,1,,,,2,,,,,1,1,,2,10,,1,,,1,,3,3,,,,,,2
NORTH,32,110,32,,,,,1,1,2,5,,,,,1,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,1,,,1,7,,,,,1,,,3,,,,,2,2
NORTH,32,111,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,112,12,,,,,,,1,3,,,,,,,,,,,,1,,,1,,,,,,1,,1,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1
NORTH,32,113,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,
NORTH,32,114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,115,18,,,,,,,,2,,,,,1,,,,,,,2,,,2,,,,,,,,1,3,,,,,1,,,,,1,,,1,1,,,,1,1,,,,,,,1,,
NORTH,32,89,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
NORTH,32,90,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,91,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
NORTH,32,98,11,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1
NORTH,32,99,9,,,,,1,,,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
NORTH,33,116,31,,,,,,1,,5,,,,,1,,,,,,,,,,1,,,,,1,1,1,3,1,,1,,,,,,,,2,,,1,6,,,,,,,,2,,,,1,1,2
NORTH,33,118,51,,,,,2,,,11,1,,,,1,,,,,,,2,,2,1,,1,,,2,,,2,2,,,,,,,1,,,4,,,,2,,,,3,1,,3,2,,,,,3,5
NORTH,33,119,67,2,,4,,1,,,10,1,,,,1,,,,1,,1,1,,,2,,,,1,,2,,6,4,,1,,,1,,,,,2,1,,2,7,,,,2,1,,6,,,1,,,2,4
NORTH,33,120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
NORTH,33,121,43,1,,,,5,,1,8,,,,,,,,,,,,4,,3,,,,,,2,1,,2,2,,1,,,,,,,,,,,,6,,,,,,,3,,,,,2,,2
NORTH,33,122,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
NORTH,33,124,30,1,,1,,3,,,3,,,,,2,,,,1,,,1,,,,,,,,2,,,2,2,,,,,,,,,,,1,,,5,,,,,,,3,1,,,,,1,1
NORTH,33,125,11,,,,,1,,,2,,,,,,,,,,,,,,,3,,,,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,
NORTH,33,126,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
NORTH,33,127,18,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,9,,1,1,,1,,,,,,,,,,,,2,,,,1,,,1,,,,,,,
NORTH,33,128,5,,,1,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,130,9,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,2,
NORTH,33,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,132,5,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
NORTH,34,137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,138,36,,,1,,1,,,7,,,,,,,,,,,,2,,1,,,,,2,,1,,3,,,2,,,,,,,,1,,,,7,,,,,2,,1,,,2,,,1,2
NORTH,34,139,72,2,,1,,7,,,8,2,,,,1,,,,,,,5,,,2,,,,,3,1,1,4,1,,,,,1,,,,,,1,,,8,,,,4,3,,10,,,1,,,3,3
NORTH,34,140,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NORTH,34,141,35,2,,2,,2,,,10,,,,,,,,,,,,1,,2,,,,,,2,,,4,,,,,,,,,,,1,,,,5,,,,,,,2,,,,,1,,1
NORTH,34,142,10,,,,,,,,2,1,,,,,,,,,,,,1,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
NORTH,34,143,48,,,1,,1,,,6,,,,,2,,2,,,,1,1,,,,,,,,2,,,4,2,,,,,2,,,,,2,1,,1,5,,,,1,2,,5,,,,,1,4,2
NORTH,34,144,9,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,1,,,,1,,,,,,,,1,,,,1,,
NORTH,34,145,16,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,2,,,5,1,,,,,1,
NORTH,34,146,28,1,,,,,,,2,,,,,,,,,,,,,,1,1,,,,,1,5,,5,1,1,,,,,,,,,,,,,3,,,,1,,,5,,1,,,,,
NORTH,34,147,11,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,2,1,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,
NORTH,34,148,15,1,,,,,,,,,,,,2,,,,,,1,,,,2,,,,,1,,,1,1,,,,,,,,,,1,,,,2,,,,1,,,,,,,,,,2
NORTH,34,149,48,3,,1,,1,2,1,2,,,,,1,1,,,,,,1,,2,2,,,,,3,,,3,3,,,,1,,,,,,,,,2,9,,,,,1,,7,1,,,,,1,
NORTH,34,150,15,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,2,,,8,,,,,,1,
NORTH,34,151,13,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,1,,,,1,,,3,,,,,,1,
NORTH,34,152,62,,,,,2,,,4,,,,,2,,1,,,,,,,,4,,2,,,2,1,,10,6,,,,,,,,,,,,,4,9,,,,,1,,8,1,,,,,4,1
NORTH,34,153,24,,,,,,,,3,,,,,2,,,,,,2,,,,2,,,,,1,,,1,8,,,,,,,,,,,,,,1,,,,,1,,,,,,,,2,1
NORTH,34,154,42,1,,,,5,,,4,1,,,,1,,,,,1,,1,,,,,,,,,2,,4,3,,,1,,,,,,,,,,,4,,,1,3,,,5,1,1,,,,2,1
