PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD - WELFARE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,LOITERING,MISSING PERSON,NEGLECT CHILD,NEGLIGENT MANSLAUGHTER,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
NORTH,31,58,9,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
NORTH,31,62,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,11,,,1
NORTH,31,63,3,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,66,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,67,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,
NORTH,31,68,4,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,69,7,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
NORTH,31,70,69,2,,,,,3,1,,14,2,,,,7,,,,,,,,,,,2,,1,,,5,,,2,3,,,,,,,,,,3,1,,1,13,,,,,1,,2,1,,,,1,1,3
NORTH,31,71,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
NORTH,31,72,10,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,
NORTH,31,73,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,74,27,2,,,,,2,,,4,1,,,,1,,,,,,,1,,,,,,,,,2,6,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
NORTH,31,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,31,76,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,
NORTH,31,77,12,,,,,,2,,,1,,,,,1,,,,,,,1,,,1,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
NORTH,31,78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,79,13,1,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,1,2,,2,,,,,1,,
NORTH,31,80,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
NORTH,31,81,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,82,17,,,,,,2,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,1,3,,,,,1,,1,,,,,,1,
NORTH,31,83,89,2,,,,,5,,1,12,,,,,8,,,,1,,,3,,,1,3,,,,,7,,,7,3,,,,1,,,,,,2,,,,12,,,2,1,7,,2,,,1,,,1,7
NORTH,31,84,5,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
NORTH,31,85,5,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
NORTH,31,86,6,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
NORTH,31,87,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
NORTH,31,88,16,,,1,,,,,1,,1,,,,3,,,,,,,,,,,,,,,,1,1,,,3,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,
NORTH,31,92,15,1,,,,,,,,1,2,,1,,,,,,,,,,,,,1,,,,,,,,1,2,,,,,,,,,,1,,,,3,,,,,,,1,,,,,,,1
NORTH,31,93,11,,,,,,1,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,
NORTH,31,94,33,1,,,,,1,,,1,,,,,6,,,,,,,,,,,,,,,,1,,,5,5,,,,,,,,,,,,,6,2,,2,,,2,,1,,,,,,,
NORTH,31,95,17,,,1,,,,1,,4,,,,,2,,,,,,,,,,,,,,,,1,,,2,,,,1,1,,,,,,,,,,3,,,1,,,,,,,,,,,
NORTH,31,96,38,,,1,,,3,,,10,,,,,2,,,,,,,1,,,,,,,,,,2,1,1,5,,,,,,,,,,2,,,,4,,,1,,,,2,,,,,,1,2
NORTH,32,100,8,,,,,,,,,1,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,1,,,
NORTH,32,101,21,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,1,,2,2,,,2,,,,,,,,,,,5,,,1,,,,,,,,4,,,1
NORTH,32,102,49,1,,,,,,,,,1,,,,3,,1,,1,,2,1,,1,1,1,,,,,,1,,13,4,,,,1,,,,,,1,,,10,3,,,,,,,1,,,,,,,2
NORTH,32,103,8,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,,,2,,,,,,,,,,,,,,
NORTH,32,104,32,,,2,,,1,,,3,,,,,1,,,,1,,,,,,1,,,,,1,2,2,1,4,,,,1,,,,,,,1,,,,5,,,1,,1,,,1,,,,,2,1
NORTH,32,105,89,1,,,,,5,1,,14,1,,,,9,,,,,,,,,,1,,,,,,3,2,,13,4,,,,2,,,1,,,1,,,,14,,,1,,7,,,3,1,1,1,,1,2
NORTH,32,106,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,107,7,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
NORTH,32,108,8,1,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
NORTH,32,109,44,1,,1,,,1,,,4,2,,,,,,1,,,,,2,,,,3,,,,,,1,,1,6,,,,2,,,,,,,,,6,4,,,,1,3,,4,1,,,,,,
NORTH,32,110,53,3,,,,,2,1,1,6,,,,,5,,,,1,,,1,,,1,,,,,,,1,,5,2,,,,,,,2,,,1,,,1,9,,,,,2,,1,1,,,1,1,1,4
NORTH,32,111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,112,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1
NORTH,32,113,3,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,114,10,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,2,,,4,,,,,,,
NORTH,32,115,23,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,1,,,,3,,,,,,,,,,,,,5,1,,,,2,,,3,,,,,,,
NORTH,32,89,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
NORTH,32,90,6,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,32,91,10,,,2,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,1,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,32,97,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,98,12,,,,,,1,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,1
NORTH,32,99,11,,,1,,,,,,3,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,
NORTH,33,115,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,33,116,47,1,1,,,,1,1,1,7,,,,,2,,,,,,,,,,,1,1,,,,3,1,1,6,1,,,,,,,,,,,,,,11,,,,,1,,3,,1,2,,,1,
NORTH,33,118,82,1,1,1,,,2,1,,13,,,,,1,,,,,,,3,,,,2,,,,,2,,,12,4,1,,,,,,,,,,1,,,11,,,,1,9,,10,1,,,,1,3,1
NORTH,33,119,69,3,1,,,,2,1,1,9,,,,,2,,,,,,,3,,,1,,,,,1,3,1,1,3,4,,,,,,,1,,,,,,1,14,,,,1,5,,4,3,,,,,,4
NORTH,33,120,12,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,1,
NORTH,33,121,32,1,,1,,,1,,,1,,,,,1,,,,,1,,1,,,,,,,,,2,,,4,3,,,,1,,,,,,,,,,8,,,,1,2,,,1,,,,,,3
NORTH,33,122,7,,,,,,,,,1,,,,,2,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
NORTH,33,124,18,1,1,1,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,1,,,1,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,
NORTH,33,125,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,5,,,,,1,,,,,,,,,2,,,,,,,,,,,,1,,
NORTH,33,126,7,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,33,127,20,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,14,,2,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,
NORTH,33,128,5,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
NORTH,33,130,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,1,,,1,,,,,,
NORTH,33,132,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
NORTH,33,135,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,136,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,137,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
NORTH,34,138,41,2,1,2,,,1,1,,4,,,,,2,,,,,,,1,,,,,,,,,1,,1,4,1,,,,1,,,,,,,1,,2,7,,,,,3,,1,,,,,1,1,3
NORTH,34,139,77,3,,,,,1,,,15,,1,,,3,,,,,,,1,,,1,,,,,,2,5,,11,3,,,1,2,,,,,,,1,,,12,,,,,5,,5,1,,1,1,1,1,
NORTH,34,141,31,1,,,1,,1,,,9,,,,,1,,,,,,,2,,1,1,,1,1,,,,2,,2,,,,1,,,,,,,,,,,2,,1,,,,,1,,,,1,,1,1
NORTH,34,142,35,,,,,,6,,,4,1,,,,2,,,,,,,,,,1,,,,,,,4,,6,,,,1,,,,,,,,,,,3,,,,,3,,1,,,,2,,1,
NORTH,34,143,51,2,,1,1,,3,,2,5,1,,,,2,1,,,,,,1,,,,1,,,,,,1,1,1,1,,,,,,,,,,,1,,2,10,,,,1,4,,2,1,,,,,4,2
NORTH,34,144,7,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,
NORTH,34,145,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
NORTH,34,146,27,1,,1,,,,,,3,1,,,,,,,,1,,,2,,,,,,,,,1,1,,4,1,,,,,,1,1,,,,,,,4,,,2,1,,,1,1,,,,,,
NORTH,34,147,14,,,,,,1,,,2,,,,,,,,,,,1,,,,,1,,,,,3,,,,1,,,,,,,,,,,,,,3,,,,1,,,1,,,,,,,
NORTH,34,148,5,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
NORTH,34,149,42,1,,2,,,3,,,4,1,,,,1,,,,,,1,2,,,6,,,,,,2,,,1,2,,,,,,,2,,,,,,2,7,,1,,1,,,3,,,,,,,
NORTH,34,150,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
NORTH,34,151,19,,,1,,,2,,,3,,,,,1,,,,,,,,,,,,,,,,,1,,2,2,,,,,,,,,,,,,,2,,,,2,1,,1,,,,,,,1
NORTH,34,152,64,,,1,,,,,,3,,,,,2,,,,,,,,,,1,6,,,,,2,1,,12,3,,,,1,,,2,,,,,,15,9,,,,1,1,,1,1,,,,,1,1
NORTH,34,153,29,,,,,,1,,,3,,,,,3,,,,,,,,,,,2,,,,,2,,,1,7,,,,,,,1,,,1,,,,3,,,,,,,1,1,,,,,1,2
NORTH,34,154,51,1,1,1,1,,1,,,7,,,,,2,,,,,,,1,,1,,,,1,,,1,2,,2,1,,,,2,,,,,,,,,,15,,,,1,1,,4,,,,,,2,3
NORTH,40,117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
