PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,POCKET PICKING,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEH RECOVERY(OUT OF JURIS),VEHICLE THEFT,WEAPON OFFENSE
NORTH,31,66,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,67,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,
NORTH,31,68,4,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,69,10,,,,,,,,2,,,,,1,,,,,,,1,,,,,,,,,,,3,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,
NORTH,31,70,62,1,,,2,5,,,8,1,,,,10,,1,,,,,,,,,,,,,2,2,,1,4,,,,,,,2,,,2,9,,,,1,,,3,,,,,2,,2,4
NORTH,31,71,4,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
NORTH,31,72,6,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
NORTH,31,73,9,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,2,,,,,,,1,,,,,,,,
NORTH,31,74,27,2,,,,,1,,3,1,,,,2,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,1,1,,,,,1,,2,1,,,,,1,,2
NORTH,31,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,
NORTH,31,76,9,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,1
NORTH,31,77,12,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,3,,,1,1,,,,,,,,,,,
NORTH,31,78,4,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
NORTH,31,79,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2,,,,,,,,
NORTH,31,80,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,1,,,,,,,,,,,,,,,1
NORTH,31,81,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,1,,
NORTH,31,82,26,1,,1,,,,,3,,,,,2,,,,,,2,1,,,1,,,,,,,,1,2,,,,,,,,1,,1,7,,1,,,,,,,,,,,,1,1
NORTH,31,83,60,,,,,8,1,,7,2,1,,,3,,,,2,,,,,,,,1,,,,2,1,2,5,,,2,,,,1,,,,11,,,,1,,,4,,1,,,,,2,3
NORTH,31,84,7,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
NORTH,31,85,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,2
NORTH,31,86,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
NORTH,31,87,13,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,5,,,,,,,2,
NORTH,31,88,28,2,,,,1,1,1,,,,,,5,,,,,,,,,,,,,,,1,,2,1,3,,,,,,,,,,,2,,,,3,,,3,,,,,,,,3
NORTH,31,92,21,5,,,,,,1,5,2,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,2,,,,1,,,1,,,,,,,,1
NORTH,31,93,11,,,,,,,,1,,,,,,,,,,,3,,,1,1,,,,,,,,1,2,,,1,,,,,,,1,,,,,,,,,,,,,,,,
NORTH,31,94,24,,,,,1,,1,,,,,,1,,2,,,1,3,,,1,3,,,,,1,,,1,2,,,,,,,,,,,7,,,,,,,,,,,,,,,
NORTH,31,95,47,2,,1,,1,,1,6,,,,,2,,,,,,,1,,,,,,,,,2,,4,2,,,1,,1,,1,,,,8,,,,1,1,,4,1,,,,1,,,6
NORTH,31,96,48,,,4,,1,,,12,,,,1,3,,,,,,,,,,1,,,,,3,,,2,3,,1,,,1,,,,,,9,,,,,,,3,2,,,,,,,2
NORTH,32,100,9,,,,,1,,,2,,,,,2,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,
NORTH,32,101,20,1,,,,,,1,1,,,,,,,1,,1,,,,,2,,,,,,1,3,,1,3,,,,,,,,,,,4,,,,,,,1,,,,,,,,
NORTH,32,102,26,,,,,1,,1,3,,,,,2,,,,,,1,4,,1,2,,,,,,,,3,2,,,,,,,1,,,1,1,,,,,,,1,,,,,,,2,
NORTH,32,103,8,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,1,,,,,
NORTH,32,104,57,3,,,,3,,,10,,,,,7,,,,,,,1,,,1,,,,,1,1,2,5,2,,,,,,,,,,1,12,,,,1,,,1,,,,,3,,1,2
NORTH,32,105,91,2,,1,,3,,,14,2,,,,10,,,,,,4,4,,2,1,,,2,,2,2,,7,5,,,1,,2,,1,,,,10,,,,2,,,4,,,,,,,4,6
NORTH,32,106,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NORTH,32,107,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,
NORTH,32,108,7,,1,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
NORTH,32,109,50,1,1,,,,,,7,2,,,,4,,,,,,,3,,1,3,,,,,1,2,,3,,,,,,,,,1,,3,10,,,,,1,,3,,,,,,,2,2
NORTH,32,110,43,2,,1,,1,,,11,,,,,3,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,11,,,1,,,,,,,1,,1,,1,7
NORTH,32,111,8,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,1,,2,,,,,,1,,,,,,,,,,1,,,,,,,,,,,
NORTH,32,112,4,,,,,2,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
NORTH,32,114,8,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,1,
NORTH,32,115,13,,,,,1,,,2,,,,,,,1,,,1,2,1,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,
NORTH,32,89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,91,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,97,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
NORTH,32,98,13,1,,,,,,,1,1,,,,1,,,,,,,,,1,,,,,,1,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,1,2
NORTH,32,99,10,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,1
NORTH,33,116,53,1,,2,,4,,1,6,,,,1,3,,,,1,,,2,,,,,,,,2,,1,3,1,,,,,,,,,,,10,,,2,2,,,1,1,,1,,,,3,5
NORTH,33,118,90,,,1,,7,,3,5,1,,,,3,,1,,,1,2,2,,,,,,,,4,2,1,8,6,,,1,,2,,1,,,,14,,,2,3,,,9,1,,,,,,9,1
NORTH,33,119,67,3,,,,2,,,9,4,,,,4,,,,,,2,2,,1,,,,,,5,1,,4,4,,,1,,,,,,,,12,,,,,,,2,1,,,,2,2,,6
NORTH,33,120,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
NORTH,33,121,58,1,1,1,,7,,1,14,,,,,2,,,,,,,1,,,1,,,,,3,,,4,2,,,,,,,,,,,9,,,2,1,,,3,,,,,,,3,2
NORTH,33,122,6,,,,,,,,,,,,,1,,,,,,1,,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,124,15,,,,,3,,,3,2,,,,,,,,,,,2,,,,,,,,,,,1,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,1
NORTH,33,125,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,
NORTH,33,126,9,2,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1
NORTH,33,127,29,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,19,,,,,,1,,,,,,,,,,,1,,,,3,,,,,,,,1
NORTH,33,128,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,1
NORTH,33,130,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,
NORTH,33,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
NORTH,33,132,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,3,,,1,,,,,,,,
NORTH,33,135,5,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,
NORTH,34,137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,138,83,1,,,,2,,,11,,,,1,2,,,,,,,1,,,,,1,,1,,,1,5,3,1,,2,,,,1,,,1,10,,,1,12,1,,16,2,,,,,,5,2
NORTH,34,139,84,,,2,,5,,,12,1,1,,,5,,,,,1,1,3,,1,2,,2,,,4,2,1,7,8,,,,,1,,,,1,,6,,,,8,,,4,1,,,1,,,3,1
NORTH,34,141,28,1,,,,,,,2,,,,,2,,,,,,,,,,,,,,,1,1,1,5,3,,,,,,,,,,,4,,,,,1,,2,,,,,,,1,4
NORTH,34,142,18,,,,,2,,,4,,,,1,1,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,1,,,,1,1,,3,1,,,,,,,
NORTH,34,143,52,1,,,,5,,,6,1,,,,1,,,,,,1,2,,,2,,,,,3,1,,3,3,,,1,,,,,,,1,10,,,2,1,,,2,1,,,,1,,2,2
NORTH,34,144,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,34,145,17,,,,,1,,,2,1,,,,,,,,1,,,2,,,1,,,,,,,,3,1,,,,,,,,,,,1,,,,,,,1,,,1,,,,,2
NORTH,34,146,11,,1,,,1,,,1,2,,,,,,,,,,,2,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
NORTH,34,147,12,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,1,,3,,,,,,,,,,,,1,,,,,,1,1,,,,,,,2,
NORTH,34,148,6,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,
NORTH,34,149,62,1,,,,,,,5,1,1,,,,,1,,,,2,3,,,1,,1,,,1,,,7,8,,,,,1,,2,,,1,9,,,,3,1,,8,1,,,,,,3,1
NORTH,34,151,12,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2,1,,2,1,,,,,,,,,,,1,,,1,,,,1,1,,,,,,,
NORTH,34,152,53,1,,,,2,,,4,,1,,,,1,1,,,,2,2,,,6,,,,,,,1,7,2,,,,,,,,,,6,5,,1,,1,,,6,2,,,,1,,1,
NORTH,34,153,24,,,,,,,,3,,,,,2,,2,,,,1,,,,3,,1,,,,,,1,4,,,,,,,,,,1,1,,,1,,,,,,,,,1,,1,2
NORTH,34,154,39,4,,1,,1,,,2,,,,,,,,,1,,,1,,,,,,,,,1,,10,4,,1,,,,,,,,,9,,,1,,1,,,,,,,,,1,1
NORTH,34,255,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
