PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BRIBERY,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,31,83,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,23,160,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,57,7,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,58,16,,,,,,,1,,,2,2,,,,,,,,,,,,,,1,,,,,,2,,,1,2,,,,,,,,,,,,,3,,,,,,2,,,,,,,
NORTH,31,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
NORTH,31,62,14,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,2,1,,2,,,,,1,,,,,,,,,2,,,,2,,1,,,,,,,
NORTH,31,63,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,31,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
NORTH,31,66,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,67,13,1,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,1
NORTH,31,68,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,
NORTH,31,69,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,5,,,,,,1,
NORTH,31,70,64,2,,,,,,5,,1,6,1,,,,5,,,,,,,2,,,,,,1,,,2,6,,4,3,,,,,,,,,2,1,,1,13,,,,,1,4,,,,,1,,3
NORTH,31,71,9,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,31,72,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,73,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,74,17,,,,,,,,,,1,,,,,2,,,,,1,,,,,,,,,,,,1,,3,,,,,,,,,,1,,,1,1,,,,,,4,,,,,1,,1
NORTH,31,75,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,76,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,2,,,,,,
NORTH,31,77,9,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,1,,,,,,2,,,,,,,
NORTH,31,78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
NORTH,31,79,8,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,1
NORTH,31,80,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,81,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,1
NORTH,31,82,25,2,,1,,,,3,,,4,,,,,,,,,,,,,1,,1,1,,,,,,1,,4,,,,,,,,,,1,,,,1,,1,1,,,1,,,,,,,2
NORTH,31,83,43,2,,,,,,9,1,,5,2,,,,1,,,,,,,,2,,,,,,,,2,,,3,4,,1,,,,,,,1,,,,6,,,,,1,,2,,,,,,1
NORTH,31,84,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,3,,,,,,,
NORTH,31,85,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,1,,,,,,,
NORTH,31,86,5,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
NORTH,31,87,7,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,2,,,,1,,,,,,,,,
NORTH,31,88,13,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,2,1,,2,,,,,,,,1,,,3,,,,,,,,,,,,,
NORTH,31,92,12,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1
NORTH,31,93,15,,,,,,,1,,,1,,,,,2,,1,,,,,1,1,,,,,,,,1,,,2,1,,,,,,,,,,,,2,1,,,,,,1,,,,,,,
NORTH,31,94,24,,,1,,,,,,,2,,,,,2,,1,,,,,1,,,1,1,,1,,,,1,,2,2,,,1,,,,,,1,,,3,1,,,,,,,,,,,,,3
NORTH,31,95,26,,,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,,,,,,,,,,,,,5,,,,2,1,4,1,,,,1,1,1
NORTH,31,96,31,1,,1,,,,2,,,6,,,,,3,,,,,,,,,,,,,,,,3,,,1,1,,,,,,,,,,,,,3,,,,2,,3,,,,,1,2,2
NORTH,32,100,13,,,,,,,,,,1,,,,,3,,,,,,,,,,1,,,,,,1,,,3,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,1
NORTH,32,101,19,1,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,3,,,2,,,1,,,,,,1,,,2,2,,,1,,,,1,,,,,,2
NORTH,32,102,25,,,,,,,,,,2,,,,,2,,,,,,,,,,3,,,,,,1,,,5,4,,,1,,,,,,,,,1,3,,,,,1,1,1,,,,,,
NORTH,32,103,12,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,2,,,,1,,1,,,1,,1,,1
NORTH,32,104,32,1,,,,,,3,,,4,,,,,2,,,,,,,1,,,,,,,,,2,4,,1,,,,,,,,,,1,1,,,7,,,1,1,,,1,,,,,1,1
NORTH,32,105,93,1,,1,,,,8,1,,18,1,,,,4,,,,,1,,1,2,,,,,,,,2,4,,8,2,,,,,,,,,,,,,20,,,2,,1,6,2,,,,1,2,5
NORTH,32,106,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
NORTH,32,107,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,32,108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,109,44,2,,1,,,,5,,,5,,,,,1,,,,,,,,,,,1,,,,,2,1,,4,2,,,,,1,,,,2,,,1,8,,1,,,1,1,2,,,,1,,2
NORTH,32,110,41,1,,1,,,,1,1,,1,,,,,2,,,,,,1,,2,,,,,,,,2,1,1,5,2,,,1,,,,,,1,,,,7,,,,,2,1,1,,,,1,2,4
NORTH,32,111,7,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,
NORTH,32,112,12,,,,,,,1,,1,3,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,
NORTH,32,113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
NORTH,32,114,9,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
NORTH,32,115,12,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,3,1,,,,,,,,,,,,1,,,,,,,1,,,,,,1,1
NORTH,32,89,8,,,,,,,1,,,1,,,,,,,,,,,,,2,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,
NORTH,32,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,91,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,
NORTH,32,97,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,4,,1,,,,,,,1
NORTH,32,98,8,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,
NORTH,32,99,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,33,116,38,,,1,,,,1,,,4,,,,,3,,,,,,2,,1,,,1,,1,,,3,,1,4,,,,,,,,,,,,,1,9,,,,,,,1,,,,,2,3
NORTH,33,118,85,2,,1,,,,12,,,10,2,,,,2,1,,,,2,,1,,,1,,,,,1,,5,,8,2,,2,2,,,,,,2,1,,,9,,,,3,,8,1,,,,1,1,5
NORTH,33,119,61,1,,1,,,,6,,,6,2,,,,3,,,,,,,,3,,2,2,,,,,3,1,,7,3,,,,,,,,,,,,1,9,,1,1,,,2,2,,2,,,1,2
NORTH,33,120,9,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,2,1,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,
NORTH,33,121,47,2,,,,,,2,1,,5,,,,,1,,,,,,,,2,,1,,,,,,2,,1,5,1,,1,,,,,,,,,,,6,,,,2,,9,2,,,,,3,1
NORTH,33,122,6,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,
NORTH,33,123,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,33,124,19,,,1,,,,2,,,3,,,,,,,1,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,4,2,,,,,,1,
NORTH,33,125,10,1,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,2,,,,1,,,,
NORTH,33,126,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,
NORTH,33,127,14,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,
NORTH,33,128,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,1,
NORTH,33,130,14,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,1,1,,,,,1,4,,,,,,1,
NORTH,33,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,132,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,34,137,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,
NORTH,34,138,18,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,1,,,,2,,,,,,3,,,,,,4,1
NORTH,34,139,90,1,1,1,,,,2,,,10,,2,,1,7,,,,,1,,1,3,,2,1,,,,,5,2,,13,6,,,,,,,,,1,,,,7,,,,1,4,13,,,,,1,3,1
NORTH,34,141,32,,,,,,,1,,,7,1,,,,1,,,,,1,,,,,4,,,,,,1,1,1,,,,1,,,,,,,1,,,,6,,,,1,,1,,,,,,1,3
NORTH,34,142,10,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,3,,,,,,2,
NORTH,34,143,48,2,,,,,,5,,,9,,,,,2,,,,,,,,1,,,,,,,,,1,,2,,,,,,,,,,3,2,,1,4,,,,,,5,4,,,,1,2,4
NORTH,34,144,12,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,,2,,,,,1,,3,,,,,,,1
NORTH,34,145,10,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,5,,,,,,,
NORTH,34,146,31,,,,,,,1,,,2,1,,,,,,,,,,,,2,,,,,,,,,8,,1,,,,,,1,,,,,,,,3,,,,3,1,6,1,,,,,1,
NORTH,34,147,16,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,5,,,,1,1,1,,,,,,,
NORTH,34,148,14,,,,,,,2,,,1,,,,,2,,,,,,,,1,,,1,,,,,1,,,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,
NORTH,34,149,52,,,,,,,1,,,2,1,,,,1,,,,,,,,,,2,6,,2,,,,1,,3,,,,,,1,,,,,,,1,7,,,2,4,,12,,,,,,3,3
NORTH,34,150,11,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,2,,3,1,,,,,,
NORTH,34,151,15,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,2,,3,1,1,1,,,,1
NORTH,34,152,65,2,,,,,,4,,,6,,,,,1,,,,,,,1,1,,3,,,1,,,4,2,1,8,7,,,,,1,,1,,,,,13,4,,,,,2,1,1,,,,,1,
NORTH,34,153,25,1,,2,,,,,,,1,,,,,2,,,,,1,,,1,,1,1,,1,,,1,,1,1,2,,,,,,,1,,,,,,4,,,,,,4,,,,,,,
NORTH,34,154,36,2,,,,,,1,,,4,1,,,,,,,,,,,,2,,2,,,,,,2,,1,5,3,,,,,,,,,,,,,7,,,,,1,3,1,,,,1,,
NORTH,34,255,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
