PRECINCT,BEAT,RA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAGS-IMPROPER DISPLAY OF,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
NORTH,31,63,5,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
NORTH,31,65,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,66,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,
NORTH,31,67,13,,,1,,1,,,8,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
NORTH,31,68,5,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
NORTH,31,69,15,,,,,1,,,2,,,,,1,,,,,,,,,1,1,,,,,1,,,1,,,1,,,,,,,,,,,1,,,1,,,1,,1,,,,1,,1
NORTH,31,70,51,3,,1,,1,,,6,,1,,,2,,1,,,,,,,,1,1,,,,3,4,,,2,,,1,,,,,,1,1,,2,9,,,1,,1,,3,,2,,,1,1,2
NORTH,31,71,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,72,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
NORTH,31,73,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
NORTH,31,74,27,1,,1,,1,1,,2,,,,,,,,,,,,,,,1,,,,,,6,,1,2,1,,,,,,,,,,,,3,,,1,,1,2,1,1,,,,1,,
NORTH,31,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,76,15,,,,1,,,,8,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
NORTH,31,77,10,,,1,,,1,,1,1,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,
NORTH,31,78,2,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,79,10,1,,1,,,,1,2,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
NORTH,31,80,6,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
NORTH,31,81,3,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,82,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,1,1,3,,,,,,,1
NORTH,31,83,74,,1,1,,4,1,,12,1,,,,5,,,,,,,,,,1,,1,,,5,3,,3,3,,1,1,,,,,,,,,,11,,,1,,2,2,5,2,,1,,1,5,1
NORTH,31,84,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
NORTH,31,85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,31,86,9,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,1,
NORTH,31,87,11,,,1,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,1,,1,,1,,,,
NORTH,31,88,17,,,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,7,,,,,1,,2,,,,,,,
NORTH,31,92,28,2,,1,,,,,4,,,,,,,,,,,,,,,1,,1,,,1,,,3,,,,,,,,,,1,,,,6,,,,,2,,3,,,,,,1,2
NORTH,31,93,19,,1,,,,,,1,,,,,1,,,,,,,,,1,,,,,,1,,,1,2,,,,,,,,,,,,1,,,1,,,,1,6,,,,,,,2
NORTH,31,94,37,,,1,,,,1,4,,,,,2,,,,1,,1,1,,1,1,,,,1,,,,5,7,,,1,,,,,,,,,3,3,,,,,,1,2,,,,,,,1
NORTH,31,95,22,,,,,1,,,5,,,,,,,,,,,,1,,,,,,,,,2,,1,,,,,,,,,,,1,,,5,,,1,,,1,,,,,,1,2,1
NORTH,31,96,47,3,,,1,1,,2,8,1,,,,4,,,,,,,,,,,1,,,,1,2,1,4,1,,,,,,,,,,,1,,7,,,,,1,1,3,,,,,,1,3
NORTH,32,100,9,,,1,,,,,1,,,,,1,,,,1,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
NORTH,32,101,16,1,,1,,,,,2,,,,,2,,,,,,,,,,,,,,,2,,,3,,,1,,,,,,,,,,,2,,,,,,,1,1,,,,,,
NORTH,32,102,57,1,,,,,,,3,1,,,,1,,,,,,3,3,,2,4,,,,,2,,,8,3,,,,,,,,,,,,17,5,,,,,,1,1,,1,,,1,,
NORTH,32,103,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,1,,,,1,,1,1
NORTH,32,104,36,,,1,,2,,,4,1,,,,2,,,,,,,,,,1,,1,,,2,1,,4,1,,,1,,,,,,,,,,12,,,,,,1,1,,,,,,,1
NORTH,32,105,93,5,1,4,,6,,,17,,,,,6,,,,,,,2,,1,,,,,,2,2,,8,2,,,2,,,,,,1,,,,17,,1,,,,2,4,3,,,,,3,4
NORTH,32,107,6,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
NORTH,32,108,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,109,61,,,,,4,,,9,1,,,,2,,1,,,,,1,,,2,,,,,1,1,,13,3,,,,,,,,,1,,,2,3,,,,,,2,7,3,1,,,,2,2
NORTH,32,110,41,2,,1,,,,1,4,1,,,,5,,,,,,,,,1,,,,,,1,3,,2,1,,,,,,,,,2,,,,7,,,1,,1,,,3,,,,,2,3
NORTH,32,111,6,,,,,,,,1,,,,,1,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,32,112,10,2,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3
NORTH,32,113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NORTH,32,114,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,32,115,23,,,1,,,1,,2,,,,,,,,,,,,,,,6,,,,,1,,,1,,,,,,,,,,1,,,7,2,,,,,,,,,,,,,,1
NORTH,32,89,6,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,90,4,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,91,13,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,4,,,,,1,,,,,,,,1,2
NORTH,32,97,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,32,98,15,,,1,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,1,,1,1,1,2,,,,,,
NORTH,32,99,10,1,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1
NORTH,33,116,50,,,2,,,,1,,,,,,4,,,1,,,,2,,,1,,1,,,4,2,1,2,1,1,,1,,,,,,,,,,10,,,,,5,,8,1,,,,,,2
NORTH,33,118,65,2,1,,,5,,2,9,,,,,2,,,,,,,2,,,1,,,,,1,,,,5,,,3,,,,,,,1,,,10,,,1,,1,3,5,3,,1,,1,4,2
NORTH,33,119,65,2,,1,,2,,1,10,,,,,2,1,,,1,,,,,2,1,,,,,2,1,,7,2,1,,1,,,,,,2,,,,17,,,2,,,3,,2,,,,,,2
NORTH,33,120,3,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,33,121,31,1,,2,,3,,,4,,,,,1,,,,,,,3,,,,,,,,2,,,1,,,,,,,,,,,1,1,,4,,,2,1,,2,1,,,,,,1,1
NORTH,33,122,7,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
NORTH,33,123,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,33,124,17,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,4,,,,,,3,,,,,,1,,
NORTH,33,125,8,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,33,126,7,,,,,,1,,,,,,,,,,,,,,,,1,2,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,127,32,,,,,1,,,9,,,,,,,,,,,,,,,,,,,,,14,,3,,,,,,,,,,,,,,,,,1,,2,,1,,,,,1,,
NORTH,33,128,5,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,
NORTH,33,130,15,,,,,,,,3,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,2,,1,,,,1,,
NORTH,33,131,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,132,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
NORTH,34,137,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
NORTH,34,138,41,1,,,,2,,,3,,,,,1,,1,,,,,,,,2,,,,,1,,,1,4,,,,,,,,,,1,1,,11,,,2,,,2,5,1,,,,1,1,
NORTH,34,139,66,2,,2,1,1,1,1,5,,2,,,1,,,,,,,1,,2,1,,1,,,5,4,1,8,3,,3,,,,,,1,,,,,11,1,,1,,,2,1,,,1,,,2,1
NORTH,34,140,4,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,34,141,18,,,,,3,,,2,,,,,1,,,,,,,,,1,,,,,,,,,2,1,,,,,,,,,,,,,3,,,,,,,3,,,,,1,1,
NORTH,34,142,22,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,3,,,,,1,2,3,,,1,,,2,1
NORTH,34,143,51,,,,1,3,,2,5,,,,,1,,,,,,,,1,,1,,,,,2,2,,5,1,1,,2,,,,1,,1,1,,1,4,,,,,,2,8,,,1,,,1,4
NORTH,34,144,14,,,,,,,,1,,,,,1,,1,,,,1,,,,,,,,,1,,,2,,,,1,,,,,,,,,,2,,,,,1,,,,,,,2,1,
NORTH,34,145,8,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,1,,,1,,1,,,,,,,
NORTH,34,146,21,,,,,1,,,6,,,,,1,,,,,,,1,,1,,,,,,,,,3,,,,,,1,,,,,,,,2,,,,,1,2,2,,,,,,,
NORTH,34,147,14,,,,,1,1,,1,,,,,,,2,,,,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,1
NORTH,34,148,7,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,
NORTH,34,149,46,,,,,1,,1,4,1,,,,1,,3,,,1,,5,,1,2,,1,,,4,,,3,1,,1,,,,,,,,1,,5,7,,,,,,,1,,,,,1,1,
NORTH,34,150,7,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,
NORTH,34,151,6,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
NORTH,34,152,57,,,1,,3,,,8,,,,,,,1,,,,1,,,1,2,,,,,,,1,9,4,,,,,1,,,,,,,9,8,,,1,,,2,1,,,,,,3,1
NORTH,34,153,28,,,1,,,,,2,,,,,1,,,,,,,1,,3,4,1,2,,1,,,,2,3,,,1,,,,,,,,,,1,,,,,,1,1,2,,,,1,,
NORTH,34,154,39,,,,,,,,7,,,,,1,,,,,,1,,,,,,,,,2,2,1,3,1,,,,2,1,,,,,1,,1,5,,,,,1,3,4,2,,,,,,1
NORTH,40,117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
