PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BRIBERY,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,24,181,19,,,,,,,,,,2,,,,,2,,,,,,,3,,1,,1,,,,2,,,1,,,,,,,,,,,,,,,1,,,2,,1,,2,,,,,,1,
CENTRAL,24,182,8,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
NORTH,11,228,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,24,165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,31,57,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
NORTH,31,58,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,
NORTH,31,61,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,62,19,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,2,,5,,,,,,,,,,,,,,,3,,,,,1,,2,,,,3,,,1
NORTH,31,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,67,12,,,,,,,4,,,1,,,,,,,,,,,,1,,,,,,,,1,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
NORTH,31,68,8,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,
NORTH,31,69,11,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,2,,,,,,,2,,,1,,,,1
NORTH,31,70,42,2,1,1,,,,4,,,2,1,,,,1,,,,,,2,1,,,,,,,,1,3,,2,2,,,,,,,,,,,,,1,9,,,,,2,,,3,,,,1,3,
NORTH,31,71,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,2,,,3,,,,,,,
NORTH,31,72,13,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,1,,,5,1,,,,1,,
NORTH,31,73,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NORTH,31,74,23,,,,,,,,,,3,,1,,,2,,,,,,,,,,,,,,,1,1,,4,4,,,1,,,,,,,,,,1,3,,,,,,,1,,,,,,1,
NORTH,31,76,22,,1,1,,,,3,,,4,,,,,,,,,,,,,,,,,,,,,1,1,4,,,1,,,,,,,,1,,,,2,,,,3,,,,,,,,,,
NORTH,31,77,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
NORTH,31,78,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,79,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,
NORTH,31,80,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
NORTH,31,81,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,31,82,24,1,,,1,,,3,,,2,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,3,,,,,,,1,2,,,,,,3
NORTH,31,83,54,3,,,,,,5,,,8,,,,,3,,,,,,,1,,1,3,,,,,,2,1,4,4,,,,,,,,,,2,,,,5,,,,,1,,2,3,,,,1,,5
NORTH,31,84,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,85,7,,,,,,,,,,2,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
NORTH,31,86,16,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,2,,2,,,,,,,,,,,,,,,3,,,,1,1,,3,,,,,,1,
NORTH,31,87,11,1,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,1
NORTH,31,88,24,1,,1,,,,4,,,1,,,,1,3,,,,,,,,,1,,,1,,1,,,,,1,,,,,,,,,,1,,,,4,,,1,,,,,1,,,,,1,1
NORTH,31,92,10,,,,,,,2,1,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,2,,,,,,,1,,,,1,,,
NORTH,31,93,15,1,,,,,,,,,3,,,,,1,,,,,1,,,,,4,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1
NORTH,31,94,42,2,,,,,,1,,,1,1,,,,4,,1,,,,,,,1,2,,,,,1,,,7,3,,,,,,,,,,1,,,4,1,,,,,3,,3,1,,,,,3,2
NORTH,31,95,16,2,,,,,,1,1,,4,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,1,,,,,,,,,1,,2
NORTH,31,96,52,3,,,,,,1,,1,8,1,,1,,11,,,,,,,,,1,,,,,,,1,,4,4,,1,1,,,,,,,1,,,,6,,,,1,1,,,,,,,,2,3
NORTH,32,100,12,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,1
NORTH,32,101,18,,,,,,,1,,,6,,,,,,,,,,,1,,1,,1,,,,,,1,,1,,,1,,,,,,,,,,,,2,,,,,,,2,,,,,,1,
NORTH,32,102,50,,,,,,,1,,,4,,,,,2,,,,,,2,1,,2,5,,,,,1,,,8,,,,,,,,,,,,1,,16,3,,,,,1,,,1,,,,,,2
NORTH,32,103,10,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,1
NORTH,32,104,36,,,1,,,,2,,2,8,,,,,1,,,,,,,,,,1,,,,,2,1,,1,,,,1,,1,,,,,2,,,,3,,,1,,3,,2,,1,,1,1,,1
NORTH,32,105,67,3,,2,3,,,5,1,,11,1,,,,3,,,,1,,,,,,,,,,,2,3,,6,1,,,,,,,,,,,,,,11,,,,2,2,,2,,,,,1,4,3
NORTH,32,106,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,107,10,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,2,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,
NORTH,32,108,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,109,40,2,,,,,,1,,1,1,1,,,,4,,,,,,,1,,,,,,,,3,2,,3,1,,1,1,,,,,,,,1,,,4,,,1,2,1,,3,2,,,,2,,2
NORTH,32,110,49,,,,,,,3,,1,6,1,,,,5,1,,1,,,,,,2,,,1,,,1,1,,4,2,1,,,,,,,,,,,,,6,,1,,1,2,,1,4,,2,,,1,1
NORTH,32,111,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,112,4,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,32,113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,114,7,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,,
NORTH,32,115,30,1,,,,,,,,,2,,,,,,,,,,,3,,,,7,,,,2,,,,,1,,,1,,,,,,,,,,4,3,,,,1,2,,,1,,,,1,,1
NORTH,32,89,3,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,90,6,,1,,,,,,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
NORTH,32,91,12,,,1,,,,,,,1,,,,,1,,,,,,,2,1,,1,,,,,,,,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
NORTH,32,97,4,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
NORTH,32,98,10,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,1,,,4,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
NORTH,32,99,11,1,,,1,,,1,,,1,2,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1
NORTH,33,116,49,1,1,,,,,3,,,5,,,,,,,,,,,1,,,1,,,,,,3,1,1,4,3,,,1,,1,,,,,1,,,1,13,,,,,2,,4,1,,,,1,,
NORTH,33,118,66,1,,,1,,,4,,,10,2,,,,4,,,,,,1,,,2,,,,,,5,4,,7,3,,1,,,,,,,,,,,,7,,,1,,2,,3,3,,,,,3,2
NORTH,33,119,46,2,,,1,,,2,,,6,1,,,,,1,,,1,,,,,,,,,,,3,,,4,1,,,3,,,,,1,,,,,1,9,,,1,1,2,,3,2,,,,,,1
NORTH,33,120,12,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,2,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,2,,,
NORTH,33,121,29,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,1,2,,1,1,,,,1,,,,,,,,,,8,,,1,,4,,2,,,,,,2,1
NORTH,33,122,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,124,8,1,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,
NORTH,33,125,11,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,
NORTH,33,126,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
NORTH,33,127,12,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,1,,1,,,,,,,,,,1,,,,,1,,,1,,,,,,
NORTH,33,128,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
NORTH,33,130,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,1,,
NORTH,33,132,2,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,135,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,137,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,34,138,55,2,,2,,,,5,,,9,1,,,,4,,,,,,,,,2,1,,,,,2,,,4,2,,,,,,,,,,,,,,9,,1,1,,1,,6,,,,,1,1,1
NORTH,34,139,75,1,,,,,,7,,,11,,2,,,6,,,,,,,1,,4,1,,,,,3,1,,4,5,,,1,,,,1,,,,,,,11,,,2,,2,,3,4,,1,,,3,1
NORTH,34,141,41,,1,,,,1,5,,,3,,,,,1,,,,,,2,1,,1,,1,,,,1,,,3,1,2,,,,,,,,,1,,,,6,,,,,3,,1,1,,1,1,2,,2
NORTH,34,142,10,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
NORTH,34,143,47,1,,1,,,,1,,,6,,,,,3,,,,1,,1,,,2,3,,,,,2,1,1,2,1,,,,,,,,,,1,,,1,7,,,,1,1,,4,,,,,1,3,2
NORTH,34,144,6,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
NORTH,34,145,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
NORTH,34,146,13,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,,
NORTH,34,147,18,,,,,,,,,,1,,,,,,,,,,,,1,,3,2,,,,,1,,,1,1,,,,,,,,,,,,,2,3,,,,,2,,,,,,,,1,
NORTH,34,148,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,1
NORTH,34,149,48,1,,3,,,,1,,,3,1,,,,,,,,,,1,1,,2,,1,,,,2,,,2,2,,,,,,,,,,,,,8,7,,,,,2,,4,,,,1,1,2,3
NORTH,34,150,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,34,151,7,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,34,152,74,,,1,,,,1,,,7,1,,,,1,,1,,,,,,,2,2,,,,,1,,,11,8,,,1,,1,,,,,,,,17,9,,,1,,1,,3,2,,1,,1,1,
NORTH,34,153,20,1,,,,,,,,,,,,,,5,,,,,,,1,,1,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,2
NORTH,34,154,62,,,1,,,,4,,,8,,,,1,4,,,,,,,,,,,,,,,,4,,5,1,,,,,,,,,,,,,,13,,,1,7,3,,8,,,,,1,,1
