PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEH RECOVERY(OUT OF JURIS),VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,22,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,30,5,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,31,3,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,34,17,,,,,,,,,2,,,,1,,,,,,1,1,,,,,,,,,,,2,4,,,,,,,,,,,,1,,,,,4,1,,,,,,,
CENTRAL,22,35,6,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,1,,,,,,,,
CENTRAL,22,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CENTRAL,22,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,1,,,,,,,,
CENTRAL,22,39,2,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,41,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
CENTRAL,22,42,15,,,,,,,,,,,,,,,1,,,,1,1,,1,3,,,,,,,,5,,,,,,,,,,,,2,,,,,,,,,,,,,1,
CENTRAL,22,43,3,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,44,11,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,4,,,1,1,,,,,,,,,
CENTRAL,22,45,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,1,,1,,,,,,,,,,,
CENTRAL,22,46,44,2,,,,,3,,,9,,,,2,,,,,,,1,,,1,,,,,2,,,5,2,,,,,,,,,1,,,7,,,1,,7,,,,,,,,1
CENTRAL,22,47,23,1,,,,,,,,1,,,,,,,,,,,3,,,,,,,,1,,,1,3,,,,1,,,,,1,,,2,,,2,,6,1,,,,,,,
CENTRAL,22,49,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,
CENTRAL,22,50,15,,,,,,,,,2,1,,,2,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,4,,,,,1,,,,,,,,2
CENTRAL,22,51,39,1,,,1,,4,1,,5,,,,,,,,,,,2,,,,,,,,,1,,3,2,,,,,,,,,2,,,6,,,1,,4,1,,1,,1,,,3
CENTRAL,22,52,9,,,,,,,,,3,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
CENTRAL,22,53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,54,9,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,1,,,,,,,,2,,,,,,,,1
CENTRAL,22,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CENTRAL,22,56,2,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,59,5,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CENTRAL,22,60,38,,,,,,,,,6,,,,2,,,,,,,3,,3,4,,,,,,,,4,1,,,,,,,,,,,1,6,,,,,3,2,,,,,,1,2
CENTRAL,22,64,37,,,,,,,,,10,,,,1,,,,,,,1,,,,,1,,,,,,4,3,,1,,,,,,,,,4,2,,1,,,8,,,,,,,1,
CENTRAL,23,155,121,1,,1,,1,1,,,14,,,,2,,3,,,,2,10,1,4,3,,,,,2,,,13,18,1,,,,,,,,2,,27,5,,,,1,4,2,,,,,,3,
CENTRAL,23,156,111,1,,3,,,4,,,2,1,1,,4,,2,,,,,3,,2,1,,,,,1,1,,12,10,1,,,1,,,,,,,,10,,1,15,1,20,,,,,1,1,9,3
CENTRAL,23,157,124,,1,,,,,,,8,,,,2,,1,,,,2,9,,2,8,,,,,2,1,,18,16,,,,1,,,,,2,,34,4,,,1,2,5,1,,,,,,2,2
CENTRAL,23,158,26,,,,,,,,,3,,,,3,,,,,,1,1,,,,,,,,1,,,5,2,,,,,,,,,2,,,,,,1,,1,,,,,1,,2,3
CENTRAL,23,159,75,,,,,,5,,,8,,,,4,,1,1,1,,,2,,,1,,,,,3,1,,4,9,,1,,3,,,,,5,1,,11,,,,,7,1,,,,2,,1,3
CENTRAL,23,160,34,,,,1,,,,,1,,,,1,,1,,,,,,,2,,,,,,,,,4,11,,,,,,,,,,,3,2,,,2,2,3,,,,,,,,1
CENTRAL,23,161,47,2,,,,,1,,,5,1,,,2,,2,,,,3,1,,1,,,1,,,1,,,6,2,1,,,2,,,,,,1,,8,,1,,,4,,,,,,,2,
CENTRAL,24,162,73,1,,,,,1,,,6,,1,,3,,2,,,,2,3,,2,1,,,1,,1,,,9,9,,,,,,1,,,1,1,,8,,,,2,8,2,,,,,1,3,4
CENTRAL,24,163,52,3,,,,,2,,,10,,,,1,,,,,,,,,,,,,,,1,,1,3,3,1,,,1,,,,,,1,,5,,1,4,1,6,4,,,,,,2,2
CENTRAL,24,164,11,,,,,,1,,,1,,,,,,,,1,,,1,,,,,,,,,,,2,1,,,,,,,,,1,,,,,,,,3,,,,,,,,
CENTRAL,24,165,97,,,,1,,6,,,7,4,,,2,1,,,,,,9,,1,1,,2,,,2,3,,6,15,1,2,,,,,,,2,,6,11,,,2,,8,1,,,,1,1,1,1
CENTRAL,24,166,22,,,,,,2,,,2,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2,,,3,,4,2,,,,1,,1,3
CENTRAL,24,167,46,,,1,,,1,,1,3,,,,4,,1,,,,1,2,,,3,,,,,2,1,,5,3,,,,1,,,1,,1,,,1,,1,2,2,4,1,1,,,,,3,
CENTRAL,24,168,15,2,,,,,2,,,1,3,,,,,,,,,,,,,,,,,,,1,,3,1,,,,,,,,,,,,1,,,,,,1,,,,,,,
CENTRAL,24,169,66,2,1,1,,,5,,1,4,2,,,3,,,,1,,,3,,,2,,,,,1,2,,8,6,,,,,,,,,,,,4,,,3,,8,1,,,,2,,5,1
CENTRAL,24,170,68,2,,,,,8,,,11,,,,5,,,,,,,1,,1,,,,,,2,,,8,5,,2,,,,,,,2,,1,13,1,,2,,1,1,,,,1,,,1
CENTRAL,24,171,10,,,,,,1,,,3,,,,1,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,172,24,,,,,,1,,1,,,,,,,1,,,,7,1,,,2,,,,,1,,,2,,1,,,,,,,,1,,,2,,,,1,2,1,,,,,,,
CENTRAL,24,173,37,,,,,,,,,6,,,,1,,,,,,,2,,,5,,,,,2,,,5,4,,,,1,,,,,,,1,4,,,,,2,3,,,,,,,1
CENTRAL,24,174,13,,,,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,1,,,,1,,,,,,
CENTRAL,24,175,12,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,3,1,,,,1,,,,,,,,,,,,,1,2,,,,,,,
CENTRAL,24,176,20,,,,,,,,,3,2,,,1,,,,,,,,,,,,,,,1,2,,5,1,,,,1,,,,,,,,,,,,,2,,,,,1,,1,
CENTRAL,24,177,26,,,,,,1,,,5,,,,,,,,,,,3,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,6,,5,,,,,,,3,
CENTRAL,24,178,12,1,,1,,,,,1,1,,,,,,,,,,,1,,,,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,1,,1,,,,,,1
CENTRAL,24,179,7,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,1,,,,,,,,,1,
CENTRAL,24,180,31,,,1,,,,1,,5,,,,,,,,,,1,,,,2,,,,,1,1,,2,4,1,,,,1,,,,,,2,3,,,,,3,2,,,,,,1,
CENTRAL,24,181,18,,,1,,,2,,,3,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,5,,,,,,,2,
CENTRAL,24,182,7,,,1,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,
CENTRAL,31,83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,57,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,58,9,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,1,,,,,1,,,
NORTH,31,61,12,,,1,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,3,1,,,,,,,,,,,,,,,3,,1,,,,,,,,
NORTH,31,62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,31,63,10,1,,,,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,,,,,1,,,,,,,,
