PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,14,247,26,1,,,,,1,1,,5,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,1,2,,4,1,,,,,1,4
SOUTH,14,248,67,1,,,1,,5,,,8,1,,,,2,,,,,,1,5,,1,,,1,,,,1,2,1,6,2,,1,,,1,1,,,,,,,,16,,1,,2,,1,3,,1,,,1,1
SOUTH,22,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SOUTH,23,156,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,34,147,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,12,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,13,20,,,,,,1,,,7,,,,,,,,,,,,,,1,,,,,,1,,,1,1,,,,,,,,,,,,1,,,3,,,,,,2,1,,,,,,1
CENTRAL,21,14,41,1,1,1,,,4,,,3,,,,,3,,,,1,,,,,,,,,,,,,,,8,2,,,1,,,,,,,1,,,,5,,,1,2,,,1,,,,1,2,3
CENTRAL,21,15,9,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,
CENTRAL,21,16,7,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,
CENTRAL,21,17,6,,,,,,,,,1,1,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,21,18,5,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,21,183,28,,,,,,2,,,1,1,,,,3,,,,,,1,,,,2,,1,,,,1,,,2,1,,,,,,,,,,,,,2,7,,,1,,,2,,,,,,1,
CENTRAL,21,184,50,3,,1,1,,4,,,6,,,,,,,,,,,,1,,2,,1,,,,,2,3,,3,3,,1,,,,,,,,,,,,11,,,1,1,,1,1,,,,1,1,2
CENTRAL,21,185,32,,,,,,2,1,,4,2,,,,,,,,,,,1,,,,,,,,,2,1,,4,,,,,,1,,,,,,,,,3,,,,1,,5,2,,,,1,1,1
CENTRAL,21,186,10,,,,,,1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,1,,,,,,,,2,
CENTRAL,21,187,24,,,,,,1,,,8,,,,,3,,,,,,1,,,,1,,,,,,1,1,,1,1,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,3
CENTRAL,21,188,37,4,,,,,1,,,7,1,,,,1,,,,,,,3,,,,,,1,,,,3,,1,1,,,,,,,,,,,,,,3,,,,1,,2,1,,,,,,7
CENTRAL,21,189,34,1,,,,,1,,1,1,,,,,,,,,,,,3,,,,,,,,,,,,1,3,1,,,,,,,10,,,,,,3,,,,5,,2,,,,,,,2
CENTRAL,21,19,18,,,,,,1,,,1,,,,,,,2,,,,1,4,,2,1,,,,,,,,,1,2,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,
CENTRAL,21,190,13,,,,,,2,,,1,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,1,,,1,,1,,,,,,,,,,,
CENTRAL,21,191,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,
CENTRAL,21,192,12,,,,,,1,,,,1,,,,,,,,,,,3,,,,,,,,,,,,1,1,,,,,,,,,,,,,,3,,,,1,,,,,,,,,1
CENTRAL,21,193,15,,,,,,5,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,1,,1,,,,,1
CENTRAL,21,194,25,,,1,,,,,,3,,,,,,,,,,,,,,,1,1,1,,,,1,1,,4,,,,,,,,,,,,1,,2,4,,,,2,,2,,,,,,,1
