PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
NORTH,31,63,5,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
NORTH,31,66,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,67,12,,1,1,,,,,4,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1
NORTH,31,68,6,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,31,69,7,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,2,
NORTH,31,70,74,3,,,,5,1,2,11,,,,,9,,1,,,,,,1,,1,1,,,1,,,,,9,4,,,,,,1,,,,1,3,9,,,,,1,,3,,,1,2,,,4
NORTH,31,71,4,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,72,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,31,74,20,,,1,,1,,,3,,,,,1,,,,,,,,1,,1,,,,,,1,,,,,,2,,,,,,,,,,2,,,,,3,,,3,,,,,,1
NORTH,31,75,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,76,9,1,,,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,77,13,,,1,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,2,,,,,,,1,,,,1,,,1
NORTH,31,78,11,,,1,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,1,
NORTH,31,79,5,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,80,9,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2
NORTH,31,81,4,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,82,20,,,,,6,,,2,,,,,,,,,,,,,,,2,,,,,,,,,1,3,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,2
NORTH,31,83,94,2,,2,,11,,,13,,,,1,8,,,,,,,,5,,3,,,,,,1,1,,9,2,,1,,1,,,,,1,,,14,,,,,3,,4,5,1,,,,2,4
NORTH,31,84,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,1,,1,,,,,,,
NORTH,31,85,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,,,,,,1,
NORTH,31,86,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,2,,,,,1,,,,,,,,,
NORTH,31,87,7,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,
NORTH,31,88,20,,,1,,3,,,4,,,,,2,,,,,,,,,,,,,,1,,,2,,2,1,,,2,,,,,,,,,1,,,1,,,,,,,,,,,
NORTH,31,92,17,1,1,,,,,,6,,1,,1,1,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,1,,,,,,,,,
NORTH,31,93,9,,,,,,,,1,,,,,,,,,,,,1,,,1,2,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,94,17,,,,,1,,,2,,,,,,,,,,,,1,,,2,,,1,,,,,,2,5,,,,,,,,,,,1,1,,,,,1,,,,,,,,,
NORTH,31,95,21,1,,,,,1,,2,,,,,1,,,,,,,,,,1,,,,,,1,,,1,2,,,,,,,,,,1,,4,,,,,1,,1,,,,,1,,3
NORTH,31,96,42,1,1,2,,3,,,7,1,,,,1,,,,,,,,3,,,,,,,,,3,,1,3,,,,,1,,,,,,,11,,,,,1,,,1,,,,,1,1
NORTH,32,100,24,,,,,2,,,1,,,,,3,,,,,,,,,,,,,,,,2,1,,6,2,,,,,,,,,,,,3,,,,,2,,,,,,2,,,
NORTH,32,101,17,,,,,,,,4,1,,,,,,,,,1,,1,1,,,,,,,,1,,,2,,,,,,,,,,,,1,2,,,,,1,,,,,,2,,,
NORTH,32,102,36,,,,,,,,1,,,,,1,,3,,,,,4,1,,1,,,,,2,,1,1,2,3,,,,,,,,,,,4,6,,,,,2,,,,,1,,1,,2
NORTH,32,103,12,,,,,1,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,1,,,2,1,,,,,,
NORTH,32,104,42,2,,,,3,,1,5,1,,,,2,,,,,,,,1,,,,,,,,,2,,,,,,2,,,1,,,2,,,7,,,,,4,,,,,,,1,1,7
NORTH,32,105,97,5,,3,,2,1,,17,,1,,,6,,,,,,,,2,1,,,,,,,4,2,,12,2,1,,,,,,,,2,1,,19,,,,,4,,1,3,1,,,1,1,5
NORTH,32,106,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,32,107,6,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,108,7,,,,,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
NORTH,32,109,64,,,,1,1,,1,5,1,,,,6,1,,,,,,,3,,1,2,,,,,2,2,,5,,,,2,,,,,,1,,6,8,,,,1,2,,6,,,,,1,3,3
NORTH,32,110,41,2,,,,3,,,7,1,,,,1,,,,,,,,1,,,,,2,,,,3,,1,1,,2,1,,1,,,,,,,9,,,,,2,,1,,,1,,,1,1
NORTH,32,111,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,112,12,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,2,1,,,,,,,,,,,,,,,,1,1,,3,,,,,,1,
NORTH,32,113,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,114,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,,,,,,
NORTH,32,115,11,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,4,,,,,,,
NORTH,32,89,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1
NORTH,32,90,4,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
NORTH,32,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,97,9,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,4,,,,,,,
NORTH,32,98,34,,,,,9,,,8,,,,,1,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,7,,,,1,,2,
NORTH,32,99,23,1,,,,3,,1,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,,,,1,,1,3
NORTH,33,116,42,2,,1,,1,1,,7,,,,,1,,,,,2,,,1,,,,1,1,,,2,1,,4,1,,,,,,,,,,,,12,,,,,,,,1,,,,1,2,
NORTH,33,118,64,1,,1,,2,,1,7,,1,,,3,,,,,1,,,1,,,1,,,,1,3,5,,7,1,,,,,1,,,,2,,,7,,,1,2,5,,6,1,,,,,,3
NORTH,33,119,59,1,,1,,3,,1,9,,,,1,4,,,,,,,,1,,2,,,1,,,,,,3,3,,,,,1,,,,,1,5,11,,1,2,,,,,4,,1,,,,3
NORTH,33,120,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,33,121,53,,,,,3,,1,10,,,,,3,,,,,,,,1,,,,,,,,,1,,7,1,,,,,,,,,,1,,6,,,2,2,,,10,2,,,,2,1,
NORTH,33,122,9,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,1,,,,,,,
NORTH,33,124,14,,,,,,,,2,,,,,,,1,,,1,,,,,1,,,,,,2,,1,1,,,,,,,,,,,,,2,,,1,,1,,,,,,,,1,
NORTH,33,125,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,126,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,33,127,15,,,1,,,1,,1,,,,,1,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,6,,,,,,,,,,,,,1,
NORTH,33,128,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
NORTH,33,130,8,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,1
NORTH,33,132,4,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,33,135,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,34,137,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,138,45,,,2,1,2,,,8,,,,,1,,,1,,,,,2,,,,,,,,3,,,5,4,,1,,,,,,,,,,7,,,1,1,2,,1,1,,,,,1,1
NORTH,34,139,69,1,,,,2,1,,7,1,1,,,5,,,,,1,,,2,,,1,,,,,6,3,,7,4,,,,,,,,,,,,5,,,,1,5,,8,1,,1,1,1,2,2
NORTH,34,141,31,,,,,3,,,5,,,,,1,,,,,,,,,,2,,,,,,1,3,,1,,,,,,,,,,,,,7,,,,1,1,,1,1,,1,,1,2,
NORTH,34,142,13,,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,1,1,,,2,1,,,,,,1
NORTH,34,143,35,1,1,,,2,,,4,,,,,2,,,,,,,,,1,,1,,,,,,2,,3,3,,1,,,,,,,1,,2,1,,,,1,3,,1,3,,,,,1,1
NORTH,34,144,6,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,1,,
NORTH,34,145,11,,,,1,1,,,2,,,,,,,,,,1,,,,,1,1,,,,,,2,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
NORTH,34,146,13,,1,1,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,1,1,
NORTH,34,147,15,,,1,,1,,,,,,,,,,,,,,,3,1,,,1,,,,,,,,,1,,,,,,,,,,,2,,,,1,,,,,,,,,,3,1
NORTH,34,148,11,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,1,,,1,,,,,1,,1,,,,,,1,1
NORTH,34,149,50,,1,1,1,2,,,7,,,1,,2,,,,,,,,3,1,2,1,,,,,2,1,,,1,,1,,,,,,,,,6,9,,,,,3,,2,,,,,,2,1
NORTH,34,150,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,
NORTH,34,151,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,34,152,46,,2,,,2,,,1,1,,,,1,,2,,,,,,,,1,1,,,,1,2,1,,3,6,,,1,,,,,,1,,4,5,,,1,,2,,3,3,,,,,1,1
NORTH,34,153,25,,,1,,2,,,4,,,,,3,,,,,,,1,1,,,1,,,,,1,,,2,3,,,,,1,,,,,,,,,,,,1,,2,,1,,,1,,
NORTH,34,154,34,,,1,,,,,1,2,,,,,,,,,,,,3,,3,,,,,,1,1,,4,2,,,1,,,,,,,1,,6,,,,,3,,1,2,,,,1,,1
