PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD - WELFARE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,24,179,5,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,24,180,30,,,1,,,,,,3,1,,,,3,,,,,,1,1,,,,7,1,,,,,,,,2,3,,1,,,,,,,,,,,3,,,,,1,,1,,,,1,,,
CENTRAL,24,181,15,,,,,,,,,3,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,1,1,,,2,,,,,1,,
CENTRAL,24,182,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,57,5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,
NORTH,31,58,18,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,2,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,61,6,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
NORTH,31,62,15,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,1,,,1,,1,,,,1,,,1,,,,,,,,,3,,,,,,3,,,1
NORTH,31,63,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,2,,,
NORTH,31,65,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,66,4,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,67,9,,,,,,,1,,2,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1
NORTH,31,68,6,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,
NORTH,31,69,16,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,1,,,1,,,1,,1,,3,,,,2,,,
NORTH,31,70,63,,,,,,1,,,11,,,,,3,,,,,,,2,,,1,2,,,,,,3,2,1,4,3,,,,1,,,,,,1,,,9,,,,3,1,,8,1,,,1,2,1,2
NORTH,31,71,3,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
NORTH,31,72,7,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
NORTH,31,73,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,31,74,11,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,2,2,,,,1,,,,,,,,,2,,,,,2,,,,,,,,,
NORTH,31,75,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,76,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,1,,,
NORTH,31,77,12,,,1,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,1,,,1,,2,,1,,,,1,,,
NORTH,31,78,5,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,79,5,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,80,3,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,81,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
NORTH,31,82,24,,,,,,2,,,3,1,,,,3,,,,,,1,,,,,,,,,,,1,,,2,3,,,,,,,,,1,,,,2,,,1,,1,,,,1,,,,,2
NORTH,31,83,85,,,2,1,,5,2,,10,,,,,12,,,,,1,2,,1,,,,,,2,,,5,1,,5,2,,1,1,1,,,,,3,1,,,10,,,,,4,,,1,1,2,,1,,8
NORTH,31,84,13,,,,,,,,,1,,,,,2,,,,,,,1,,,,1,,,,,,,,,3,,,,,,,,,,,,,,1,,,1,,,,,,,,1,2,,
NORTH,31,85,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
NORTH,31,86,7,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,1,,,,,,
NORTH,31,87,9,,,1,1,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1
NORTH,31,88,18,,,,,,,,,3,,,,,,,,,,,,,,,,1,,1,,,,1,2,,,1,,,,,,,,,,,,,2,,,,1,,,5,,,,,,,1
NORTH,31,92,17,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,2,4,,,,,,,,,,,,,1,,,1,2,,,,,,,2,1,,
NORTH,31,93,10,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,1,,,1,1,,,,,,
NORTH,31,94,37,,,,,,,,,3,,,,1,4,,1,,,,2,,,,1,2,,,,,,,,,10,4,,,,,,,,,,,,3,2,,,,,2,,1,,,,,,,1
NORTH,31,95,16,1,,,,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,1,,,,4,,,,,1,,,,,,,,,
NORTH,31,96,27,,,,,,1,,,4,,,,,2,,,,,,,2,,1,,,,,,,,,1,,1,1,,,,,,,,,3,,,,4,,,,,1,,1,,,2,1,1,,1
NORTH,32,100,18,,,,,,,,,2,,2,,1,2,,,,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,,,,,1,,1,,,,1,,,3
NORTH,32,101,11,1,,,,,,,,2,1,,,,,,,,,,1,,,,,2,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,
NORTH,32,102,66,1,,1,,,2,,,2,,,,,1,,1,1,,,2,2,,,1,11,,1,,,,1,,,13,2,,,,,,,,1,,,,14,3,,,,,2,1,,1,,,,2,,
NORTH,32,103,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,1
NORTH,32,104,39,,,2,,,3,1,,4,,,,,4,,,,,,,1,,,,,,,,,,,2,,2,,1,1,,,,,,,2,,,,11,,,,1,,,,,,,2,,,2
NORTH,32,105,83,2,,3,,,3,1,,14,1,,,,5,,,,,,1,2,,,1,,1,,,,,6,6,,4,,,,1,,,,,,1,1,,,17,,,1,,1,,2,3,,,1,1,2,2
NORTH,32,106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NORTH,32,107,5,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,
NORTH,32,108,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,
NORTH,32,109,50,,,3,1,,3,,,10,,,,,1,,,,,,1,1,,,,5,,1,,,,2,1,,4,1,,,,,,,,,,,,1,5,,,1,1,2,,2,,,,,,1,3
NORTH,32,110,23,,,,1,,1,,,4,,,,,2,,,,,,,1,,,1,,,,,,,2,,,,2,,,,,,,,,,,,,2,,,,,2,,,4,,,,,,1
NORTH,32,111,13,,,,,,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,5,,,,,,,
NORTH,32,112,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,
NORTH,32,114,6,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
NORTH,32,115,22,,,,,,2,1,,2,,,,,,,1,,,,,,,,,8,,,,,,1,,,3,,,,,,,,,,1,,,1,,,,1,,,,,,,,,1,,
NORTH,32,89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,90,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,
NORTH,32,91,8,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,2,,,
NORTH,32,97,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,98,6,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,32,99,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,1,,,,,,,
NORTH,33,116,38,,,,,,3,,,1,,,,,4,,1,,,,2,2,,1,,,1,,,,,2,3,,,,,,,,,,,,1,,,,10,,1,1,,1,,1,1,,,,,,2
NORTH,33,118,75,2,,,,,3,,,14,,,,,1,,,1,,,1,2,,,,,,,,,,6,1,,1,2,,,,,,,,,,,,,8,,,1,,3,,17,2,,,,1,3,6
NORTH,33,119,83,1,1,2,,,6,,2,3,1,,,,1,,,,,,6,,,,3,,,2,,,,1,2,1,9,3,1,1,3,1,,,,,,,,,13,,1,,3,7,,3,2,,,,2,1,1
NORTH,33,120,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2
NORTH,33,121,29,,,1,,,1,,,8,2,,,,1,,,,1,,,1,,,,,,,,,,1,,,3,3,,,,1,,,,,,,,,3,,,1,,1,,,1,,,,,,
NORTH,33,122,5,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,123,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,33,124,16,,,1,,,1,,,4,,,,,,,1,,,,,1,,,,,,1,,,,,1,,3,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
NORTH,33,125,11,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,2,3,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,
NORTH,33,126,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,33,127,10,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,2,,,,,,,1,,,,,,,2
NORTH,33,128,5,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,33,130,11,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,4,1,,,,,,
NORTH,33,131,5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
NORTH,33,132,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
NORTH,33,134,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,135,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,137,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,138,42,,,1,,,1,,,4,,,,,2,,,,,,,,,,,,1,1,,,,,2,,2,5,,,1,,,,,,,,,,10,,,,,,,6,3,,,1,,2,
NORTH,34,139,71,4,1,1,,1,1,,1,4,1,2,,,7,,,,,,1,1,,,,,,1,,,,1,1,,8,7,,,,,,,,,2,,,1,10,,,,1,2,,3,3,,,2,1,1,2
NORTH,34,141,22,,,1,,,1,,,2,,,,,2,,,,,,,1,,,,,,1,,,,1,2,,1,,,,,,,,,,,,,,2,,,,1,,,4,1,,,2,,,
NORTH,34,142,23,1,,,,,1,,,5,,,,,,,,,,,,1,,,1,,,,,,,,2,,3,1,,1,,,,,,,,,,,2,,,1,,3,,,,,,1,,,
NORTH,34,143,57,,,2,,,3,2,,4,,,,,,,,,,,3,,,,2,6,,,,,,2,2,,8,,,,2,,,,,,1,,,2,9,,,,1,1,,5,,,,,,,2
NORTH,34,144,6,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,
NORTH,34,145,12,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,1,,,,,,,,,,,,3,,,,,,,,2,,,,,,1
NORTH,34,146,19,1,,3,,,2,,,2,,,,,,,,,,,,,,,,1,,,,,,2,1,,3,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1
NORTH,34,147,15,1,1,,,,1,,,3,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,3,1,,,,,1,
NORTH,34,148,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,1,1,,,
NORTH,34,149,33,,,1,,,,,,4,1,,,,1,,,,1,,2,1,,,2,2,,,,,,2,,,2,1,,,,2,,,,,,,,4,4,,,,,2,,1,,,,,,,
NORTH,34,150,5,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,34,151,10,,,,,,1,,,2,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,1
NORTH,34,152,78,,,,,,2,,,9,1,,,,1,,,,,,5,,,,,2,,1,,,,2,,,11,6,,,1,,,,,,2,,,12,9,,1,1,1,2,,5,,,,,,1,3
NORTH,34,153,32,,,,,,,,1,1,,,,,3,,,,,,1,,,,,6,,,,,,1,1,,2,6,,,,,,,,,1,,,,1,,,,,3,,3,1,,,,,,1
NORTH,34,154,40,4,1,1,,,1,,,6,1,,,,1,,,,,,,,,1,1,,,,,,,3,1,,2,,,,,,,,,,,,,,7,,,,,4,,4,,,,,,,2
