PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,ASSIST/PROMOTE PROSTITUTION,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,24,178,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,179,4,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,180,26,,,,,,1,,,2,1,,,,1,,,,1,,,1,,1,,,1,,,,1,,3,,,,,,,,,,,,,,,2,,,1,,2,,1,3,,,,1,1,2
CENTRAL,24,181,15,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,1,,,,,6,,1,,,,,,,
CENTRAL,24,182,7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,1,2,,,,,,
NORTH,31,57,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,58,8,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,
NORTH,31,61,14,,,,,,,,,4,,,,2,3,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,
NORTH,31,62,9,,,,,,1,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,3,,,,,,,,,,
NORTH,31,63,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,1,,,,,1,,
NORTH,31,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,31,66,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,1,,7,1,,,,,,
NORTH,31,67,27,,,1,,,2,,,5,,,,,1,,,1,,,,,,,,,,,,1,4,,1,,,,,,,,,,,,,,,2,,,,1,,,6,,1,1,,,,
NORTH,31,68,19,,,,,,,,,2,,,,,1,,,,,,,1,,,,,,,,1,,,4,,,,,,1,,,,,,,,,2,,,,,4,,2,1,,,,,,
NORTH,31,69,22,,,1,2,,1,,,3,,,,,1,,,,,,1,,,,1,,,,,,,,1,1,,,,,1,,,,,1,,,1,,,,,1,1,,4,,,,,,,1
NORTH,31,70,49,1,1,2,,,1,,1,4,,,,,3,,,,,,,,,1,4,1,,,,2,,,5,2,,,,,,,,,,,,,1,9,,,,1,3,,4,1,,,,,,2
NORTH,31,71,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,1,,,,1,2,,1,,,,,,1,
NORTH,31,72,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,2,,,,,,,
NORTH,31,73,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,
NORTH,31,74,14,,,1,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,2,1,,,,1,,1
NORTH,31,75,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,76,15,,,,1,,,,,3,,,,,,,,,,,,1,,,,,,,,1,1,,2,,,,,,,,,,,,,,,2,,,,2,,,2,,,,,,,
NORTH,31,77,14,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,1,,,6,1,,,,,,
NORTH,31,78,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
NORTH,31,79,16,,,,,,1,,,2,,,,,,,,,,1,,1,,,,,,,,,,,4,,,1,,,1,,,,,,,,,2,,,,,1,,2,,,,,,,
NORTH,31,80,10,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,
NORTH,31,81,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
NORTH,31,82,17,,,1,,,,,,1,,,,,2,,,,,,,,,2,,,,,,1,1,,1,,,,,,,,,,,2,1,,,1,,,,,1,,,1,,,,,1,1
NORTH,31,83,79,,,1,,,3,,,11,1,,,,10,,,,1,,,2,,1,,,,,,7,,,6,2,,,,,,,,,,2,,,,12,,,,1,3,1,6,2,,,,2,1,4
NORTH,31,84,9,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,4,,,,,,,
NORTH,31,85,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
NORTH,31,86,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,
NORTH,31,87,8,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,1
NORTH,31,88,22,,,,,,,,,4,,,,,4,,,,,,,,,,,,,,,3,,,1,1,,,,,1,,,,,,,,,6,,,,1,,,1,,,,,,,
NORTH,31,92,20,1,,,,,,,,4,1,,,,2,,,,,,,,1,,1,,,,,2,,,,,,,,,,,,1,,,1,,,3,,,,,1,,,,,,,1,,1
NORTH,31,93,22,,,,,,2,,1,2,,,,,3,,,,,,4,1,,1,,,,,,2,,,,,,,,,,,,,,,,,1,1,,,,,,,1,2,,,,,,1
NORTH,31,94,43,,,,,,1,,1,2,,,,,2,,,,,,1,9,,,3,,1,,1,,,,3,1,,,,,,,,,,2,,,6,5,,,,1,,,1,1,,,,1,,1
NORTH,31,95,15,1,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,3,2,,2,1,,,,,,
NORTH,31,96,47,,,3,1,,2,1,,9,,,,,4,,,,,,1,,,,,1,,,,2,,,3,1,1,,1,,1,,,,,,,,,13,,,,,2,,1,,,,,,,
NORTH,32,100,9,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,
NORTH,32,101,22,,,,,,,,1,,,,,,1,,,,,,1,,,1,,,,,,,1,2,3,,1,1,,,,,,,,,,,,5,,,1,2,,,1,,,,,,,1
NORTH,32,102,54,1,,1,,,,,,1,,,,,2,,2,,,,3,,,1,2,1,,,,,,,13,3,,,,,1,,,,,,,,10,8,,,,,,,1,,,1,,,,3
NORTH,32,103,16,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,2,,,6,,,,,,,
NORTH,32,104,33,,,,,,1,1,1,4,,,,2,3,,,,,,2,1,,,,,,,,,1,,1,2,,,,,,,,,,,,,1,7,,,1,,,,,,,1,,,1,3
NORTH,32,105,105,2,,3,,,4,1,1,17,1,,,,6,,,,,,,3,,2,1,,,1,,3,5,,5,2,,,,,1,,,,,,1,,,22,,,,4,3,,10,2,,,,,1,4
NORTH,32,106,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,
NORTH,32,107,12,,,,,,,,,2,2,,,,,,,,,,,1,,,,,,,,,4,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,32,108,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
NORTH,32,109,44,1,,,,,3,,,7,,,,,5,,,,1,,,1,,1,4,1,,,,1,,,2,1,,,,,1,,,,,1,,,,5,,,,2,2,,3,1,,,,,1,
NORTH,32,110,32,1,,,,,,,1,3,,,,,4,,,,,,1,1,1,2,1,,1,,,2,,,2,1,,,1,,,,,,,,1,,,5,,,,,,,,,,1,1,,2,
NORTH,32,111,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,
NORTH,32,112,23,1,,,1,,,,,7,,,,,1,,,,,,,,,,,,1,,,,1,,2,1,,,1,,,,,,,,,,,1,,,,2,,,2,,1,,,,,1
NORTH,32,113,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,114,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,115,14,,,,,,,1,,4,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,2,,,,,2,1,,1,,,,,,,
NORTH,32,89,3,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,90,4,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,32,91,10,,,2,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,
NORTH,32,97,3,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,98,12,,,1,,,2,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,3,1,,,,,,,,,1
NORTH,32,99,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
NORTH,33,116,30,,,,,,1,,2,7,,,,,2,,,,,1,,,,,2,,,,,,,,2,5,,,,,,,,,,,,,,6,,,,,,,,2,,,,,,
NORTH,33,118,52,1,,1,,,2,,,11,,,,,1,,,,,,2,1,1,,,,1,,1,1,2,,5,2,,,1,1,,,,,,,,,,12,,,,1,1,,2,1,,,,,,1
NORTH,33,119,59,,,,,,,,,14,1,,,,2,,,,1,,4,2,,,1,,,,,1,,,4,1,,,2,,,,,,,1,,,2,8,,,1,,3,,4,2,,,,,2,3
NORTH,33,120,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,33,121,22,,,,,,1,2,,2,,,,,,,,,,,,1,,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,6,,,1,,1,,,1,,,,,1,1
NORTH,33,122,3,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
NORTH,33,123,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,124,18,,,,,,1,,,3,,,,,1,,2,,,,,1,,,1,,,,,,,,3,1,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,1
NORTH,33,125,9,,,,,,,,2,,1,,,,1,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
NORTH,33,126,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,
NORTH,33,127,14,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,3,,,5,,,,,,,
NORTH,33,128,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,
NORTH,33,130,9,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,
NORTH,33,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,33,132,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
NORTH,33,135,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,136,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,138,52,,,4,,,2,,1,9,1,,1,,,,,,,,1,,1,2,1,,,,,1,4,,3,1,,1,,,,,,,,,,,,9,1,,1,,,,2,,,1,1,1,2,1
NORTH,34,139,79,1,1,,1,,7,1,,10,1,,,,2,,,,,,1,3,,,3,,1,,,2,1,,6,8,2,,,,,,,,,1,,,,8,,,2,3,3,,3,3,,,,1,,4
NORTH,34,140,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NORTH,34,141,17,,,,1,,2,,,2,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,,,1,3,1,,,,1,,,2,,,,,,
NORTH,34,142,17,,,,,,1,1,,3,,,,,1,,,,,,,,,2,,,,,,1,,,1,,,,,,,,,,,,,,,2,,,1,,2,,2,,,,,,,
NORTH,34,143,33,1,,,1,,2,,,2,,,,,1,,,,,,2,,1,,1,,,,,5,1,,2,4,,1,,,,,,,,,,,,3,,,1,1,2,,1,,,,1,,,
NORTH,34,144,5,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,
NORTH,34,145,12,,,,,,1,,,3,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,1,,,3,,,,,,,
NORTH,34,146,15,,,1,,,1,,1,4,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,1
NORTH,34,147,14,,,,,,2,,1,3,,,,,2,,,,,,,,,1,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,34,148,12,,,,,,,,,2,,,1,,1,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,2,,,,,,
NORTH,34,149,47,1,,1,1,,,,,7,,,,,1,,,,,,,3,,2,2,,,,,1,,,,4,,,,,,,,,,,,,2,9,,,1,,3,,4,1,,2,,,1,1
NORTH,34,150,7,,,1,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
NORTH,34,151,9,1,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1
NORTH,34,152,79,2,,1,,,1,,,7,,,,,2,,,,,,1,,,,3,,,,1,3,,,13,5,,1,,,,,,,,,,,15,6,,,,,4,,6,4,,,,1,1,2
NORTH,34,153,81,1,,1,,,4,,1,4,,,,,4,,,,,,1,,,,42,,,,,2,,,2,5,,,,,,,1,,,,,,,2,,,,,6,,,3,,,,,,2
NORTH,34,154,45,2,,1,,,5,,,3,1,,,,,,,,,,,1,,,,,,,,5,,,3,2,,,1,,1,,,,,1,,1,,6,1,,1,,4,,2,1,,,,1,2,
NORTH,40,117,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
