PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,24,182,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
NORTH,31,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,58,13,1,1,2,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2,,,,,,,1,,,,2,,,
NORTH,31,61,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,
NORTH,31,62,14,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,1,,,,,1,,1,,,,,1,,2,1,,,2,,,
NORTH,31,63,7,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1
NORTH,31,67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,68,2,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,69,16,1,,1,,,2,,,2,,,,,,,,,,,,2,,,,,,,,,,1,,1,,,,,,,,,,,,,,,3,,,,,1,,1,,,,,1,,
NORTH,31,70,54,2,,2,,,2,1,,4,,,,7,,,,,,,,3,,2,3,,2,,,,2,1,,1,2,,,,,,,,,,,,,,13,,,2,,1,,2,,,,,,,2
NORTH,31,71,6,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,31,72,8,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
NORTH,31,73,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,74,13,,,,,,1,,,2,,,,,,,,,,,,,,1,,,,,,,1,5,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,31,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,76,8,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,77,6,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
NORTH,31,78,4,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,31,79,4,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
NORTH,31,80,12,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,2,,,2,,,,,,,1
NORTH,31,81,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,2,,,,,2,,,,,,,,,
NORTH,31,82,16,,,,,,,,,2,,,,1,,,,,,,,,,,,,1,,,,,,,2,2,,,,,1,,,,,1,,,,3,,,1,,,,,,,,,,,2
NORTH,31,83,70,1,,2,1,,5,1,,3,2,,,12,,,,,,,1,,,,3,,,,,,4,1,1,2,1,,,,,1,,,,,,,,,12,,,1,1,6,,1,2,,1,,,3,2
NORTH,31,84,5,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
NORTH,31,85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
NORTH,31,86,7,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,2
NORTH,31,87,13,,,,,,,,,1,,,,2,,,,,1,,,,,,,,,,,,,,,1,1,,,1,,,,,,,1,,,,2,,,,,1,,,1,,,,,,1
NORTH,31,88,23,,1,,,,2,,,6,,,,3,,,,,,,,1,,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,1,2
NORTH,31,92,11,1,,,,,1,1,,,,,,3,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1
NORTH,31,93,14,,,,,,,,,,,,,,,1,,,,,1,,,,5,,,,,,,,,,4,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,
NORTH,31,94,25,,,1,,,,,,2,,,,5,,,,,,,,,,,3,,,,,,,,,3,2,,,,,,,,,,,,,3,2,,1,,1,,,1,,,,,,,1
NORTH,31,95,19,1,,1,,,,1,,3,,,,,,,,,,,,1,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,1,1
NORTH,31,96,45,1,,,,,3,,,13,1,,,5,,,,,,,,1,,,,,,,,,,1,,2,,,,1,,,,,,,2,,,,5,,,,1,2,,1,,,1,1,,,4
NORTH,32,100,18,,,,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,,,,,,,,,6,,,,,1,,,,,,,,,
NORTH,32,101,13,,,,,,2,,,1,,,,,,1,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,1,,,,2,,,,,,,,,,,1,,,
NORTH,32,102,42,,,,,,1,,,1,,,,1,,,,,,,2,1,,,6,,,,,,,,,8,2,,,,,,,,,,1,,,11,4,,,,1,2,,,,,,,,,1
NORTH,32,103,9,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,
NORTH,32,104,32,,,,,,3,,,6,1,,,2,,,,,,,,2,,,1,,,,,,2,3,,2,1,,,,,,,,,,,,,,7,,,,,,,,,,,1,,1,
NORTH,32,105,58,,,3,,,4,1,,15,,,,2,,,,,,,,3,,2,,,,,,,2,2,,2,2,,,1,,,,,,,1,1,,,7,,,,,1,,3,4,,,,,,2
NORTH,32,106,3,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
NORTH,32,107,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,
NORTH,32,108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,109,52,1,,,,,1,,,10,1,,,1,,,,,,,,2,,1,2,,,,,,6,1,,6,4,,1,,,,,,,,,,,3,5,,,,,1,,3,,,,2,,1,
NORTH,32,110,24,,,2,,,1,1,,4,,,,3,,,,,1,,,1,,,,,,,,,,,,1,1,,,3,,,,,,,,,,,5,,,,,,,,1,,,,,,
NORTH,32,111,3,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,32,112,16,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,1,1,,,,,,,,,,,1,,,,,1,,3,,,,,,,
NORTH,32,114,6,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,
NORTH,32,115,16,,,,,,,,,1,,,,,,,,,,,1,1,1,,1,,,,,,,1,,4,,,,,,,,,,,,,,1,,,,,,1,,3,1,,,,,,
NORTH,32,89,9,,,,,,2,,,2,,,,1,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,90,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,
NORTH,32,91,11,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,3,,1,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,1,,
NORTH,32,97,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1
NORTH,32,98,9,,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,1,
NORTH,32,99,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
NORTH,33,116,56,2,,4,,,,,,5,1,1,,2,,,,,,,,,,,2,,,,,,4,1,1,6,2,,,1,,1,,,,,1,,,,18,,,,1,,,1,1,,,,,,1
NORTH,33,118,72,1,,3,,,6,,,12,,,,1,,,,,,,,2,,,,,,,,,3,,1,1,2,1,1,1,,,,,,,,,,1,15,,1,1,,2,,7,2,1,1,1,,1,4
NORTH,33,119,65,1,,1,1,,3,,,11,1,,,1,,,,,1,,2,,,1,5,,,1,,,3,,,7,1,,,,,,,,,,1,1,,,13,,,2,,2,,1,1,,,,1,1,2
NORTH,33,120,10,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,2,,,,1,1,,,,1
NORTH,33,121,29,,,1,,,,,1,5,1,,,2,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,7,,,,,4,,2,,,,,1,1,
NORTH,33,122,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,33,123,13,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
NORTH,33,124,17,,,1,,,1,,1,4,,,,1,,,,,,,1,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,
NORTH,33,125,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
NORTH,33,126,3,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,33,127,16,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,,2,,,,,,1,,,,,,,,,3,,,3,,,,1,,,,,,2,
NORTH,33,128,3,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,130,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,132,4,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,135,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NORTH,34,138,50,,,2,,,,1,,6,,,,2,,,,,,,1,5,,,,,,1,,,2,3,,5,2,,,,,1,,,,,,,,,7,,,,,1,,5,2,,,,,1,3
NORTH,34,139,62,,1,3,,,5,,,3,1,1,1,6,,,1,,,,,1,,,,,,,,,,2,,4,6,,2,3,,,,,,,1,,,,8,,,1,1,2,,3,,,,,1,1,4
NORTH,34,140,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
NORTH,34,141,13,1,,,1,,,,,2,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,,1,1,,,,,1,
NORTH,34,142,12,,,,,,1,,,4,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,
NORTH,34,143,41,1,,4,,,4,,,6,,,,4,,,,,,,,1,,2,,,,,,,2,2,1,4,1,,,,,,,,,,,1,,,2,1,,1,,,,1,,,1,,,1,1
NORTH,34,144,7,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,
NORTH,34,145,12,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,1
NORTH,34,146,19,,,,,,,,,1,1,,,1,,,,,,,,1,1,,,,,,,,2,2,,1,,,,,,,,,,,1,,,,4,,,2,,1,,,,,,,,,1
NORTH,34,147,22,,,,,,3,,,1,1,,,,,,,,,,1,3,,1,3,,,,,,,1,,,1,,,,,2,,,,,,,,,3,,,,,,,,,,,,,2,
NORTH,34,148,12,1,,,,,,,,1,,,,1,,1,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,,,,,2,,,,,1,,,1,,,,,,
NORTH,34,149,33,1,,1,,,1,,,3,1,,1,3,,1,,,1,,,,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,8,4,,,,,,,,1,,,,1,,2
NORTH,34,150,11,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,1,1,,3,,,,,,,
NORTH,34,151,9,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,
NORTH,34,152,68,1,,,,,1,,,7,,,1,5,,1,,,,,1,,1,,1,,,,,,2,1,,6,2,1,,,,,,,,,,,,17,8,,,,1,4,,4,1,,,,1,,1
NORTH,34,153,27,,,1,,,1,,,6,,,,3,,1,,,,,,2,,,2,,,,,,2,,,,2,,,,,,,,,,,,,,5,,,,,1,,1,,,,,,,
NORTH,34,154,48,2,,2,,,,,,5,1,,,3,,1,,,,1,,,,2,,,3,,,,2,,2,3,5,,,,,,,,,,1,,,,10,,,1,,,,,,,,,,1,3
