Date,Offense,Street,Sub,Zip,Area
7/14/2003,RUNAWAY JUVENILE,FILLMORE STREET,244,23185,300
12/14/2003,PETIT LARCENY,FLINTLOCK DRIVE,163,23185,300
3/23/2003,PETIT LARCENY,FLINTLOCK DRIVE,163,23185,300
9/25/2003,"ASSAULT, SIMPLE, DOMESTIC",GEORGE TOWN CRESCENT,60,23185,300
8/23/2003,RUNAWAY JUVENILE,GEORGE TOWN CRESCENT,60,23185,300
12/1/2003,CITIZEN REQUESTED ASSISTANCE,GEORGE WASHINGTON MEMORIAL HIGHW,,23185,300
8/8/2003,GRAND LARCENY,GEORGE WASHINGTON MEMORIAL HIGHW,,23185,200
1/30/2003,CITIZEN REQUESTED ASSISTANCE,GEORGE WASHINGTON MEMORIAL HIGHW,,23185,200
3/15/2003,CITIZEN REQUESTED ASSISTANCE,GEORGE WASHINGTON MEMORIAL HIGHW,,23185,300
12/12/2003,"LARCENY, SHOPLIFTING",GEORGE WASHINGTON MEMORIAL HIGHW,,23185,200
3/19/2003,CITIZEN REQUESTED ASSISTANCE,GEORGETOWN CRESCENT,60,23185,300
8/25/2003,GRAND LARCENY,GEORGETOWN CRESCENT,60,23185,300
5/16/2003,"BURGLARY, RESIDENTIAL",GOVERNMENT ROAD,228,23185,300
5/16/2003,"DAMAGE PROPERTY, PRIVATE",GOVERNMENT ROAD,228,23185,300
7/8/2003,DRUNK IN PUBLIC,GOVERNMENT ROAD,228,23185,300
5/16/2003,GRAND LARCENY,GOVERNMENT ROAD,228,23185,300
2/24/2003,"ASSAULT, SIMPLE",GRAFTON DRIVE,228,23185,300
7/1/2003,"ASSAULT, AGGRAVATED",HARROP LANE,125,23185,300
12/6/2003,CITIZEN REQUESTED ASSISTANCE,HARROP LANE,125,23185,300
12/2/2003,CITIZEN REQUESTED ASSISTANCE,HARROP LANE,125,23185,300
4/18/2003,FRAUD-CREDIT CARD/AUTOMATIC TELLER,HARROP LANE,125,23185,300
5/23/2003,PETIT LARCENY,HARROP LANE,125,23185,300
6/1/2003,"ASSAULT, SIMPLE, DOMESTIC",HIGH POINT ROAD,270,23185,300
3/16/2003,"ASSAULT, SIMPLE",HIGHPOINT ROAD,270,23185,300
3/6/2003,"ASSAULT, SIMPLE",HUBBARD LANE,228,23185,300
11/25/2003,"ASSAULT, SIMPLE, DOMESTIC",HUBBARD LANE,228,23185,300
6/13/2003,CITIZEN REQUESTED ASSISTANCE,HUBBARD LANE,228,23185,300
8/21/2003,CITIZEN REQUESTED ASSISTANCE,HUBBARD LANE,228,23185,300
7/15/2003,CITIZEN REQUESTED ASSISTANCE,HUBBARD LANE,228,23185,300
12/5/2003,CITIZEN REQUESTED ASSISTANCE,HUBBARD LANE,228,23185,300
4/11/2003,CREDIT CARD FRAUD,HUBBARD LANE,228,23185,300
4/11/2003,CREDIT CARD THEFT,HUBBARD LANE,228,23185,300
4/22/2003,CREDIT CARD THEFT,HUBBARD LANE,228,23185,300
11/10/2003,"DAMAGE PROPERTY, PRIVATE",HUBBARD LANE,228,23185,300
5/16/2003,"DAMAGE PROPERTY, PRIVATE",HUBBARD LANE,228,23185,300
7/7/2003,ELUDING POLICE,HUBBARD LANE,228,23185,300
12/10/2003,"LARCENY,FROM MOTOR VEHICLE",HUBBARD LANE,228,23185,300
12/29/2003,GRAND LARCENY,JIB COURT,345,23185,300
12/30/2003,"LARCENY,FROM MOTOR VEHICLE",JIB COURT,345,23185,300
8/25/2003,GRAND LARCENY,KINGSGATE PARKWAY,103,23185,300
1/9/2003,CITIZEN REQUESTED ASSISTANCE,LAKESHEAD DRIVE,162,23185,300
1/16/2003,CITIZEN REQUESTED ASSISTANCE,LAMPLIGHTER PLACE,226,23185,100
3/27/2003,CITIZEN REQUESTED ASSISTANCE,LEVINSON PASS,275,23185,300
1/18/2003,CITIZEN REQUESTED ASSISTANCE,LODGE ROAD,228,23185,300
5/27/2003,RUNAWAY JUVENILE,LODGE ROAD,228,23185,300
1/23/2003,TRESPASSING,LODGE ROAD,228,23185,300
3/18/2003,"ASSAULT, SIMPLE",LUTHER & PARK CIRCLE,20,23185,300
11/10/2003,ABDUCTION & KIDNAPPING,LUTHER DRIVE,20,23185,300
